Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ_ɾ	ˈɔː	1.0
ˈʉː_#>	ˈoː_#>	1.0
ˈœʏ̯	-	1.0
ˈœ	-	1.0
ˈøː_#>	ˈiː_#>	1.0
ˈøː	ˈøː	1.0
ˈæː	-	1.0
ˈæ	ˈɛ	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_e	v	1.0
ʋ_#>	v̥_#>	1.0
ʉ	ˈɔʊ̯_p	1.0
ɾ_ɑ	ɐ	1.0
ɾ_e	ɐ	1.0
ɾ_#>	#>	1.0
ɲ	ˈɪ_ŋ	1.0
ɡː	k	1.0
ɡ_#>	ɕ_#>	1.0
ɛ	-	1.0
ə	-	1.0
ŋː	ŋ	1.0
çː	-	1.0
tː	ʦ	1.0
sː	n_z̥	1.0
s_ˈɑ	z_ˈa	1.0
s_k	ʃ	1.0
s_e	z̥	1.0
s_#>	z̥_#>	1.0
p_#>	f_#>	1.0
p	p	1.0
n_ˈɑ	n_ˈaː	1.0
n_d	ŋ	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kʰ	k	1.0
jː	-	1.0
j_ɑ	ə	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
<#_ˈoː	<#	1.0
<#_ɾ	<#_ʀ	1.0
<#_pʰ	<#	1.0
<#_kʰ	<#	1.0
ɑ	ə	0.917
e	-	0.833
n	n	0.821
ˈɔ	-	0.8
l	l	0.786
ˈɑ	ˈa	0.737
k	ɕ	0.727
ˈuː	ˈoː	0.667
ʋ	ʋ	0.667
tʰ	d	0.667
t	s	0.65
ɡ	j	0.588
<#	<#_ʋ	0.583
ˈæʉ̯	ˈuː_d̥	0.571
j	-	0.556
ˈɪ	ˈe	0.545
ɾ	ɐ	0.529
ˈɑː	ˈaː	0.5
ˈoː	ˈoː	0.5
ʰtː	x	0.5
ç	k	0.5
nː	n	0.5
lː	ɫ_d̥	0.5
lː	ɫ	0.5
ˈiː	ˈiː	0.471
ˈʏ	ˈœ	0.462
ˈɛ	-	0.462
ˈɪ	ˈɪ	0.455
ˈæɪ̯	ˈeː	0.455
s	ʃ	0.452
s	z	0.452
ˈʉ	ˈo	0.438
ˈæʉ̯	ˈɔʊ̯	0.429
ˈyː	ˈyː	0.429
ˈyː	ˈeː	0.429
ʂ	ʃ	0.4
ʂ	z	0.4
ɾ	ʀ	0.373
ˈæɪ̯	ˈeɪ̯	0.364
nː	ŋ_ɡ̊	0.357
ˈʉː	ˈuː	0.353
ˈɑː	ˈa	0.333
ˈuː	-	0.333
ˈeː	-	0.333
tʰ	ʦ	0.333
ˈʉ	-	0.312
ˈɛ	ˈɛ	0.308
ˈʉː	ˈeː	0.294
k	x	0.273
#>	d̥_#>	0.258
ˈʉ	ˈɔ	0.25
ˈeː	ˈɛː	0.25
ˈeː	ˈɛ	0.25
ʰtː	ɕ	0.25
ʰtː	s	0.25
ç	d	0.25
ç	-	0.25
t	t	0.25
<#	<#_j	0.25
ˈiː	ˈe	0.235
ɡ	-	0.235
ˈʏ	-	0.231
ˈɛ	ˈɛː	0.231
j	ˈɛ	0.222
j	ɣ	0.222
ˈoː	-	0.214
l	ɫ	0.214
ˈɔ	ˈaː	0.2
ʂ	ʃ_ˈe	0.2
#>	ɡ̊_#>	0.194
#>	n_#>	0.194
ʋ	v	0.19
ˈæɪ̯	-	0.182
ˈʉː	ˈɔʊ̯	0.176
ˈʉː	-	0.176
ˈiː	-	0.176
ɡ	ɣ̊	0.176
ˈɑː	ˈa_d̥	0.167
ˈeː	ˈɪ	0.167
<#	<#_l	0.167
ˈɑ	ˈɛ	0.158
ˈʏ	ˈʏ	0.154
ˈʏ	ˈe	0.154
ˈyː	ˈøʏ̯	0.143
ˈoː	ˈiː	0.143
ˈoː	n	0.143
ʋ	-	0.143
nː	n_d̥	0.143
e	ə	0.125
ˈiː	ˈɪ	0.118
n	ŋ	0.107
ˈɑ	ˈaː	0.105
t	ʦ	0.1
s	s	0.097
#>	ɐ_#>	0.097
ɑ	-	0.083
n	ə	0.071
#>	ə_#>	0.065
#>	ɕ_#>	0.065
#>	ŋ_#>	0.065
#>	v̥_#>	0.065
ɾ	-	0.059
