Mainland North Frisian	Mainland North Frisian	probability
ˈɒː_d	ˈɛː_t	1.0
ˈɒː	-	1.0
ˈœi̯_f	ˈuːə̯	1.0
ˈœi̯	-	1.0
ˈu	-	1.0
ˈaː	-	1.0
ˈai̯	ˈi	1.0
ʀ_s	s	1.0
ɛi̯	iː	1.0
ə_#>	#>	1.0
ç	-	1.0
z̥	d̥	1.0
x	x	1.0
w	ˈiː_x	1.0
v_ə	v̥	1.0
s_#>	z̥_#>	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
d̥	d̥	1.0
dʲ	d̥	1.0
b	b	1.0
<#_ɡ	<#_x	1.0
<#_h	<#	1.0
ə	ə	0.964
k	k	0.905
f	v	0.895
ʀ	ɾ	0.879
d	d	0.875
l	ɫ	0.868
v	ʋ	0.833
t	t	0.778
v̥	v̥	0.75
tʲ	t	0.714
i	ɪ	0.667
n	n	0.643
ˈɔː	-	0.636
s	z	0.629
ˈɒ	-	0.625
ˈyː	ˈʊə̯	0.625
nʲ	n	0.625
ˈɛː	-	0.6
ˈɛ	-	0.6
ˈɔ	ˈʊə̯	0.6
z	-	0.6
ˈuː	ˈʊə̯	0.583
ˈi	ˈi	0.562
ˈɛi̯	ˈɛː	0.556
ˈʏ	ˈyː	0.538
j	x	0.538
ˈɔu̯	ˈɛː	0.5
ˈɔu̯	ˈoː	0.5
ˈœː	ˈyː	0.5
ˈœː	-	0.5
ŋ	ŋ_k	0.5
ŋ	ŋ	0.5
lʲ	ɫ	0.5
lʲ	d̥	0.5
ʃ	s	0.462
#>	x_#>	0.462
ˈœ	-	0.438
ˈuː	-	0.417
ˈiː	ˈiː	0.409
ˈɛː	ˈɛː	0.4
ˈɛ	ˈi	0.4
ˈɔ	-	0.4
z	t	0.4
ʃ	s_x	0.385
#>	d̥_#>	0.385
ˈɒ	ˈɑ	0.375
ˈyː	-	0.375
nʲ	n_d̥	0.375
s	s	0.371
ˈʊ	ˈɔ	0.353
ˈeː	ˈæ	0.333
i	i	0.333
ˈiː	ˈɪə̯	0.318
ˈi	ˈɪ	0.312
j	-	0.308
tʲ	d	0.286
ˈa	-	0.278
ˈœ	ˈɑ	0.25
v̥	v_ə	0.25
ˈɛi̯	ˈɑ	0.222
ˈɛi̯	ˈuː	0.222
ˈa	ˈɪ	0.222
ˈa	ˈɔ	0.222
ˈœ	ˈuː	0.188
ˈɔː	ˈɔ	0.182
ˈɔː	ˈɑ	0.182
t	d	0.178
ˈʊ	ˈʏ	0.176
ˈʊ	ˈu	0.176
ˈʊ	-	0.176
ˈeː	ˈɪ	0.167
ˈeː	ˈɛː	0.167
ˈeː	ˈɑ	0.167
ˈeː	-	0.167
ˈa	ˈɑ	0.167
v	v	0.167
ˈʏ	ˈɔ_n	0.154
ˈʏ	ˈɔ	0.154
ˈʏ	-	0.154
ʃ	-	0.154
j	j	0.154
#>	n_#>	0.154
n	n_ə	0.143
n	n_d	0.143
ˈiː	ˈæi̯	0.136
ˈœ	ˈɑu̯	0.125
ˈi	-	0.125
d	x	0.125
ˈʊ	ˈɪ	0.118
ˈa	ˈæ	0.111
f	-	0.105
k	-	0.095
ˈiː	ˈʊə̯	0.091
ʀ	ˈæ_ɾ	0.086
l	ɫ_ə	0.079
n	ə_n	0.071
l	l	0.053
