Limburgish	Limburgish	probability
β	ʋ	1.0
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈɛː_n	ˈeː	1.0
ˈɛː_l	ˈɪ_l	1.0
ˈœː	ˈaː	1.0
ˈœi̯	ˈaɪ̯	1.0
ˈøː_ʀ	ɑ	1.0
ˈæ	ˈɛ	1.0
ˈyː	ˈeː	1.0
ˈu	ˈoː	1.0
ˈi_n	ˈeː_ə	1.0
ˈaː_j	ˈa_l	1.0
ʃ	ʃ	1.0
ʀ_ə_#>	n_#>	1.0
ʀ_ə	ɾ_ə	1.0
ɪ	-	1.0
ɦ	h	1.0
ɣ_ə	ɣ	1.0
ə_ʀ	ɑ	1.0
ə_v̥	f	1.0
ə_k	ɪ_ç	1.0
ŋ_k	ŋ	1.0
z̥	s	1.0
w	l	1.0
v̥	b̥	1.0
v	f	1.0
n_d	n	1.0
n_#>	#>	1.0
l	l	1.0
j_#>	#>	1.0
i	eː	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈeː	<#_ˈɛ	1.0
<#_ʀ	<#_ɾ	1.0
<#_j	<#_j	1.0
<#	<#_ˈoː	1.0
#>	d̥_#>	1.0
n	n	0.947
m	m	0.931
ˈɪː	ˈɪ	0.833
ɣ	ɡ	0.833
ˈɛː	ˈeː	0.818
ˈuː	ˈaʊ̯	0.8
ŋ	ŋ	0.778
z	s	0.773
s	ʃ	0.739
ˈiː	ˈaɪ̯	0.727
ˈɑː	ˈa	0.714
ˈɑ	ˈa	0.714
k	k	0.71
ə	ə	0.707
p	f	0.692
ˈɛːi̯	ˈaɪ̯	0.667
ˈœ	ˈɪ	0.667
ə_#>	#>	0.667
ˈøː	ˈiː	0.625
t_ə	s_ə	0.625
ˈɛ	ˈɪ	0.6
ˈɔu̯	ˈaʊ̯	0.6
ˈɔ	ˈɔ	0.6
v_ə	ʋ_ə	0.6
ˈɒː	ˈoː	0.545
ɣ̊	ɡ̊	0.545
ˈaː	ˈa	0.526
ˈi	ˈeː	0.5
j_ə	d_ə	0.5
j_ə	d	0.5
ˈɒː	ˈɔː	0.455
ˈʊː	ˈʊ	0.45
ʀ	ɑ	0.442
t	ʦ	0.438
t	s	0.438
ˈɪ	ˈɛ	0.429
ʀ	ɾ	0.423
ˈɛ	ˈɛ	0.4
ˈɔu̯	ˈɔː	0.4
ˈɔ	ˈʊ	0.4
v_ə	ʋ	0.4
ˈɔː	ˈɔː	0.375
ˈɔː	ˈɔ	0.375
ˈøː	-	0.375
ˈoː	ˈʊ	0.375
ˈoː	ˈuː	0.375
t_ə	d	0.375
ˈeː	ˈiː	0.37
ˈɛːi̯	ˈɔɪ̯	0.333
ˈœ	-	0.333
ˈæː	ˈɛː	0.333
ˈæː	ˈɛ	0.333
ˈæː	-	0.333
ə_#>	n_#>	0.333
x	x_t	0.333
p	p	0.308
ˈʊː	ˈuː	0.3
ˈɪ	ˈɪ	0.286
ˈɪ	-	0.286
ˈɑː	ˈɔː	0.286
ˈɑ	-	0.286
ˈiː	-	0.273
ɣ̊	ç	0.273
ˈɔː	-	0.25
ˈoː	ˈɔ	0.25
ˈi	ˈɪ	0.25
ˈi	-	0.25
z	ʃ	0.227
ŋ	ç	0.222
x	ç_t	0.222
x	ç	0.222
x	x	0.222
ˈaː	ˈɔː	0.211
ˈuː	-	0.2
ə	-	0.195
ˈɛː	-	0.182
ɣ̊	-	0.182
s	ʃ_t	0.174
ˈɪː	ˈa	0.167
ɣ	j	0.167
k	x	0.161
ˈaː	-	0.158
ˈʊː	-	0.15
ˈeː	ˈɪ	0.148
ˈeː	ˈɛ	0.148
k	ç	0.129
t	t	0.125
ˈeː	ˈeː	0.111
ˈaː	ˈa_l	0.105
ˈʊː	ˈaː	0.1
ə	ɪ	0.098
s	k_s	0.087
ˈeː	ˈɛː	0.074
ˈeː	ˈɛ_d	0.074
ˈeː	-	0.074
m	m_ə	0.069
ʀ	ˈɛː_ɑ	0.058
n	ˈeː	0.053
