East Low German	Saterland Frisian	probability
b	b	0.907
b	v	0.058
b	p	0.047
d	d	0.703
d	t	0.215
d	-	0.077
f	f	0.866
f	x	0.091
f	w	0.039
f	-	0.037
h	h	1.0
j	j	0.766
j	ɣ	0.221
k	k	0.582
k	k_ə	0.313
k	-	0.104
k_n	k	1.0
kʰ	k	0.671
kʰ	s	0.302
kʰ	-	0.042
l	l	0.96
m	m	0.813
m	-	0.1
m	ə_n	0.061
m	w	0.038
n	n	0.781
n	-	0.202
p	p	0.977
p	d	0.043
r	r	0.979
r	-	0.04
s	s	0.775
s	z	0.139
s	k_s	0.08
t	t	0.656
t	d	0.281
t	t_ə	0.059
t_n	t	1.0
tʰ	t	1.0
v	v	0.948
v	-	0.057
w	v	0.683
w	w	0.229
x	x	0.813
x	ɣ	0.085
x	-	0.083
z	s	0.922
z	z	0.078
æ	r	0.62
æ	ə_r	0.259
æ	d_ə	0.058
æ	ˈoː	0.038
æ	ə	0.036
ç	x	0.658
ç	-	0.125
ç	ɣ_ə	0.125
ç	k	0.082
ŋ	ŋ	0.78
ŋ	ɣ	0.148
ŋ	n	0.069
ɡ	ɣ	0.784
ɡ	ɡ	0.106
ɡ	-	0.094
ɣ	ɣ	1.0
ɪ	ɪ	0.733
ɪ	ə	0.265
ɾ	d_ə	0.608
ɾ	ə	0.269
ɾ_æ	r	1.0
ʃ	s	0.515
ʃ	s_k	0.475
ˈa	ˈɔː	0.231
ˈa	ˈoːu̯	0.164
ˈa	ˈaː	0.135
ˈa	ˈɔ	0.115
ˈa	ˈɛː	0.083
ˈae̯	ˈeː	0.294
ˈae̯	j_ˈoː	0.244
ˈae̯	ˈɛɪ̯	0.171
ˈae̯	ˈaː	0.089
ˈae̯	ˈiː	0.058
ˈaɪ̯	j	0.508
ˈaʊ̯	ˈoː	0.597
ˈaʊ̯	ˈoːu̯	0.335
ˈaʊ̯	ˈu	0.059
ˈaʊ̯_ɾ	ˈuː	1.0
ˈaː	ˈɛː	0.334
ˈaː	ˈiː_r	0.195
ˈaː	ˈɛ	0.148
ˈaː	r	0.099
ˈaː	ˈaː	0.069
ˈeː	ˈeː	1.0
ˈiː	ˈi	0.461
ˈiː	ˈiː	0.232
ˈiː	ˈɛɪ̯	0.18
ˈiː	ˈɛː	0.065
ˈiː	ˈaːu̯	0.05
ˈoː	ˈiː	0.322
ˈoː	ˈoː	0.244
ˈoː	ˈɔː	0.177
ˈoː	ˈʊ	0.164
ˈuː	ˈuː	0.591
ˈuː	ˈoː	0.103
ˈuː	ˈu	0.081
ˈuː	ˈoːu̯	0.068
ˈuː	ˈɔː	0.064
ˈuː_æ	ˈoːu̯	1.0
ˈyː	j_ˈuː	0.354
ˈyː	ˈeː	0.268
ˈyː	ˈu	0.17
ˈyː	ˈyː	0.114
ˈøː	ˈuː	0.5
ˈøː	ˈœː	0.5
ˈœ	ˈeː	0.608
ˈœ	ˈaːu̯	0.092
ˈœ	ˈɛ	0.092
ˈœː	ˈuː	0.5
ˈœː	ˈɔ	0.192
ˈœː	ˈoː	0.192
ˈɒː	ˈɔː	0.354
ˈɒː	ˈɛɪ̯	0.184
ˈɒː	ˈoː	0.184
ˈɒː	ˈuː	0.074
ˈɒː	ˈaːi̯	0.074
ˈɔ	ˈɔ	0.274
ˈɔ	ˈɔː	0.187
ˈɔ	ˈoːu̯	0.163
ˈɔ	ˈuː	0.123
ˈɔ	ˈoː	0.09
ˈɔʏ̯	ˈɛɪ̯	0.639
ˈɔʏ̯	ˈeː	0.359
ˈɛ	ˈɔː	0.186
ˈɛ	ˈa	0.186
ˈɛ	ˈɪ	0.122
ˈɛ	ˈeː	0.122
ˈɛ	ˈʊ	0.094
ˈɛɪ̯	ˈiː	1.0
ˈɛː	ˈeː	0.324
ˈɛː	j	0.186
ˈɛː	ˈoː	0.186
ˈɛː	ˈeːu̯	0.186
ˈɛː	ˈi	0.091
ˈɪ	ˈɪ	0.5
ˈɪ	ˈiː	0.142
ˈɪ	ˈi	0.118
ˈɪ	j_ˈʊ	0.08
ˈɪ	ˈɛ	0.059
ˈʊ	ˈʊ	0.56
ˈʊ	ˈuː	0.204
ˈʊ	ˈɔ	0.106
ˈʊ	ˈu	0.106
ˈʏ	ˈɛː	0.484
ˈʏ	ˈyː	0.206
ˈʏ	ˈɔ	0.13
ˈʏ	ˈʊ	0.13
