Eastern Lombard	Eastern Lombard	probability
ˈɔ_s	ˈɔ_s	1.0
ˈø_ʧ	ˈo_ʎ	1.0
ˈø_k	ˈɔ_k	1.0
ˈy	ˈu	1.0
ˈu_s	w	1.0
ˈu_n	ˈɔ_n	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_t	ˈe_n	1.0
ˈe_l	ˈɛ_l	1.0
ˈe_#>	#>	1.0
ˈa_t	ˈa_t	1.0
ˈa_s	ˈa_s	1.0
ˈa_r	ˈa_r	1.0
ˈa_l	ˈa_l	1.0
ˈa_k	ˈa_k	1.0
ˈa_d	ˈa	1.0
ɲ	ɲ	1.0
ɡ_a	ɣ_ə	1.0
ŋ_t_#>	n_#>	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
y	ə_m	1.0
w	w	1.0
u	u	1.0
t_m	mː	1.0
t_a	t_ə	1.0
t_#>	#>	1.0
s_ˈɛ	s_ˈɛ	1.0
r_t	r_t	1.0
r_k	r_k	1.0
r_e	r	1.0
r_#>	#>	1.0
p_#>	s_#>	1.0
p	p	1.0
n_ʤ	ɲ_ʒ	1.0
m_#>	m_#>	1.0
m	m	1.0
l_a	l_ə	1.0
j_ˈø	ˈi	1.0
j_#>	ʎ_#>	1.0
f_#>	w_#>	1.0
e_r	ɾ_ə	1.0
e_#>	#>	1.0
d_a	ð_ə	1.0
b_ˈa	b_ˈa	1.0
a_j	ə_ʒ	1.0
<#_ˈø	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_k_l	1.0
<#_r	<#_r	1.0
<#_a	<#_ə	1.0
a	ə	0.958
k	k	0.953
ˈa	ˈa	0.941
f	f	0.917
n	n	0.897
s	s	0.849
t	t	0.848
ʧ	t	0.714
b	b	0.706
e	ə	0.696
l	ʎ	0.68
d	d	0.667
ˈi	ˈi	0.65
ˈu	ˈo	0.647
s_#>	w_#>	0.625
o	u	0.625
i	i	0.625
j	l	0.583
z	ʒ	0.579
ˈɔ	ˈɔ	0.562
r	ɾ	0.561
<#	<#_b	0.56
ˈø	ˈu	0.533
ɡ	ɡ	0.526
ˈo	ˈɔ	0.524
ˈɛ	ˈe	0.513
ʋ	β	0.5
ʋ	b	0.5
#>	w_#>	0.5
#>	s_#>	0.5
<#	<#_ə	0.44
ʤ	ɡ_l	0.429
z	-	0.421
ˈe	ˈɛ	0.391
s_#>	#>	0.375
o	-	0.375
i	ə	0.375
ɡ	ɣ	0.368
ˈu	ˈɔ	0.353
ˈɛ	ˈɛ	0.333
ˈo	ˈo	0.333
r	r	0.293
ʧ	ʎ	0.286
ʤ	ʎ	0.286
ʤ	-	0.286
l	l	0.28
ˈø	ˈɔ	0.267
ˈe	ˈe	0.261
ˈɔ	ˈu	0.25
ˈe	ˈi	0.217
ˈø	ˈo	0.2
ˈi	ˈe	0.2
ˈɔ	-	0.188
b	β	0.176
j	ʎ	0.167
j	-	0.167
d	ð	0.167
t	ð	0.152
ˈi	ˈɛ	0.15
ˈo	ˈu	0.143
ˈe	b_ˈi	0.13
e	i	0.13
b	-	0.118
ɡ	-	0.105
ˈɛ	ˈi	0.103
e	ə_β	0.087
e	w	0.087
j	ʎː	0.083
f	w_ɾ	0.083
d	ʤ	0.083
d	w_ɾ	0.083
s	ʃ	0.075
r	ɾ_ə	0.073
r	-	0.073
ˈa	ˈe	0.059
ˈɛ	-	0.051
n	ɲ	0.051
n	-	0.051
