Wymysorys	Eastphalian	probability
ˈɪ	ˈɪ	1.0
ˈɔ_w	ˈa_l	1.0
ˈɑi̯_ɛ	ˈyː	1.0
ˈɑ_n	ˈɛɪ̯_n	1.0
ˈoi̯	k_ˈɔ	1.0
ˈi_r	ɐ	1.0
ʧ	ʃ	1.0
ʦ	t	1.0
ɪ	ɪ	1.0
ɟ	ɡ	1.0
ɛ_r	ɐ	1.0
ɑ	ɒː	1.0
ŋ_ɟ	ŋ	1.0
ŋ	ŋ	1.0
ç	k	1.0
z	z	1.0
x_t	ç_t	1.0
w	l	1.0
v_ˈɛ	v	1.0
u	l	1.0
s_t	s_t	1.0
s_a	t_n	1.0
p	p	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
h	h	1.0
f_a	b_m	1.0
c	k	1.0
b̥	f	1.0
b	b	1.0
n	n	0.931
f	f	0.887
d̥	d̥	0.818
ɡ	ɣ	0.788
v	v	0.779
ˈø	ˈɒː	0.749
s	t	0.738
ˈai̯	ˈiː	0.707
a	n	0.692
k	k	0.677
ˈi̯ø	-	0.657
d	d	0.63
ˈɘ̟	ˈɪ	0.619
ʃ	ʃ	0.602
x	k	0.582
ˈɛ	-	0.58
ˈei̯	-	0.578
ˈa	ˈɛɪ̯	0.575
ə	-	0.571
ˈɑ	ˈa	0.558
j	ˈoː	0.551
r	r	0.544
ˈʏ	-	0.517
ˈi	ˈɛɪ̯	0.51
j	j	0.449
ˈu	ˈʊ	0.446
ˈɑi̯	ˈuː	0.439
ə	ɐ	0.429
ˈɛ	ˈɪ	0.42
x	x	0.418
t	d	0.416
ʃ	s	0.398
ˈʏ	ˈaʊ̯	0.375
d	-	0.37
r	ɐ	0.359
ˈi̯ø	ˈa_ɐ	0.343
ɡ̊	ə	0.34
ɡ̊	ç	0.34
t	d̥	0.304
ˈɔ	ˈɒː	0.295
ˈɔ	-	0.295
t	t	0.28
ˈi	-	0.262
ˈø	-	0.251
ˈi	ˈɔʏ̯	0.228
ɡ̊	ɣ_ə	0.213
ɡ	j	0.212
ˈei̯	ˈɪ	0.211
ˈei̯	ˈeː	0.211
ˈa	-	0.205
ˈɑi̯	ˈeo̯	0.185
s	z̥	0.184
d̥	-	0.182
ˈɔ	ˈa	0.18
k	ç	0.179
ˈai̯	-	0.175
ˈɔ	ˈɛː	0.172
ˈu	ˈeo̯	0.162
v	w	0.159
ˈu	ˈɔ	0.156
a	ə	0.154
a	-	0.154
ˈa	ˈɛ	0.15
k	-	0.144
ˈɘ̟	ˈʏ	0.141
ˈɑi̯	ˈøː	0.138
ˈɑi̯	-	0.138
ˈɑ	ˈeː	0.131
ˈɘ̟	ˈɛ	0.13
ˈɑ	-	0.125
ˈu	-	0.12
ˈai̯	ˈɛɪ̯	0.118
ˈu	ˈoː	0.116
f	p	0.113
ˈɘ̟	-	0.11
ˈʏ	ˈʊ	0.108
ɡ̊	ɣ̊	0.106
ˈɑi̯	ˈʏ	0.099
r	-	0.096
s	s	0.078
ˈɑ	ˈɔ	0.074
ˈa	ˈaɪ̯	0.07
n	-	0.069
ˈɑ	ˈɛː	0.067
v	-	0.063
ˈɔ	ˈɛə̯	0.057
