Hoisanese	Hoisanese	probability
ⁿd	n	1.0
⁵⁵_#>	#>	1.0
ᵑɡ_e	œ	1.0
ᵑɡ	n	1.0
ɵ_k̚	u	1.0
ɬ	s	1.0
ɔ_j	ɛ	1.0
ŋ_²²	ŋ_²¹	1.0
ŋ	ŋ	1.0
²¹	²¹	1.0
²	²¹	1.0
v	w	1.0
t̚_⁵⁵	²⁴	1.0
t̚	-	1.0
t	ʦ	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
m̩	u_⁴²	1.0
m	ŋ	1.0
l	l	1.0
k̚_⁵⁵	²⁴	1.0
k̚_³³	²⁴	1.0
k̚_³²	⁴²	1.0
kʰ	-	1.0
k	k	1.0
j_⁵⁵	²¹	1.0
j_³³	³³	1.0
j_³²	⁵⁵	1.0
h_ɔ	ɔ	1.0
e_w	e	1.0
a_k̚	ɛ	1.0
<#_ᵑɡ	<#_ŋ	1.0
<#_f	<#	1.0
<#	<#_t	1.0
³³	⁵⁴	0.879
²²	³³	0.84
⁵⁵	²¹	0.833
a	a	0.783
ᵐb	m	0.778
³²	⁵⁵	0.727
n	ŋ	0.727
tʰ	ʦʰ	0.714
ʦʰ	ʦʰ	0.667
e	i	0.667
ɵ	ɔ	0.636
j_a	j_a	0.625
j	-	0.625
ʦ	ʦ	0.5
ʦ	t	0.5
w	w	0.5
u	y	0.5
ɔ	ɔ	0.417
i	j	0.417
h	tʰ	0.4
j_a	ɔ	0.375
j	j	0.375
f	x	0.375
f	p	0.375
ɵ	y	0.364
ʦʰ	t	0.333
i	e_j	0.333
h	kʰ	0.333
tʰ	ʦ	0.286
³²	⁴²	0.273
w	u	0.273
n	j_ŋ	0.273
h	x	0.267
ɔ	o	0.25
i	i	0.25
f	x_w	0.25
w	-	0.227
ᵐb	w	0.222
u	u	0.208
⁵⁵	²⁴	0.167
ɔ	j	0.167
ɔ	a	0.167
e	a	0.167
e	-	0.167
²²	²¹	0.16
a	a_j	0.13
u	-	0.125
³³	³³	0.121
a	j	0.087
u	ɔ	0.083
u	i	0.083
