Polish	Slovenian	probability
b	b	1.0
d	d	1.0
f	-	1.0
m	m	1.0
n	n	1.0
p	p	1.0
s	s	1.0
t	t	1.0
v	ʋ	1.0
w̃	-	1.0
x	x	1.0
z	z	1.0
ɕ	s	1.0
ɡ	ɡ	1.0
ɨ	i	1.0
ɲ	n	1.0
ʈ͡ʂ	ʧ	1.0
ʑ	z	1.0
ʥ	d	1.0
ˈi	ìː	1.0
ˈɨ	íː	1.0
a	a	0.981
ɛ	ə	0.301
ʨ	t_i	0.531
ˈu	óː	0.671
ˈɔ	ɔ	0.081
ʂ	ʃ	0.602
ʦ	ʧ	0.152
ˈa	èː	0.282
ˈa	éː	0.352
ˈɔ	o	0.092
ˈɛ	èː	0.12
ˈɛ	e	0.122
w	l	0.743
ɔ	óː	0.493
ɛ	éː	0.473
ˈɔ	èː	0.063
j	-	0.824
k	k	0.934
ʐ	ʒ	0.144
ˈɔ	óː	0.34
ˈɛ	éː	0.334
l	w	0.175
l	l	0.825
ˈɔ	áː	0.065
ˈɔ	ɔ̀ː	0.175
j	j	0.176
k	ə_k	0.066
r	r	0.966
ɛ	ɛ	0.226
ʐ	r	0.856
ˈa	ə̀	0.16
ˈɔ	àː	0.066
ˈɛ	ɔ̀ː	0.06
w	w	0.257
ɔ	ɔ	0.507
ˈa	á	0.067
ˈɔ	òː	0.117
ʂ	-	0.398
ʦ	ʦ	0.848
ˈɛ	ɛ̀ː	0.288
ʨ	t	0.469
ˈa	àː	0.109
ˈu	úː	0.329
