Lengadocian	Lengadocian	probability
β_ˈe	β_ˈe	1.0
β	β	1.0
ˈɔ_k	ˈe_u	1.0
ˈy	ˈu	1.0
ˈu_t	ˈo	1.0
ˈe_k	ˈe_k	1.0
ˈe_j	ˈe	1.0
ˈa_w	ˈo	1.0
ʧ	ʧ	1.0
ʦ_#>	θ_#>	1.0
ʎ	ʝ	1.0
ʀ_t	ɾ_t	1.0
ʀ_#>	ɾ_n_u_#>	1.0
ɾ_ɔ	ɾ_a	1.0
ɾ_j	ɾ	1.0
ɲ	ɲ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
ð	ð	1.0
y	-	1.0
t_ɔ	t_a	1.0
t_#>	#>	1.0
s_k	s_k	1.0
s_#>	s_#>	1.0
p_l	ʎ	1.0
p_e	p_j	1.0
nː	m	1.0
mː	l_m	1.0
m	m	1.0
lː	-	1.0
l_s	l_s	1.0
l_e	ʎ_e	1.0
l_#>	l_#>	1.0
k_l	ʎ	1.0
j_ˈɛ	ˈe	1.0
j_ɾ	ð_ɾ	1.0
j_s	θ	1.0
f	f	1.0
e_#>	#>	1.0
b_ˈɛ	f_e	1.0
a	a	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#_e	1.0
<#	<#_ɡ	1.0
b	b	0.939
ˈa	ˈa	0.938
p	p	0.926
ɾ	ɾ	0.92
ˈi	ˈi	0.9
k	k	0.87
ˈu	ˈo	0.853
ɥ	w	0.8
n	n	0.778
j	j	0.778
ˈɔ	w_ˈe	0.773
d	d	0.765
ˈe	ˈe	0.759
t	t	0.727
u	o	0.706
<#_s	<#_s	0.704
ʀ	ɾ	0.688
w_#>	β_e_#>	0.667
<#_ˈa	<#_ˈa	0.667
e	e	0.657
ʤ	ʃ	0.643
s	s	0.64
ˈɛ	j_ˈe	0.606
ɾ_e	ɾ_u	0.571
i	i	0.5
i	-	0.5
z	s	0.444
ɾ_e	ɾ	0.429
l	l	0.4
ˈɛ	ˈe	0.394
#>	u_#>	0.345
z	θ	0.333
w_#>	#>	0.333
<#_ˈa	<#	0.333
w	β	0.312
w	ˈo	0.312
<#_s	<#_θ	0.296
u	u	0.294
l	ʎ	0.267
#>	ɾ_#>	0.245
d	-	0.235
z	-	0.222
j	-	0.222
ʤ	-	0.214
ɥ	ˈu	0.2
s	θ	0.2
ʀ	ɾ_u	0.188
w	u	0.188
w	-	0.188
#>	e_#>	0.173
l	ʝ_u	0.167
ʤ	ʝ	0.143
ˈɔ	ˈo	0.136
t	ð	0.136
t	-	0.136
ʀ	r	0.125
e	ˈe_ɾ	0.114
e	o	0.114
n	n_t	0.111
ˈe	-	0.103
ˈi	ˈe	0.1
l	u	0.1
ˈɔ	ˈe	0.091
ˈu	ˈu	0.088
#>	ŋ_#>	0.082
ɾ	β	0.08
s	ʃ	0.08
s	p_u	0.08
p	β_u	0.074
ˈe	ˈi	0.069
ˈe	ɾ_ˈe	0.069
l	m_ˈo	0.067
k	ɣ_u	0.065
k	ɡ	0.065
b	-	0.061
ˈu	-	0.059
e	u	0.057
e	i	0.057
n	ɲ	0.056
n	-	0.056
#>	t_u_#>	0.055
#>	n_u_#>	0.055
