Occitan	Eastern Lombard	probability
#>	p_#>	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈø	1.0
<#_ʤ	<#_z	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a_l	a_l	1.0
a_m	a_m	1.0
a_s	a_s	1.0
a_β	a	1.0
d_ɾ	d_e	1.0
i	i	1.0
j_ɾ	d	1.0
j_ˈɛ	ˈɛ	1.0
k	k	1.0
k_#>	k_#>	1.0
l_#>	l_#>	1.0
l_ɔ	l_a	1.0
l_ˈa	j_ˈa	1.0
m	m	1.0
m_#>	m_#>	1.0
m_ɔ	m_a	1.0
n_#>	t_#>	1.0
n_ʤ	n_ʤ	1.0
r	r	1.0
r_#>	r_#>	1.0
r_k	r_k	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t_#>	1.0
t_ɾ	t_e	1.0
t_ˈa	t_ˈa	1.0
u	o	1.0
u_l	u_l	1.0
w_#>	f_#>	1.0
ŋ	ŋ	1.0
ɔ	-	1.0
ɔ_#>	a_#>	1.0
ɡ	ɡ_w	1.0
ɡ_l	ʤ	1.0
ɣ	ɡ	1.0
ɥ_ˈɔ	ˈø	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ɲ_ɔ	ɲ	1.0
ɾ_ˈi	r	1.0
ʦ	e	1.0
ʦ_#>	s_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_l	ˈa_l	1.0
ˈa_m	ˈa_m	1.0
ˈa_n	ˈa_n	1.0
ˈa_ŋ	ˈa_ŋ	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈe_#>	ˈe_#>	1.0
ˈe_j	ˈɛ	1.0
ˈi_#>	ˈi_#>	1.0
ˈi_l	ˈe_l	1.0
ˈi_β	ˈi	1.0
ˈu_#>	ˈu_#>	1.0
ˈu_l	ˈø_ʧ_#>	1.0
ˈu_n	ˈo_n	1.0
ˈɔ_r	ˈo_r	1.0
ˈɛ_l	ʧ	1.0
ˈɛ_r	ˈɛ_r	1.0
β_l	b_j	1.0
β_ɾ	ʋ_r	1.0
<#_v	<#	0.81
e	e	0.611
e_#>	r_#>	0.171
ʧ_#>	t_#>	0.571
ˈi	j_ˈø	0.091
ˈu	ˈo	0.241
ˈy	ˈy_r	0.1
ˈy	-	0.1
ˈy	ˈo	0.1
a	-	0.182
e	i	0.222
j	j	0.222
j	ʤ	0.222
l	j_#>	0.182
s	s	0.462
ˈi	ˈi	0.682
ˈɛ	ˈi	0.062
<#_k	<#_k	0.923
l	ʧ	0.273
n	ɲ	0.083
w	o	0.333
ˈa	ˈa	0.853
ˈe	ˈe	0.233
ˈy	ˈy	0.3
<#_a	<#_a	0.444
<#_e	<#_e	0.154
s	ʧ	0.154
z	-	0.4
ɾ	-	0.054
ɾ	f	0.054
ʎ	ʤ	0.4
ˈa_w	ˈo	0.714
ˈu	ˈu	0.414
ˈy	ˈø	0.4
<#_ˈa	<#	0.5
<#_ˈa	<#_ˈa	0.5
l	j	0.545
s	-	0.385
w	ˈo	0.25
ð	t	0.375
ð	d	0.625
ɾ	e_r	0.135
ˈa_j	ˈa_d	0.5
ˈa_j	ˈa	0.5
ˈɔ	ˈu	0.125
ˈɔ	ˈø	0.375
ˈɔ	ˈɔ	0.5
ˈɛ	ˈɛ	0.5
β	-	0.5
β	b	0.5
<#_a	<#	0.556
<#_e	<#	0.846
j	-	0.556
z	z	0.6
ʎ	j	0.6
ʤ	s	0.286
ʤ	j	0.286
ˈa_w	ˈɔ	0.286
<#_k	<#	0.077
e	-	0.167
w	-	0.417
ɾ	r	0.757
ˈe	e	0.067
ˈe	-	0.067
ˈe	ˈi	0.267
ˈe	ˈɛ	0.367
ˈi	ˈe	0.227
a	a	0.818
n	-	0.208
n	n	0.708
ˈa	w_ˈa	0.088
ˈu	ˈy	0.138
ˈu	ˈu_r	0.138
ˈɛ	ˈe	0.438
<#_v	<#_ʋ	0.19
e_#>	#>	0.829
ʤ	d	0.429
ʧ_#>	ʧ_#>	0.429
ˈa	-	0.059
ˈu	ˈɔ	0.069
