Ripuarian	Ripuarian	probability
ˈʊ	-	1.0
ˈɔː	-	1.0
ˈøː	ˈɔʏ̯	1.0
ˈøʏ̯	ˈiː	1.0
ˈu	ˈɔ	1.0
ʦ	t	1.0
ʋ_ˈɛ	v	1.0
ʋ_ˈa	v_ˈɪ	1.0
ʀ_ˈøː	r	1.0
ɪ	-	1.0
ɣ̊	ɣ̊	1.0
ɡ̊_#>	#>	1.0
ɡ̊	d̥	1.0
ə_f_#>	f_#>	1.0
ə_#>	#>	1.0
v_ə	m	1.0
v	v	1.0
t	t	1.0
p	p	1.0
m	m	1.0
j_ə	ŋ	1.0
h	h	1.0
f_ə	b_m	1.0
e	ɒː	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ə	n	1.0
d_ɐ	ɐ	1.0
d	d	1.0
b	b	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_n	<#_n	1.0
#>	d̥_#>	1.0
l	l	0.92
ɐ	ɐ	0.909
k	k	0.905
ʀ	r	0.897
f	f	0.889
ə	n	0.882
z	z	0.875
ˈeː	ˈɛɪ̯	0.857
ʋ	v	0.818
ˈeɪ̯	ˈɛɪ̯	0.8
v̥	f	0.8
ɫ	l	0.783
s	t	0.778
n	n	0.742
ˈe	ˈɪ	0.737
ˈœ	ˈʏ	0.714
ˈa	ˈa	0.667
ˈɪ	ˈɪ	0.636
x	x	0.625
ˈʏ	-	0.6
ˈɔʊ̯	ˈuː	0.6
ŋ	n	0.577
z̥	z̥	0.571
j	ɣ	0.545
ˈo	ˈʊ	0.538
ˈuː	ˈuː	0.5
ˈuː	ˈeo̯	0.5
ˈiː	ˈiː	0.5
ʃ	ʃ	0.5
ʃ	s	0.5
j	j	0.455
z̥	z_ə	0.429
ŋ	ŋ	0.423
ˈaː	ˈa	0.417
ɕ	ç	0.412
ˈʏ	ˈʏ	0.4
ˈɔʊ̯	-	0.4
ˈyː	ˈøː	0.375
ˈyː	-	0.375
x	k	0.375
ˈɔ	ˈʊ	0.364
ˈɔ	ˈɔ	0.364
ˈɛː	ˈɛː	0.333
ˈɛː	ˈɛ	0.333
ˈɛː	ˈeː	0.333
ˈoː	ˈɒː	0.333
ˈoː	ˈaʊ̯	0.333
ˈiː	ˈɛɪ̯	0.333
ˈaː	ˈɒː	0.333
ɕ	k	0.294
ˈœ	-	0.286
ˈɔ	-	0.273
ˈɛ	ˈɛ	0.267
ˈe	-	0.263
ˈyː	ˈyː	0.25
ˈaː	-	0.25
ˈo	ˈɔ	0.231
ˈo	-	0.231
ɫ	l_ə	0.217
ˈɛ	ˈeː	0.2
ˈɛ	ˈa	0.2
ˈɛ	-	0.2
ˈeɪ̯	ˈaɪ̯	0.2
v̥	v̥	0.2
ˈɪ	ˈiː	0.182
ˈɪ	-	0.182
ʋ	w	0.182
ɕ	k_ə	0.176
ˈiː	-	0.167
ˈa	-	0.167
ˈoː	-	0.143
ˈeː	-	0.143
ˈɛ	ˈɛː	0.133
n	n_ə	0.129
ˈa	ˈɔ	0.125
z	z_ˈeː	0.125
ɕ	ə	0.118
s	t_ə	0.111
s	s	0.111
f	p	0.111
ʀ	-	0.103
ˈoː	ˈʊ	0.095
ˈoː	ˈeo̯	0.095
k	ə	0.095
ɐ	-	0.091
l	ˈœ_l	0.08
n	ˈɒː_n	0.065
n	ɐ_n	0.065
ə	ɪ	0.059
ə	-	0.059
