Catalan	Aragonese	probability
d	d	1.0
f	f	1.0
j	j	1.0
z	s	1.0
ð	ð	1.0
ʃ	ʃ	1.0
ʧ	ʝ_o	1.0
β	β	1.0
k	k	0.901
w	t	0.071
ə	e	0.21
ə	a	0.651
ɾ	ɾ	0.891
ʒ	ʧ	0.931
ˈa	ˈa_ɾ	0.171
ˈo	ˈo	0.381
ˈu	w_ˈe	0.051
i	j	0.142
s	s	0.652
ŋ	ŋ_ɡ	0.362
ɣ	-	0.092
ɲ	n	0.152
ˈi	ˈe	0.2
ˈo	ˈu	0.32
ˈɛ	j_ˈe	0.272
l	l	0.823
p	p	0.963
r	r	0.193
ˈe	ˈe	0.543
ˈi	ˈi	0.583
ˈu	ˈu	0.813
s	s_o	0.054
w	θ	0.284
ɡ	ɡ	0.954
ɲ	-	0.054
ˈa	ˈa	0.704
ˈo	ˈo_n	0.184
ˈu	ˈe	0.084
s	θ	0.25
ŋ	ŋ	0.5
ɲ	ɲ	0.525
ʎ	ʎ_o	0.285
ˈɔ	ˈo	0.325
ˈɔ	w_ˈe	0.675
ˈɛ	ˈu	0.065
b	b	0.916
k	ɣ_o	0.086
m	m	0.96
ˈi	ˈe_j	0.096
l	l_o	0.127
r	ɾ	0.777
u	u	0.177
w	-	0.137
ŋ	ŋ_k	0.137
ɾ	-	0.067
ˈo	w_ˈe	0.077
ˈɛ	ˈe	0.597
i	i	0.858
n	n	0.828
t	t	0.638
u	o	0.78
w	w	0.508
ɣ	ɣ	0.908
ˈa	ˈa_n	0.078
ˈe	j_ˈe	0.398
ˈi	ˈi_n	0.078
ˈɛ	ʝ_ˈe	0.058
n	n_t	0.159
t	t_o	0.219
ɲ	ɲ_o	0.269
ʎ	ʎ	0.239
ʎ	l	0.449
ʒ	ʝ	0.069
