Slovak	Macedonian	probability
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʎ_a	l_ɛ	1.0
ʎ	l	1.0
ʋ_iː	f	1.0
ʋ	v	1.0
ʊ̯ɔ	o	1.0
ʃ	-	1.0
ɫ̩	o_ɫ	1.0
ɫ	ɫ	1.0
ɪ̯ɛ	ɛ	1.0
ɪ̯a	ɛ	1.0
ɦ	ɡ	1.0
ɡ̊	k	1.0
ɟ̊	d̥	1.0
ɛ_ɫ	ɛ_ɫ	1.0
ɛ_s	ɛ_s	1.0
æ	ɛ	1.0
z̥	z̥	1.0
z	z	1.0
x_a	v_a	1.0
x	ɡ̊	1.0
v	-	1.0
t	t	1.0
s_ɔ	s_o	1.0
s	s	1.0
r̩ː	r̩	1.0
r̩	r̩	1.0
p_ɔ	p_ɛ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l̩	ɔ_ɫ	1.0
k_iː	o_k	1.0
k	k	1.0
j	j	1.0
iː	-	1.0
f	p	1.0
eː	ɛ	1.0
e	ɛ	1.0
d̥	d̥	1.0
c	t	1.0
b̥	b̥	1.0
b	b	1.0
a_ʋ	a_v	1.0
a_s	a_s	1.0
r	r	0.984
ɲ	n	0.948
a	a	0.924
ɟ	d	0.894
d	d	0.862
i	i	0.851
ɛ	ɛ	0.789
ʦ	ʦ	0.759
ɔ	o	0.683
u	u	0.614
uː	u	0.6
l	l	0.532
x_iː	f	0.515
aː	ɛ	0.5
aː	a	0.5
x_iː	x	0.485
l	ɫ	0.468
uː	a	0.4
u	a	0.386
ʦ	c	0.241
ɔ	ɔ	0.166
i	-	0.149
d	-	0.138
ɟ	ɟ	0.106
ɛ	-	0.1
a	ɛ	0.076
ɛ	u	0.073
ɔ	ɛ	0.059
ɔ	a	0.059
ɲ	ɲ	0.052
