Lithuanian	Lithuanian	probability
ˈ	ˈ	1.0
ʒ	z	1.0
ʑ	z	1.0
ʊ_ˈ	ʊ	1.0
ɪ_ˈ_s_#>	ɔ_#>	1.0
ɪ_ˈ	ɪ	1.0
ɪ_s	ʊ	1.0
ɪ_#>	i_#>	1.0
ɡ	ɡ	1.0
ɛʊ̯	u	1.0
ɛɪ̯	i	1.0
ɕ_ɪ	s	1.0
ɕ	s	1.0
ɐʊ̯	u	1.0
ɐɪ̯	-	1.0
ɐ_ŋ	ɔ̃	1.0
ɐ_s_#>	#>	1.0
ɐ_s	ʊ	1.0
æː	-	1.0
z	ɑ	1.0
v	v	1.0
uː_̂	ɯ	1.0
uə̯	-	1.0
s_#>	#>	1.0
rʲ_oː	rʲ	1.0
rʲ	r	1.0
pʲ	p	1.0
p	-	1.0
mʲ	m	1.0
kʲ	ʧ	1.0
j	-	1.0
iə̯	-	1.0
eː_̌	ɑ	1.0
eː_̂	æ	1.0
dʲ	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
aɪ̯	-	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
ɫ	l	0.846
̌	-	0.8
vʲ	v	0.8
r	r	0.8
tʲ	t	0.778
lʲ	l	0.778
ʃ	s	0.75
sʲ	s	0.75
nʲ	-	0.714
aː_̌	ɔ_ˈ	0.714
t	t	0.692
̂	-	0.688
ɡʲ	ʒ	0.667
m	m	0.667
n	n	0.636
oː	ɑ	0.625
ˈ_#>	ˈ_#>	0.615
æː_̌	ɛ_ˈ	0.6
eː	ɑ	0.6
#>	ˈ_#>	0.6
iː	i_ˈ	0.5
iː	-	0.5
aː	ɔ̃	0.5
aː	-	0.5
<#	<#_j	0.5
ɛ	-	0.429
ɐ	ɑ	0.414
ʊ	ʊ	0.4
æː_̌	ɛ	0.4
k	k	0.4
k	-	0.4
eː	-	0.4
ˈ_#>	#>	0.385
ɐ	ɔ	0.379
s	ʊ	0.364
s	-	0.364
n	-	0.364
ɡʲ	-	0.333
m	-	0.333
ɪ	-	0.316
t	-	0.308
<#	<#_ɔ	0.3
ɛ	ɛ_ˈ	0.286
ɛ	ɛ	0.286
nʲ	m	0.286
aː_̌	ɛ	0.286
s	s	0.273
ʃ	x	0.25
sʲ	x	0.25
oː	-	0.25
tʲ	-	0.222
lʲ	-	0.222
ɪ	ɪ	0.211
̌	ɪ_ˈ	0.2
ʊ	ɯ	0.2
ʊ	u	0.2
ʊ	-	0.2
vʲ	-	0.2
r	-	0.2
k	ʃ	0.2
<#	<#_ɡ	0.2
#>	ɪ_#>	0.2
#>	ɑ_#>	0.2
̂	æ_ˈ	0.188
ɪ	t_ɪ	0.158
ɫ	-	0.154
ɐ	-	0.138
̂	ɑ_ˈ	0.125
oː	a	0.125
ɪ	ʊ	0.105
ɪ	ɔ	0.105
ɪ	l_ɪ	0.105
ɐ	ɔ̃	0.069
