East Low German	Dutch	probability
ae̯	i	1.0
b	b	0.972
d	d	0.647
d	d̥	0.337
f	v	0.705
f	v̥	0.221
f	f	0.073
h	ɦ	0.96
j	χ	0.933
j	j	0.067
k	k	0.912
k	χ	0.088
kʰ	k	1.0
l	ɫ	0.93
l	ə_ɫ	0.056
m	m	0.81
m	ə	0.076
m	v_ə	0.066
n	n	0.74
n	ə_n	0.242
p	p	1.0
pʰ	p	1.0
r	ɾ	1.0
s	s	0.734
s	z̥	0.127
s	ɾ_s	0.084
s	z	0.054
t	t	0.734
t	d̥	0.217
tʰ	t	1.0
v	ʋ	0.997
w	ʋ	1.0
x	χ	1.0
z	z	0.96
æ	ɾ	0.509
æ	ə	0.274
æ	d_ə	0.144
ç	χ	0.76
ç	ŋ	0.096
ç	w	0.078
ç	k	0.063
ŋ	ŋ	0.572
ŋ	χ	0.428
ɡ	χ	0.878
ɡ	-	0.122
ɣ	χ	1.0
ɪ	ə	0.535
ɪ	ɪ	0.465
ɾ	d	0.586
ɾ	ə	0.224
ɾ	-	0.191
ʃ	s	0.925
ʃ	z	0.075
ˈa	ˈɑ	0.936
ˈa	ˈaː	0.064
ˈae̯	ˈi	0.49
ˈae̯	ˈeː	0.446
ˈaɪ̯	ˈɛ	0.66
ˈaɪ̯	ˈi	0.34
ˈaʊ̯	ˈu	0.503
ˈaʊ̯	ˈoː	0.431
ˈaː	ˈɑ	0.676
ˈaː	ˈɛ	0.223
ˈaː	ˈaː	0.101
ˈeː	ˈeː	0.585
ˈeː	ˈi	0.415
ˈiː	ˈɛi̯	0.655
ˈiː	ˈi	0.189
ˈiː	ˈɛ	0.108
ˈoː	ˈaː	0.456
ˈoː	ˈoː	0.322
ˈoː	ˈeː	0.142
ˈoː	ˈɔ	0.08
ˈuː	ˈœy̯	0.53
ˈuː	ˈoː	0.197
ˈuː	ˈɑu̯	0.146
ˈuː	ˈɔ	0.064
ˈuː	ˈyː	0.063
ˈyː	ˈyː	0.453
ˈyː	ˈœy̯	0.386
ˈyː	ˈoː	0.161
ˈøː	ˈoː	1.0
ˈœ	ˈɔ	0.537
ˈœ	ˈaː	0.154
ˈœ	ˈoː	0.154
ˈœ	ˈɛ	0.154
ˈœː	ˈeː	0.536
ˈœː	ˈoː	0.286
ˈœː	ˈʏ	0.178
ˈɒː	ˈaː	0.83
ˈɒː	ˈoː	0.17
ˈɔ	ˈɔ	0.497
ˈɔ	ˈoː	0.317
ˈɔ	ˈɑu̯	0.186
ˈɔʏ̯	ˈu	0.491
ˈɔʏ̯	ˈoː	0.446
ˈɔʏ̯	-	0.063
ˈɛ	ˈɛ	0.842
ˈɛ	ˈeː	0.158
ˈɛɪ̯	ˈaː	1.0
ˈɛː	ˈeː	0.667
ˈɛː	j	0.13
ˈɛː	ˈɑ	0.122
ˈɛː	ˈøː	0.08
ˈɪ	ˈɪ	0.863
ˈɪ	ˈɛi̯	0.072
ˈʊ	ˈɔ	0.898
ˈʊ	ˈu	0.064
ˈʏ	ˈʏ	0.472
ˈʏ	ˈɛ	0.218
ˈʏ	ˈi	0.163
ˈʏ	ˈɔ	0.089
ˈʏ	-	0.057
