Ladin	Ladin	probability
ˈɛ_n	ˈi_n	1.0
ˈɛ_f	w	1.0
ˈu	ˈu	1.0
ˈo_w	ˈu	1.0
ˈo_s	ˈo_j	1.0
ˈi	ˈi	1.0
ˈe_#>	ˈa_r_e_#>	1.0
ʧ	-	1.0
ʤ	-	1.0
z	s	1.0
w_ˈɛ	ˈo	1.0
s_#>	#>	1.0
r_t	r_t	1.0
r	r	1.0
p	p	1.0
m_#>	m_e_#>	1.0
m	m	1.0
l_ˈe	l_ˈe	1.0
l_ˈa	e̯ˈa	1.0
l_#>	r_#>	1.0
k_r	k_r	1.0
j_ˈɛ	ˈe	1.0
j_a	e	1.0
i	nʲ	1.0
e_r	r_u	1.0
d_l	kʲ	1.0
d_a	t_ə	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_i	<#	1.0
n	n	0.917
f	f	0.895
s	s	0.87
#>	e_#>	0.861
k	k	0.857
<#_l	<#_l	0.846
ʨ	k	0.737
k_#>	k_#>	0.714
a	ə	0.706
t	t	0.69
v	v	0.688
<#_d	<#_d	0.667
l	l	0.636
ʦ	ʦ	0.6
ɲ	n	0.6
ŋ	n	0.6
ˈo	ˈu	0.588
ʃ	s	0.562
ɡ	ɡ	0.545
o	u	0.545
n_#>	n_#>	0.545
ˈa	ˈa	0.519
ʒ	ʤ	0.5
d	t	0.5
<#	<#_ʧ	0.5
<#	<#_j	0.5
n_#>	n_e_#>	0.455
ˈɔ	ˈo	0.421
w	o̯ˈa	0.417
ʦ	-	0.4
ɲ	m_n	0.4
ŋ	-	0.4
e	e	0.385
ˈa	ˈɨ	0.37
ˈe	ˈe	0.355
ˈɛ	ˈa	0.353
w	l	0.333
<#_d	<#_z	0.333
ˈe	-	0.323
ˈɔ	ˈu	0.316
v	-	0.312
d	d	0.3
j	j	0.292
j	-	0.292
k_#>	#>	0.286
ɡ	b	0.273
o	-	0.273
ˈɔ	o̯ˈa	0.263
ʨ	ʧ	0.263
ʃ	ʧ_e	0.25
w	ˈo	0.25
t	p_t	0.241
ˈo	-	0.235
l	r	0.227
j	e̯ˈa	0.208
j	e	0.208
ˈɛ	ˈe	0.206
d	-	0.2
e	ə	0.192
ʃ	ʃ_t	0.188
ɡ	-	0.182
o	o	0.182
ˈɛ	j_ˈe	0.176
ˈo	ˈo	0.176
ʒ	ʒ	0.167
ʒ	z	0.167
ʒ	-	0.167
<#_l	<#	0.154
k	-	0.143
#>	ə_#>	0.139
a	-	0.137
l	-	0.136
s	ʃ	0.13
a	a	0.118
e	i	0.115
ˈa	-	0.111
f	p	0.105
ˈe	ˈi	0.097
ˈe	ˈa	0.097
ˈɛ	j	0.088
n	-	0.083
e	u	0.077
e	r_e	0.077
e	e_r	0.077
e	-	0.077
t	d	0.069
ˈe	ˈə	0.065
ˈe	ˈe_r	0.065
ˈɛ	ˈa_t	0.059
ˈɛ	j_ˈa	0.059
ˈɛ	-	0.059
