Slovenian	Slovenian	probability
̀_l	l	1.0
̀_k	k	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʋ_eː	vʲ_a	1.0
ʋ_#>	f_#>	1.0
ʋ	v	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɛː_̀	ɛ	1.0
ɛː	ɛ	1.0
ɛ_t	dʲ	1.0
ə_w	ɐ_ɫ	1.0
ɔː_̀	o	1.0
ɔː	ɤ	1.0
z̥	z̥	1.0
z_ɛ	z_ɛ	1.0
z	z	1.0
uː	u	1.0
u	u	1.0
t_ə	t_ɐ	1.0
t_e	tʲ	1.0
t	t	1.0
s_ə	s_ɛ	1.0
s	s	1.0
r_#>	r_#>	1.0
oː_̀	o	1.0
l_eː	lʲ_a	1.0
l_aː	ɫ_ɐ	1.0
k	k	1.0
j_a	a	1.0
eː_́	ɛ	1.0
e	ɛ	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
a_#>	ɐ_#>	1.0
a	a	1.0
<#_ɔː	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#_lʲ	1.0
#>	ˈ_#>	1.0
́	ˈ	0.955
n	n	0.955
iː	i	0.933
r	r	0.926
b	b	0.917
p	p	0.909
m	m	0.905
ʦ	ʦ	0.857
w	ɫ	0.846
aː	a	0.842
x	x	0.833
̀	ˈ	0.8
́_#>	ˈ_#>	0.769
eː	ɛ	0.769
oː	ɔ	0.667
l	ɫ	0.632
ʧ	ʧ	0.6
ɔ	o	0.6
i	i	0.571
ɛ	ɛ	0.5
t_i	ɐ	0.5
t_i	j_ɐ	0.5
o	ɔ	0.5
o	o	0.5
j	j	0.5
j	-	0.5
i	i_ˈ	0.429
ʧ	ʃ	0.4
ə	ɐ	0.375
oː	ɤ	0.333
ɔ	ɔ	0.267
ɛ	ɛ_ˈ	0.25
ɛ	-	0.25
ə	ɤ	0.25
́_#>	#>	0.231
eː	a	0.231
l	l	0.211
̀	-	0.2
ə	ɛ	0.167
x	ɐ	0.167
l	-	0.158
aː	-	0.158
w	l_ɛ	0.154
ʦ	ʦʲ	0.143
ɔ	ɐ	0.133
ə	-	0.125
m	mʲ	0.095
p	pʲ	0.091
ə	ɐ_k	0.083
b	bʲ	0.083
r	-	0.074
iː	rʲ	0.067
