Pennsylvania German	Pennsylvania German	probability
ˈɪ	ˈi	1.0
ˈɛː	ˈɛ	1.0
ˈɔɪ̯	ˈa_d	1.0
ˈɔ	ˈu	1.0
ˈuː	ˈoː	1.0
ˈiː	ˈiu̯	1.0
ˈaʊ̯	ˈuː	1.0
ˈa_s	ˈa_t	1.0
ˈa	ˈa	1.0
ʦ	t	1.0
ɾ_ə	r	1.0
ɾ	r	1.0
ɪ	-	1.0
ɣ	ɡ	1.0
ɑ_#>	#>	1.0
ç_#>	k_#>	1.0
ç	k	1.0
x	h	1.0
t	t	1.0
s_ˈɪ	s_ˈi	1.0
m	m	1.0
j	j	1.0
h	h	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_ʃ	<#_s	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#	<#_h	1.0
l	l	0.889
ʋ	w	0.714
ŋ	ŋ_ɡ	0.714
ʃ	s_k	0.7
f	f	0.682
ˈʊ	ˈu	0.667
#>	s_#>	0.667
n	n	0.633
ˈaɪ̯	ˈiː	0.615
ˈeː	ˈɛː	0.6
ˈaː	ˈɔ	0.6
b̥	f_s	0.6
<#_d	<#_d	0.6
ˈɔː	ˈa	0.571
ə	a_n	0.567
s	s	0.556
ɑ	r	0.529
ɡ̊	x	0.5
ɡ̊	s	0.5
ˈɔː	ˈɔː	0.429
ˈoː	ˈɔː	0.4
ˈoː	ˈeː	0.4
ˈaː	r	0.4
b̥	b	0.4
<#_d	<#_θ	0.4
ˈʊ	-	0.333
ˈɛ	ˈi	0.333
ˈɛ	ˈa	0.333
s	t	0.333
d	θ	0.333
d	ð	0.333
d	t_a	0.333
ʃ	s	0.3
ŋ	ŋ	0.286
ˈeː	-	0.267
d̥	θ	0.261
ɑ	a_r	0.235
ˈaɪ̯	ˈiu̯	0.231
f	p	0.227
d̥	θ_s	0.217
ˈɛ	ˈɛ	0.2
ˈoː	ˈɔ	0.2
ʋ	β	0.19
d̥	d_s	0.174
ə	j_a	0.167
n	-	0.167
ˈaɪ̯	-	0.154
#>	a_#>	0.136
ˈɛ	-	0.133
ˈeː	n	0.133
#>	n_#>	0.121
ɑ	r_u	0.118
ɑ	oː	0.118
s	t_s	0.111
l	lː	0.111
ʋ	ʍ	0.095
f	p_s	0.091
d̥	θ_iː	0.087
d̥	d_u	0.087
d̥	d	0.087
d̥	-	0.087
#>	oː_#>	0.076
ə	u_n	0.067
ə	oː	0.067
ə	n	0.067
ə	aː	0.067
n	r_n	0.067
n	n_θ	0.067
n	n_d	0.067
