Old Church Slavonic	Standard Serbian	probability
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʃ_t	ʨ	1.0
ɯ_ˈ	i	1.0
ɪ_ʦ	ʦ	1.0
ɑ_ˈ	a	1.0
z	z	1.0
x_ʊ	ʋ	1.0
x	x	1.0
v_ʊ	u	1.0
v	ʋ	1.0
t	t	1.0
s_ʊ	s	1.0
rʲ	r	1.0
r_ʊ	a_r	1.0
r	r	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m_ɪ	a_m	1.0
m	m	1.0
lʲ	ʎ	1.0
l_ɪ	u	1.0
k	k	1.0
j	j	1.0
d	d	1.0
b	b	1.0
a	a	1.0
s	s	0.954
ɔ_ˈ	o_̂	0.949
ɡ	ɡ	0.893
l	l	0.819
æ	eː	0.806
ˈ	̂	0.794
ɛ̃	eː	0.748
ɔ̃	uː	0.739
ɑ	a	0.713
i	i	0.713
ʧ	ʧ	0.69
ɯ	i	0.689
u	uː	0.641
l_ʊ	o	0.632
r_ɪ	r̩	0.628
ʊ	a	0.606
æ_ˈ	e_̂	0.59
ɪ_ˈ	̂	0.576
ɔ	oː	0.576
ɪ	a	0.546
ɛ	e	0.511
ɪ	-	0.454
ɪ_ˈ	a	0.424
ɔ	o	0.424
æ_ˈ	e	0.41
ʊ	-	0.394
r_ɪ	r̩ː	0.372
l_ʊ	uː	0.368
u	u	0.359
ɯ	iː	0.311
ʧ	-	0.31
ɑ	aː	0.287
ɛ	e_̌	0.278
ɔ̃	u	0.261
ɛ̃	-	0.252
i	iː	0.218
ɛ	eː	0.211
æ	-	0.194
l	-	0.111
ɡ	-	0.107
ˈ	̌	0.103
ˈ	-	0.103
l	uː	0.07
i	iː_̌	0.069
ɔ_ˈ	o	0.051
