Gascon	Bellunese	probability
d	d	1.0
h	f	1.0
i	i	1.0
j	-	1.0
nː	m	1.0
p	p	1.0
y	u	1.0
ð	d	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ʤ	ɡ	1.0
e	e_r	0.261
r	r_o	0.051
t	-	0.101
ɔ	n_a	0.071
ɾ	r	0.891
ˈy	ˈu_r	0.111
ˈy	ˈu	0.491
e	e	0.272
m	ŋ	0.172
n	ŋ_t	0.172
r	r_n	0.052
r	r_e	0.122
t	t	0.402
w	-	0.372
ɔ	-	0.092
ʎ	l	0.292
ʒ	-	0.272
ˈa	ˈa_r	0.182
ˈi	ˈi_r	0.062
k	ɡ_o	0.053
s	θ	0.363
t	l	0.203
ɲ	ɲ	0.63
ʎ	-	0.433
ʦ	z	0.433
ˈɔ	ˈɔ	0.723
β	v_r	0.073
a	a	0.904
e	i	0.134
k	k	0.894
l	l	0.574
n	n	0.744
u	o_r	0.204
w	v_o	0.104
w	w	0.124
w	o	0.214
z	-	0.454
ŋ	n	0.154
ˈɛ	j_ˈe	0.114
b	b	0.345
b	v	0.655
e	-	0.095
n	ŋ	0.055
r	r	0.775
w	l	0.185
ʎ	j	0.275
ˈu	ˈu	0.055
ˈu	ˈo_r	0.085
ˈɛ	ˈɛ	0.745
a	e	0.096
e	o	0.196
z	z	0.546
ŋ	ŋ	0.846
ɾ	-	0.06
ˈa	ˈa	0.796
ˈe	ˈɛ	0.316
ˈe	ˈe	0.6
ˈu	ˈo	0.86
s	s	0.637
t	o_#>	0.127
u	o_l	0.067
ɔ	a	0.837
ɲ	ŋ	0.37
ʦ	s	0.567
ˈɔ	ˈo	0.277
β	-	0.107
l	j	0.318
m	m	0.828
t	e_#>	0.068
t	r_#>	0.078
ʒ	ð	0.728
ˈi	ˈi	0.938
ˈy	ˈo	0.288
ˈɛ	ˈa	0.058
l	-	0.109
u	o	0.729
ˈy	ˈɛ	0.109
β	v	0.799
