Lengadocian	Lengadocian	probability
ˈy	ˈu	1.0
ˈi	ˈi	1.0
ˈa_#>	ˈɔ_j_n_i_#>	1.0
ʧ	p_t	1.0
ʦ	ʦ	1.0
ʎ	ʎ	1.0
ʀ	r	1.0
ɥ_ˈɔ	ˈo	1.0
ɣ	-	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ɔ	ə	1.0
ŋ	-	1.0
ð	-	1.0
z	-	1.0
u	-	1.0
t_#>	t_i_#>	1.0
s_#>	j_#>	1.0
p	p	1.0
n_#>	n_t_#>	1.0
n	n	1.0
m_#>	m_i_#>	1.0
m	m	1.0
l_#>	r_#>	1.0
k	k	1.0
j	-	1.0
i	-	1.0
f	f	1.0
e_#>	#>	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#_e_s	<#_s	1.0
ɾ	r	0.826
ˈa	ˈa	0.783
b	v	0.727
d	d	0.714
ˈɔ	ˈo	0.7
k_#>	k_#>	0.7
e	i	0.688
<#	<#_w	0.667
s	s	0.636
t	t	0.615
ˈu	ˈu	0.524
ɥ	ˈo	0.5
ɥ	-	0.5
l	ʎ	0.435
β	-	0.429
ˈe	ˈe	0.429
ˈe	e̯ˈa	0.429
w	w	0.4
ʤ	z	0.375
#>	ə_#>	0.37
l	l	0.348
<#	<#_p	0.333
e	u	0.312
ˈɔ	o̯ˈa	0.3
w	l	0.3
w	-	0.3
k_#>	#>	0.3
β	p	0.286
β	b	0.286
ˈɛ	ˈe	0.286
d	-	0.286
#>	u_#>	0.259
ʤ	ʒ	0.25
ʤ	-	0.25
t	ʦ	0.231
s	ʦ	0.227
ˈa	ˈɔ	0.217
ˈɛ	ˈa	0.214
ˈɛ	-	0.214
ˈu	ˈo	0.19
#>	n_#>	0.185
b	b	0.182
ɾ	-	0.174
t	d	0.154
ˈɛ	ˈi	0.143
ˈu	ˈu_k	0.143
ˈu	-	0.143
ˈe	-	0.143
s	ʃ	0.136
l	-	0.13
ʤ	ʤ	0.125
#>	r_#>	0.111
b	ɔ	0.091
l	r_i	0.087
#>	t_i_#>	0.074
ˈɛ	ˈo	0.071
ˈɛ	j_ˈa	0.071
