West Flemish	Northern Low Saxon	probability
b	b	1.0
j	ʒ	1.0
l	l	1.0
m	m	1.0
v	f	1.0
v̥	f	1.0
w	l	1.0
z̥	s	1.0
ŋ	ŋ	1.0
ə	-	1.0
ˈi	ˈiː	1.0
ˈyː	ˈuː	1.0
ˈøː	ˈøː	1.0
ˈɑ	ˈa	1.0
ˈɔ	ˈɔ	1.0
ˈɛː	ˈaɪ̯	1.0
n	n	0.871
z	s	0.161
ˈeː	ˈaɪ̯	0.151
ˈeː	ˈeː	0.701
ˈuə̯	ˈaʊ̯	0.661
ˈæ	ˈɛ	0.661
ˈɒː	h_ˈoː	0.121
ˈɛ	ˈɛ	0.281
p	<#_h	0.052
t	d	0.612
ɾ	-	0.072
ˈiə̯	ˈyː	0.302
ˈœ	ˈʊ	0.452
ˈɪ	ˈɪ	0.952
d̥	-	0.063
h	x	0.693
p	b	0.863
s	s	0.573
z	z	0.803
ɦ̥	x	0.083
k	ɡ	0.514
t	tʰ	0.204
ɦ	ɡ	0.614
ɾ	r	0.404
ɾ	ɐ	0.524
ˈoː	ˈɔʏ̯	0.204
ˈu	ˈaʊ̯	0.104
ˈu	ˈʊ	0.64
n	-	0.105
p	p	0.085
t	t	0.185
k	kʰ	0.486
ɦ	-	0.386
ˈu	ˈuː	0.256
d̥	d	0.937
h	ç	0.307
s	ʃ	0.427
ɦ̥	ç	0.917
ˈoː	ˈaʊ̯	0.727
d	d	0.958
ˈeː	ˈeɪ̯	0.148
ˈiə̯	ˈaɪ̯	0.698
ˈœ	ˈʏ	0.548
ˈɒː	ˈoː	0.848
ʋ	v	0.989
ˈoː	ˈoː	0.069
ˈuə̯	ˈɔʏ̯	0.339
ˈæ	ˈœ	0.339
ˈɛ	ˈɪ	0.719
