German	Pennsylvania German	probability
ˈʏ	ˈɪ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɔʏ̯	ˈaɪ̯	1.0
ˈœ	ˈɛ	1.0
ˈøː	ˈeː	1.0
ˈyː	ˈiː	1.0
ˈuː	ˈuː	1.0
ˈiː	ˈiː	1.0
ˈaɪ̯_n	ˈeː	1.0
ˈa_ɐ	ˈaː	1.0
ʃ	ʃ	1.0
ʁ	ɾ	1.0
ɪ	ɪ	1.0
ɡ̊	ɡ̊	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z	s	1.0
x	x	1.0
tʰ	d	1.0
t_ɐ	d_ɑ	1.0
t_n	d_ə	1.0
s_t	ʃ_t	1.0
s_n	s_ə	1.0
s	s	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
d_l	d_l	1.0
d	d	1.0
b̥	b̥	1.0
ə	-	0.943
v	ʋ	0.935
ˈa	ˈa	0.906
ʦ	ʦ	0.882
ɐ	ɑ	0.868
ˈʊ	ˈʊ	0.867
ˈoː	ˈoː	0.846
ˈɛ	ˈɛ	0.737
b	b	0.724
ˈɔ	ˈɔ	0.714
ˈaʊ̯	ˈaʊ̯	0.684
ɡ	ɡ	0.682
ˈeː	ˈeː	0.667
ˈɔ_ɐ	ˈaː	0.6
ˈaː	ˈɔː	0.6
ˈaɪ̯	ˈaɪ̯	0.577
t	d̥	0.567
n	n	0.541
n	ə	0.459
t	t	0.433
ˈaɪ̯	ˈeː	0.423
ˈɔ_ɐ	ˈa	0.4
ˈeː	ˈɛ	0.333
ˈaʊ̯	ˈɔː	0.316
ˈɔ	ˈʊ	0.286
ˈɛ	ˈɛː	0.263
ˈaː	ˈoː	0.25
b	v	0.207
ɡ	ɣ	0.182
ˈoː	ˈɔ	0.154
ˈaː	ˈa	0.15
ɡ	j	0.136
ˈʊ	ˈaː_ɾ	0.133
ʦ	s	0.118
ˈa	ˈɔː	0.094
ɐ	ɾ_ɪ	0.079
b	-	0.069
v	v	0.065
ə	ə	0.057
ɐ	ə	0.053
