Spanish	Aromanian	probability
r	a_r	1.0
ð	t	1.0
ŋ	n	1.0
ɟ͡ʝ	p_l	1.0
ɡ	-	1.0
ɣ	k	1.0
ʧ	p_t	1.0
a	a	0.081
m	-	0.351
n	-	0.11
s	s	0.671
t	j	0.131
x	ʎ	0.1
ˈi	-	0.051
ˈo	o̯ˈa	0.121
β	p	0.341
d	d	0.482
k	ʦ	0.052
w	ˈo	0.102
x	-	0.402
ɲ	n	0.222
ˈu	ˈu	0.922
θ	ʃ_t	0.182
o	-	0.113
p	-	0.083
ɾ	-	0.163
ˈi	ç_ˈi	0.073
ˈo	ˈa	0.113
ˈo	-	0.123
β	-	0.583
a	ˈa	0.084
b	b	0.414
e	ə	0.204
j	i	0.54
l	ʎ	0.224
m	ɲ	0.094
o	ə	0.144
ˈa	a	0.064
ˈe	-	0.144
l	r	0.215
o	i	0.15
ʝ	l	0.285
ʝ	-	0.715
ˈo	ˈo	0.245
θ	ʦ	0.785
b	v	0.586
e	i	0.796
j	-	0.46
l	-	0.136
m	m	0.556
o	u	0.516
ˈe	ˈi	0.296
a	ə	0.607
ˈa	ˈa	0.597
ˈe	i	0.097
ˈe	e̯ˈa	0.257
d	ʣ	0.518
k	k	0.948
o	w	0.078
p	p	0.608
w	-	0.898
x	ʤ	0.088
ɲ	m_n	0.778
ɾ	r	0.548
ˈi	ˈu	0.148
ˈi	ˈi	0.728
ˈu	-	0.078
a	-	0.069
a	i	0.159
l	l	0.389
n	n	0.859
p	k	0.309
s	-	0.329
t	t	0.869
x	k_ʎ	0.409
ɾ	r_i	0.289
ˈa	ˈɨ	0.339
ˈe	ˈe	0.169
ˈo	ˈu	0.399
