Lengadocian	Lengadocian	probability
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_l	ˈɛ_o	1.0
ˈɔ_k	ɡ	1.0
ˈu_#>	ˈo_ŋ_#>	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈi	ˈi	1.0
ˈe_l	ˈe	1.0
ˈa_w	ˈɔ	1.0
ʎ_ɔ	a	1.0
ʀ_t	r_t	1.0
ʀ_#>	r_n_o_#>	1.0
ʀ	r	1.0
ɾ_ˈa	r_ˈa	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɣ	ɡ	1.0
ɡ	ʤ	1.0
ɔ	a	1.0
ŋ	ŋ	1.0
y	-	1.0
w_ʀ	r_o	1.0
w_ɾ	v_e	1.0
w_#>	v_e_#>	1.0
t_#>	d_o_#>	1.0
t	t	1.0
s_ˈa	s_ˈa	1.0
s_#>	#>	1.0
nː	m_e	1.0
mː	m	1.0
m_u	m_o	1.0
m_#>	m_e_#>	1.0
lː	z	1.0
l_#>	l_#>	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
j_ˈe	ˈi	1.0
j_ɾ	r	1.0
j_s	e	1.0
f	f	1.0
d_ɾ	a_r	1.0
a_β	a_v	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_z	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_b	<#_v	1.0
ˈa	ˈa	0.951
p	p	0.943
m	m	0.893
k	k	0.882
a	a	0.882
u	o	0.857
ˈe	ˈe	0.833
s	s	0.818
b	b	0.789
ˈɔ	ˈɔ	0.783
ˈu	ˈo	0.771
ˈy	ˈu	0.75
ˈa_#>	ˈa_r_#>	0.75
ʧ	t_o	0.714
n	n	0.71
<#_l	<#_ɰ	0.688
ɾ	r	0.684
ɾ_e	r_o	0.667
z	z	0.667
i	i	0.667
#>	o_#>	0.631
ɥ	ˈo	0.6
e	e	0.576
n_#>	ŋ_t_o_#>	0.571
<#_a	<#	0.571
ʦ	z_e	0.556
ð	-	0.556
ˈɛ	ˈɛ	0.529
β	v	0.5
ʤ	z	0.5
ʤ	-	0.5
ʎ	ʧ	0.5
ʎ	j	0.5
d	d	0.5
d	-	0.5
ð	d	0.444
n_#>	ŋ_t_e_#>	0.429
<#_a	<#_a	0.429
e_#>	r_#>	0.417
ɥ	-	0.4
e	-	0.364
l	ɰ	0.359
β	b	0.333
ɾ_e	r	0.333
z	-	0.333
i	j	0.333
e_#>	o_#>	0.333
j	e	0.312
j	-	0.312
<#_l	<#	0.312
w	o	0.3
w	l	0.3
ʧ	t_e	0.286
ˈɛ	ˈe	0.265
l	j	0.256
ˈa_#>	ˈa_ŋ_#>	0.25
j	ˈɛ	0.25
e_#>	#>	0.25
ʦ	z	0.222
ʦ	s_o	0.222
ˈɔ	ˈo	0.217
ɾ	a_r	0.211
w	v_o	0.2
w	-	0.2
n	ŋ	0.194
β	-	0.167
#>	e_#>	0.154
ˈy	ˈo	0.15
ˈu	ˈu	0.143
u	-	0.143
l	o	0.128
j	j	0.125
a	-	0.118
m	ŋ	0.107
ɾ	-	0.105
b	z_v	0.105
b	-	0.105
l	ʧ_o	0.103
l	l	0.103
ˈy	-	0.1
ˈe	-	0.1
n	ɲ	0.097
ˈɛ	j_ˈe	0.088
ˈu	ˈɔ	0.086
k	ɡ_o	0.078
#>	ŋ_#>	0.077
s	z	0.073
s	i	0.073
ˈe	ˈe_r	0.067
#>	a_#>	0.062
e	e_r	0.061
ˈɛ	e	0.059
ˈɛ	-	0.059
p	-	0.057
l	e	0.051
