North Frisian	Faroese	probability
b	b̥	0.9
b	-	0.063
b	ʰp	0.043
d	-	0.379
d	d̥	0.254
d	ʰt	0.075
d	tʰ	0.06
d	ʤ̊	0.049
dʲ	w	0.583
dʲ	-	0.229
dʲ	j	0.146
f	f	0.855
f	v	0.078
f	ʧʰ	0.059
f_r	f	0.484
h	h	0.925
h	-	0.066
i	-	0.324
i	v_ʊ	0.282
i	ɪ	0.129
i	ʊ	0.086
i	ɛ	0.083
j	-	0.278
j	ɡ̊	0.242
j	ʤ̊	0.19
j	ˈʊ̯iː	0.073
j	j	0.071
k	k	0.417
k	kʰ	0.327
k	-	0.164
k	ʰk	0.058
k	ʧ	0.038
l	l	0.576
l	l̥	0.144
l	l_a	0.071
l	l_ʊ	0.071
l	-	0.061
l_ə	l	0.234
lʲ	l	0.549
lʲ	l_d̥	0.175
lʲ	l̥	0.162
m	m	0.623
m	m_ʊ	0.363
m	-	0.031
n	n	0.571
n	-	0.167
n	n̥	0.14
n	nː	0.103
nʲ	n_d̥	0.372
nʲ	-	0.335
nʲ	n	0.254
p	p	0.492
p	ʰp	0.209
p	v	0.14
p	ɹ	0.089
r	ɹ	0.827
r	-	0.091
r	t	0.043
r	n̥	0.036
r_d	ɹ	1.0
s	s	0.875
s	nː	0.05
s	ʃ	0.05
s	sː	0.03
t	t	0.309
t	-	0.29
t	tʰ	0.245
t	ʈ	0.048
t	ʤ̊	0.036
tʲ	t_ʊ	0.944
tʲ	ʰt	0.041
v	v	0.673
v	-	0.284
v	ʰp	0.042
w	ʧː	0.574
w	j	0.278
x	ʰtː	0.901
x	v	0.077
z	ʰt	0.223
z	t	0.179
z	-	0.179
z	s	0.108
ŋ	ŋ	0.797
ŋ	ɲ	0.101
ŋ	-	0.101
ŋ_k	ʰkː	0.484
ə	a	0.603
ə	ɪ	0.111
ə	-	0.105
ə	ʊ	0.087
ə	ɡ̊_ʊ	0.038
ə_l	l	1.0
ə_n	ʊ	1.0
ɡ	ɡ̊	0.874
ɡ	ʧ	0.108
ʃ	ʃ	0.352
ʃ	s_k	0.306
ʃ	ʧʰ	0.13
ʃ	s	0.113
ʃ	f	0.059
ˈa	ˈa	0.294
ˈa	ˈɛ	0.201
ˈa	ˈɪ	0.132
ˈa	ˈiː	0.115
ˈa	ˈøː	0.114
ˈai̯	ˈɛ	0.319
ˈai̯	ˈɪ	0.154
ˈai̯	ɹ	0.055
ˈaː	ˈiː	0.699
ˈaː	ˈɔ	0.142
ˈeː	ˈɛːa̯	0.268
ˈeː	ˈeː	0.247
ˈeː	ˈœ	0.126
ˈeː	ˈa	0.097
ˈeː	ˈɛ	0.097
ˈi	ˈʊ̯iː	0.462
ˈi	ˈɪ	0.131
ˈi	ˈɛ	0.099
ˈi	ˈeː	0.075
ˈi	ˈɔ	0.061
ˈiː	ˈʊ̯iː	0.206
ˈiː	ˈɔːu̯	0.197
ˈiː	ˈaːi̯	0.123
ˈiː	ˈɔːi̯	0.113
ˈiː	ˈai̯	0.091
ˈuː	ˈɛːi̯	0.347
ˈuː	ˈɔ̯aː	0.199
ˈuː	ˈɔ	0.106
ˈuː	ˈɔːi̯	0.106
ˈuː	ˈoː	0.079
ˈyː	ˈʉːu̯	0.392
ˈyː	ˈʊ	0.248
ˈyː	ˈɛːi̯	0.144
ˈyː	ˈɔ̯aː	0.095
ˈyː	ˈʊ̯iː	0.083
ˈøː	ˈʊ	0.268
ˈøː	ˈuː	0.162
ˈøː	ˈɪ	0.162
ˈøː	ˈʊ_ɡ̊	0.103
ˈøː	ˈʊ̯iː	0.103
ˈœ	ˈa	0.287
ˈœ	ˈɔːu̯	0.25
ˈœ	ˈɔ	0.148
ˈœ	ˈʊ̯iː	0.085
ˈœ	ˈœ	0.065
ˈɒ	ˈa	0.274
ˈɒ	ˈai̯	0.274
ˈɒ	ˈɔ	0.239
ˈɒ	ˈɛːa̯	0.139
ˈɒː	ˈɛːa̯	0.443
ˈɒː	ˈeː	0.174
ˈɒː	ˈɛ	0.12
ˈɒː	ˈa	0.116
ˈɒː	ˈɔ	0.077
ˈɔ	ˈɔ	0.61
ˈɔ	ˈœ	0.239
ˈɔ	ˈoː	0.097
ˈɔi̯	ˈɛ	0.234
ˈɔu̯	ˈɔ̯aː	0.207
ˈɔu̯	ˈɛːi̯	0.138
ˈɔu̯	ɹ	0.138
ˈɔu̯	ˈɔːu̯	0.125
ˈɔu̯	ˈa	0.125
ˈɔː	ˈœ	0.4
ˈɔː	ˈuː	0.129
ˈɔː	-	0.129
ˈɔː	ˈøː	0.094
ˈɔː	ˈɔ	0.092
ˈɛ	ˈøː	0.594
ˈɛ	ˈɪ	0.392
ˈɛi̯	ˈøː	0.257
ˈɛi̯	ˈɛːa̯	0.257
ˈɛi̯	ˈoː	0.164
ˈɛi̯	ˈɔ	0.093
ˈɛi̯	ˈɔ̯aː	0.093
ˈɛː	ˈeː	0.272
ˈɛː	ˈøː	0.179
ˈɛː	ˈa	0.179
ˈɛː	ˈɛːi̯	0.124
ˈɛː	ˈeə̯	0.124
ˈʊ	ˈʊ	0.41
ˈʊ	ˈɪ	0.221
ˈʊ	ˈa	0.105
ˈʊ	ˈɛːa̯	0.064
ˈʊ	ˈʏ	0.052
ˈʏ	ˈɪ	0.683
ˈʏ	ˈʏ	0.218
