Sixian	Sixian	probability
⁵	⁴	1.0
ʨʰ	ʦ	1.0
ʨ	ʨ	1.0
ɨ	i	1.0
ɕ	ɕ	1.0
ŋ̍	u	1.0
¹¹	²⁴	1.0
²⁴_#>	#>	1.0
u_n	ŋ̍	1.0
t	t	1.0
p̚	a_t̚	1.0
p	p	1.0
o_ŋ	ŋ̍	1.0
o_n	ŋ̍	1.0
o_j	a_j	1.0
n_a	l_a	1.0
l	l	1.0
k	k	1.0
j_e	w_a	1.0
e_n	ĩ	1.0
<#_v	<#	1.0
³¹	⁵³	0.923
²⁴	⁴⁴	0.833
²	³²	0.818
ŋ	ŋ	0.737
f	h	0.692
i	i	0.682
ʦʰ	ʦʰ	0.667
tʰ	tʰ	0.667
kʰ	kʰ	0.625
h	h	0.625
<#	<#_l	0.625
n	n	0.579
pʰ	pʰ	0.571
m	m	0.571
k̚	ʔ	0.538
⁵⁵	³³	0.5
ɲ	l	0.5
a_ŋ	j_ã	0.5
a_ŋ	ã	0.5
k̚	k̚	0.462
⁵⁵	¹¹	0.455
a	e	0.45
ʦ	t	0.429
pʰ	p	0.429
m	b	0.429
u	u	0.419
w	w	0.4
w	o	0.4
kʰ	k	0.375
h	kʰ	0.375
<#	<#_h	0.375
j	j	0.37
j	-	0.37
t̚	ʔ	0.357
t̚	t̚	0.357
ʦʰ	t	0.333
tʰ	t	0.333
s	ɕ	0.308
ʦ	ʨ	0.286
ʦ	ʦ	0.286
t̚	k̚	0.286
n	ã	0.263
u	ɔ	0.258
ɲ	ɡ	0.25
ɲ	-	0.25
a	w	0.25
s	ʨ	0.231
o	o	0.231
w	-	0.2
o	a	0.192
e	j_ɪ	0.188
e	j	0.188
e	e	0.188
e	a	0.188
e	-	0.188
j	a	0.185
²⁴	⁵³	0.167
u	a	0.161
ŋ	ɡ	0.158
n	ŋ̍	0.158
s	ʨʰ	0.154
s	ʦ	0.154
s	s	0.154
o	ɔ	0.154
f	p	0.154
f	-	0.154
²	⁴	0.136
i	e	0.136
o	w	0.115
o	a_w	0.115
ŋ	w̃	0.105
a	j	0.1
a	ã	0.1
a	a	0.1
u	ɪ	0.097
i	j	0.091
i	a_j	0.091
³¹	ɔ_³³	0.077
o	i	0.077
o	-	0.077
j	h	0.074
u	i_w	0.065
e	ɛ	0.062
