Westphalian	West Frisian	probability
b	b	1.0
f	f	1.0
h	h	1.0
j	j	1.0
p	p	1.0
z	z	1.0
ə	ə	1.0
ɪ	ə	1.0
ʋ	v	1.0
ˈaʊ̯	ˈɪə̯	1.0
ˈaː	ˈaː	1.0
ˈoː	ˈuə̯	1.0
ˈuːə̯	ˈoə̯	1.0
ˈyː	j_ˈuə̯	1.0
ˈøː	ˈiə̯	1.0
ˈɪə̯	j	1.0
ˈʏ	ˈɛː	1.0
d	d	0.481
r	-	0.101
x	χ	0.281
ˈaɪ̯	ˈiə̯	0.451
ˈiː	ˈi	0.521
ˈɔ	ˈaː	0.331
ˈɪ	ˈiː	0.121
ˈɪɛ̯	ˈɛ	0.51
d	d̥	0.372
v	ʋ	0.762
x	ɡ	0.512
ˈa	ˈɪə̯	0.102
ˈaɪ̯	j	0.212
ˈɔː	ˈaː	0.132
ˈɛ	ˈɛi̯	0.092
ˈʊ	ˈu	0.302
k	k	0.863
ɡ	ɣ	0.833
ʃ	s	0.623
ˈeː	ˈiə̯	0.693
ˈuː	ˈyː	0.303
ˈɔː	ˈɪə̯	0.383
ˈʊ	ˈuː	0.153
ˈa	ˈɔː	0.214
d	t	0.115
k	k_ə	0.095
l	l_ə	0.05
n	n	0.565
ŋ	ŋ_ə	0.185
ɐ	-	0.055
ˈiː	j	0.065
ˈɔː	ˈiə̯	0.395
ˈɪ	ˈɔ	0.055
ˈɪ	ˈi	0.265
ˈʊ	ˈɔ	0.545
m	m	0.956
t	t	0.866
v	f	0.056
v	-	0.076
v	v	0.106
x	-	0.066
x	ə_#>	0.116
ç	-	0.056
ŋ	ŋ	0.776
ˈa	ˈa	0.526
ˈɛ	j_ˈɔ	0.096
n	n_ə	0.077
t	d̥	0.097
ç	χ_t	0.227
ɐ	ə_r	0.187
ɡ	z	0.167
ʃ	s_k	0.377
ˈeː	ˈɪə̯	0.307
ˈuː	ˈuː	0.697
s	s	0.968
ç	χ	0.718
ɐ	r	0.758
ˈa	ˈaː	0.158
ˈaɪ̯	ˈɪə̯	0.238
ˈiː	ˈiː	0.388
ˈɛ	ˈɛ	0.358
l	l	0.909
n	ə	0.299
r	r	0.899
ˈaɪ̯	j_ˈɪ	0.099
ˈɔ	ˈɔ	0.669
ˈɔː	ˈoə̯	0.09
ˈɛ	ˈɪ	0.409
ˈɪ	ˈɪ	0.559
ˈɪɛ̯	ˈiə̯	0.49
