Old English	English	probability
a	-	1.0
b	b	0.99
bː	v	1.0
d	d	0.876
d	ð	0.101
dː	d	1.0
e	ə	0.803
e	-	0.119
e	ɪ	0.078
eo̯	ˈe	1.0
f	f	0.956
h	h	1.0
i	-	0.496
i	ɪ	0.476
iː	ɪ	1.0
iːy̯	ˈiː	1.0
j	j	0.693
j	ɡ	0.279
k	k	0.679
k	kʰ	0.286
kː	k	1.0
l	l	0.686
l	ɫ	0.306
lː	ɫ	1.0
l̥	l	1.0
m	m	0.978
mː	m	1.0
n	n	0.957
nː	n	1.0
o	ə	0.817
o	-	0.164
p	p	0.817
p	pʰ	0.183
pː	p	1.0
r	ɹ	0.375
r	ə	0.36
r	-	0.265
rː	ˈaɪ̯	0.715
rː	ˈɑː	0.285
r̥	ɹ	1.0
s	s	1.0
t	t	0.805
t	tʰ	0.189
tː	t	1.0
u	əʊ̯	1.0
v	v	0.857
v	-	0.143
w	w	0.844
w	-	0.085
w	ˈɔː	0.056
x	-	0.69
x	f	0.31
z	z	1.0
ç	-	1.0
ð	ð	0.796
ð	θ	0.204
ŋ	ŋ	1.0
ɑ	-	0.966
ɡ	ɡ	0.891
ɡ	-	0.109
ɣ	-	0.874
ɣ	f	0.108
ɫ	ɫ	0.744
ɫ	-	0.183
ɫ	l	0.073
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	w	1.0
ʤ	ʤ	1.0
ʤː	-	1.0
ʧ	ʧ	0.557
ʧ	-	0.159
ʧ	kʰ	0.147
ʧ	k	0.137
ʧː	ʧ	1.0
ˈe	ˈe	0.48
ˈe	ˈɛ	0.154
ˈe	ɪ	0.154
ˈe	ˈiː	0.136
ˈeo̯	ˈɔː	0.317
ˈeo̯	ˈɑː	0.182
ˈeo̯	ˈe	0.129
ˈeo̯	-	0.122
ˈeo̯	ˈæ	0.121
ˈeo̯	ˈɪ	0.072
ˈeo̯	ˈɜː	0.057
ˈeː	ˈiː	0.53
ˈeː	ˈe	0.224
ˈeː	ˈuː	0.183
ˈeː	ˈɪ	0.064
ˈeːo̯	ˈiː	0.433
ˈeːo̯	ˈaɪ̯	0.152
ˈeːo̯	ˈe	0.129
ˈeːo̯	ˈɪ	0.117
ˈeːo̯	-	0.064
ˈeːo̯	ˈuː	0.053
ˈeːo̯	ɜː	0.051
ˈi	ˈɪ	0.63
ˈi	ˈaɪ̯	0.279
ˈi	ˈɜː	0.063
ˈiy̯	ˈiː	0.5
ˈiy̯	ˈɑː	0.5
ˈiː	ˈaɪ̯	0.781
ˈiː	ˈɪ	0.144
ˈiː	ˈiː	0.075
ˈiːy̯	ˈiː	0.436
ˈiːy̯	ˈɪ	0.378
ˈiːy̯	ˈe	0.159
ˈo	ˈɔː	0.696
ˈo	ˈəʊ̯	0.145
ˈo	ˈɒ	0.061
ˈo	ˈɜː	0.061
ˈoː	ˈɐ	0.439
ˈoː	ˈuː	0.396
ˈoː	ˈʊ	0.164
ˈu	ˈɐ	0.818
ˈu	ˈaʊ̯	0.119
ˈu	ˈʊ	0.063
ˈuː	ˈaʊ̯	0.769
ˈuː	ˈɐ	0.231
ˈy	ˈɪ	0.656
ˈy	ɹ	0.151
ˈy	ˈɜː	0.151
ˈyː	ˈaɪ̯	0.733
ˈyː	ˈɪ	0.267
ˈæ	ˈeɪ̯	0.402
ˈæ	ˈɑː	0.351
ˈæ	ˈæ	0.158
ˈæ	ˈɔː	0.054
ˈæɑ̯	ˈɑː	0.453
ˈæɑ̯	ˈɔː	0.331
ˈæɑ̯	ˈəʊ̯	0.136
ˈæː	ˈiː	0.442
ˈæː	ˈe	0.28
ˈæː	ˈɛ	0.265
ˈæːɑ̯	ˈiː	0.303
ˈæːɑ̯	ˈɪ	0.252
ˈæːɑ̯	ˈe	0.231
ˈæːɑ̯	ˈeɪ̯	0.124
ˈæːɑ̯	ˈaɪ̯	0.09
ˈɑ	ˈæ	0.679
ˈɑ	ˈeɪ̯	0.136
ˈɑ	ˈɒ	0.124
ˈɑ	ˈɛ	0.061
ˈɑː	ˈəʊ̯	0.805
ˈɑː	ˈuː	0.085
ˈɑː	ˈɐ	0.055
ˈɑː	ˈɒ	0.054
ˈɛ	ˈe	0.714
ˈɛ	ˈɛ	0.286
θ	θ	0.922
θ	d	0.061
