Insular North Frisian	German	probability
ˈɛː	ˈɛ	1.0
ˈɔa̯_l	ˈa_l	1.0
ˈøː	ˈyː	1.0
ˈoː	ˈaʊ̯	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈaɪ̯	ɡ̊	1.0
ˈa_s	ˈa_s	1.0
ʃ	z	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ə_#>	n_#>	1.0
ɐ_n	ɐ_n	1.0
ɐ	ɐ	1.0
ç_t	ç_t	1.0
x_t	t	1.0
v	v	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r_ə	ɐ	1.0
r	ʁ	1.0
pʰ	p͡f	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
f_l	f_l	1.0
d_ɐ	s_ɐ	1.0
b	b	1.0
<#_ˈɔː	<#_ˈa	1.0
<#_n	<#_n	1.0
n	n	0.872
ŋ	ŋ	0.846
f	f	0.828
ˈɔa̯	ˈoː	0.75
d	tʰ	0.737
ˈa	ˈa	0.714
#>	n_#>	0.7
ɾ	t	0.684
x	x	0.667
p	f	0.667
ə	-	0.625
ˈyː	ˈɔʏ̯	0.6
j	-	0.6
ˈɔː	ˈaː	0.583
t	t	0.548
tʰ	ʦ	0.529
ˈɪ	ˈɪ	0.524
ˈuː	ˈɔ	0.5
nʲ	n_d̥	0.5
nʲ	n_d	0.5
ˈʏ	ˈaʊ̯	0.474
s	z	0.474
tʰ	d	0.471
ˈɔ	ˈɔ	0.444
ˈɔː	ˈa	0.417
ˈyː	ˈaʊ̯	0.4
j	j	0.4
s	ʃ	0.395
ˈɪ	ˈaɪ̯	0.381
ə	d	0.375
k	ç	0.353
k	k	0.353
ˈɔ	ˈuː	0.333
ˈœ	ˈʊ	0.333
ˈiː	ˈaɪ̯	0.333
ˈeː	ˈaɪ̯	0.333
x	ɐ	0.333
p	f_n	0.333
ˈuː	ˈa	0.3
t	s	0.286
ç	ɡ	0.273
ˈiː	ˈiː	0.267
d	d	0.263
ˈɔa̯	-	0.25
ˈʊ	ˈʊ	0.235
ˈʊ	ˈɪ	0.235
ˈɛ	ˈɪ	0.222
ˈɛ	ˈɛ	0.222
ˈɔ	ˈɛ	0.222
ˈœ	ˈɔ	0.222
ˈœ	ˈuː	0.222
ˈœ	ˈa	0.222
ˈeː	ˈɪ	0.222
ˈeː	ˈɛ	0.222
ˈeː	ˈa	0.222
ˈuː	ˈoː	0.2
ˈiː	ˈeː	0.2
ˈiː	ˈaː	0.2
ç	ɡ_n	0.182
ç	ç	0.182
ç	k_ə	0.182
ç	k	0.182
ˈʊ	ˈɔ	0.176
ˈʊ	ˈuː	0.176
ˈʊ	ˈa	0.176
k	x	0.176
f	b̥	0.172
ŋ	ç	0.154
ˈɛ	ˈʏ	0.148
ˈa	ˈɛ	0.143
ˈa	ˈaː	0.143
#>	ɡ_n_#>	0.133
s	s	0.132
n	n_d̥	0.128
t	ʦ	0.119
k	x_ə	0.118
ˈɛ	ˈaɪ̯	0.111
ˈʏ	ˈʊ	0.105
ˈʏ	ˈɔʏ̯	0.105
ˈʏ	ˈɔ	0.105
ˈʏ	ˈuː	0.105
ˈʏ	ˈiː	0.105
ɾ	t_n	0.105
ɾ	d̥	0.105
ɾ	d	0.105
#>	t_#>	0.1
ˈɪ	ˈiː_ɐ	0.095
ˈɛ	ˈœ	0.074
ˈɛ	ˈyː	0.074
ˈɛ	ˈiː	0.074
ˈɛ	ˈeː	0.074
#>	ɐ_#>	0.067
