American English	Westphalian	probability
b	b	0.948
b	-	0.052
d	d	0.703
d	t	0.162
d	-	0.099
f	f	0.818
f	l_v	0.076
f	v	0.069
h	h	0.924
h	k	0.076
i	ɪ	0.862
i	aɪ̯	0.138
j	j	0.654
j	x	0.181
j	ˈiɛ̯	0.166
k	k	0.915
k	-	0.085
kʰ	k	0.872
kʰ	f	0.128
l	l	1.0
m	m	0.939
m	m_n	0.061
n	n	0.924
n	-	0.076
oʊ̯	-	0.5
oʊ̯	ɐ	0.5
p	p	0.729
p	p_n	0.146
p	b	0.124
pʰ	p	1.0
s	s	0.823
s	ʃ	0.177
t	t	0.601
t	t_n	0.207
t	x_t	0.074
t	ç	0.071
tʰ	t	0.931
tʰ	b	0.069
tː	t	1.0
v	v	0.822
v	m	0.102
v	b	0.076
w	w	0.785
w	ˈiɛ̯	0.109
w	r	0.053
z	z	0.898
z	s	0.102
ð	d	0.468
ð	-	0.416
ð	n	0.116
ŋ	ŋ	1.0
ə	-	0.445
ə	ə	0.366
ə	ˈɛ	0.189
ɚ	ɐ	0.984
ɡ	x	0.883
ɡ	-	0.117
ɪ	-	1.0
ɫ	l	0.835
ɫ	ɡ_l	0.115
ɹ	r	0.594
ɹ	-	0.272
ɹ	ɐ	0.1
ɾ	t	1.0
ʃ	ʃ	1.0
ʤ	k	0.466
ʤ	ɡ	0.406
ʤ	ç	0.129
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.355
ˈaɪ̯	ˈɪ	0.209
ˈaɪ̯	ˈyː	0.131
ˈaɪ̯	ˈɛ	0.072
ˈaɪ̯	ˈa	0.07
ˈaɪ̯	ˈɪə̯	0.056
ˈaʊ̯	ˈuː	0.64
ˈaʊ̯	ˈʊ	0.209
ˈaʊ̯	ˈaʊ̯	0.083
ˈaʊ̯	ˈuə̯	0.067
ˈeɪ̯	ˈa_x	0.205
ˈeɪ̯	ˈɛ	0.191
ˈeɪ̯	ˈa	0.185
ˈeɪ̯	ˈɔː	0.156
ˈeɪ̯	ˈɪɛ̯	0.135
ˈeɪ̯	ˈaʊ̯	0.07
ˈeɪ̯	ˈaː	0.059
ˈi	ˈaɪ̯	0.211
ˈi	ˈøː	0.206
ˈi	ˈaʊ̯	0.183
ˈi	ˈɔː	0.146
ˈi	ˈiː	0.121
ˈoʊ̯	ˈeː	0.45
ˈoʊ̯	ˈɔ	0.094
ˈoʊ̯	ˈɪ	0.075
ˈoʊ̯	ˈɪə̯	0.075
ˈoʊ̯	ˈyːœ̯	0.065
ˈoʊ̯	ˈaɪ̯	0.055
ˈoʊ̯	ˈɔː	0.055
ˈoʊ̯	ˈoː	0.053
ˈu	ˈoː	0.344
ˈu	ɐ	0.163
ˈu	ˈɔː	0.141
ˈu	ˈa	0.118
ˈu	ˈeː	0.091
ˈu	ˈaɪ̯	0.077
ˈæ	ˈa	0.866
ˈɑ	ˈa	0.334
ˈɑ	ˈaː	0.204
ˈɑ	ˈɔ	0.146
ˈɑ	ˈɛː	0.143
ˈɑ	ˈɪɛ̯	0.095
ˈɔ	ˈaː	0.254
ˈɔ	ˈuːə̯	0.172
ˈɔ	ˈœː	0.164
ˈɔ	ˈeː	0.155
ˈɔ	ˈøː	0.155
ˈɔ	ˈa	0.1
ˈɛ	ˈɪɛ̯	0.169
ˈɛ	ˈaɪ̯	0.138
ˈɛ	-	0.132
ˈɛ	ˈɪ	0.125
ˈɛ	ˈaʊ̯	0.106
ˈɛ	ˈɛ	0.091
ˈɛ	ˈø	0.053
ˈɝ	ˈuːə̯	0.309
ˈɝ	ˈɔː	0.277
ˈɝ	ˈiɛ̯	0.16
ˈɝ	ˈɛː	0.154
ˈɝ	ˈɪɛ̯	0.101
ˈɪ	ˈɪ	0.584
ˈɪ	ˈɛ	0.118
ˈɪ	ˈʏ	0.117
ˈɪ	ˈiː	0.066
ˈʊ	ˈʊ	0.486
ˈʊ	ˈoː	0.36
ˈʊ	ˈuə̯	0.154
ˈʌ	ˈʊ	0.541
ˈʌ	ˈuːə̯	0.108
ˈʌ	ˈa	0.056
ˈʌ	ˈuə̯	0.055
ˈʌ	ˈeː	0.053
ˈʌ	ˈoː	0.052
θ	d	0.714
θ	t	0.166
θ	-	0.12
