American English	Westphalian	probability
b	b	1.0
d	d	0.649
d	t	0.184
d	-	0.086
d	d_n	0.047
d	n_d	0.031
f	f	0.962
f	x	0.042
h	h	1.0
i	ɪ	0.491
j	j	0.683
j	x	0.221
k	k	1.0
k_s	s	1.0
kʰ	k	0.644
kʰ	f	0.341
l	l	1.0
m	m	1.0
n	n	0.917
n	-	0.082
oʊ̯	-	0.491
p	p	0.926
p	b	0.068
s	s	0.626
s	ʃ	0.373
t	t	0.74
t	t_n	0.121
t	ç	0.059
t	x	0.045
t	x_t	0.04
tʰ	t	0.907
tʰ	b	0.077
v	v	0.579
v	f	0.202
v	m	0.104
v	b	0.075
w	w	0.796
w	-	0.072
w	v	0.07
w	r	0.054
z	z	0.715
z	s	0.28
ð	d	0.551
ð	-	0.292
ð	n	0.118
ŋ	ŋ	1.0
ə	-	0.5
ə	ˈɛ	0.25
ə	ə	0.25
ɚ	ɐ	0.965
ɚ	ˈɒː	0.043
ɡ	x	0.901
ɡ	-	0.08
ɡ_ɚ	ɐ	1.0
ɪ	-	1.0
ɫ	l	0.867
ɫ	ɡ_l	0.074
ɫ	-	0.052
ɹ	r	0.649
ɹ	ɐ	0.158
ɹ	-	0.146
ɹ	ˈuːə̯	0.037
ɹ_t	t	1.0
ɾ	t	1.0
ʃ	ʃ	0.59
ʃ	ʃ_k	0.391
ʤ	ɣ	0.574
ʤ	k	0.282
ʧ	k	1.0
ˈaɪ̯	ˈiː	0.336
ˈaɪ̯	ˈɪ	0.142
ˈaɪ̯	ˈyː	0.095
ˈaɪ̯	ˈɛ	0.095
ˈaɪ̯	ˈaɪ̯	0.083
ˈaʊ̯	ˈuː	0.552
ˈaʊ̯	ˈʊ	0.314
ˈaʊ̯	ˈuə̯	0.07
ˈaʊ̯	ˈaʊ̯	0.049
ˈeɪ̯	ˈɔː	0.214
ˈeɪ̯	ˈa_x	0.186
ˈeɪ̯	ˈɛ	0.162
ˈeɪ̯	ˈaː	0.141
ˈeɪ̯	ˈa	0.124
ˈi	ˈaɪ̯	0.245
ˈi	ˈaʊ̯	0.181
ˈi	ˈɔː	0.175
ˈi	ˈøː	0.167
ˈi	ˈiː	0.152
ˈoʊ̯	ˈeː	0.307
ˈoʊ̯	ˈɔ	0.153
ˈoʊ̯	ˈaɪ̯	0.088
ˈoʊ̯	ˈyːœ̯	0.088
ˈoʊ̯	ˈɪə̯	0.088
ˈu	ˈoː	0.318
ˈu	ˈeː	0.183
ˈu	ˈiː	0.183
ˈu	ˈa	0.118
ˈu	ˈɔː	0.08
ˈæ	ˈa	0.76
ˈæ	ˈaː	0.08
ˈæ	ˈɛ	0.065
ˈæ	ˈɛː	0.063
ˈæ	ˈɪɛ̯	0.036
ˈɑ	ˈa	0.314
ˈɑ	ˈɔ	0.191
ˈɑ	ˈaː	0.176
ˈɑ	ˈuːə̯	0.088
ˈɑ	ˈeː	0.088
ˈɔ	ˈuːə̯	0.232
ˈɔ	ˈa	0.232
ˈɔ	ˈeː	0.15
ˈɔ	ˈaː	0.142
ˈɔ	ˈœː	0.142
ˈɛ	ˈɪɛ̯	0.22
ˈɛ	ˈaʊ̯	0.161
ˈɛ	-	0.13
ˈɛ	ˈaɪ̯	0.077
ˈɛ	ˈɛ	0.077
ˈɝ	ˈɔː	0.265
ˈɝ	ˈɛː	0.265
ˈɝ	ˈɪɛ̯	0.265
ˈɝ	ˈuːə̯	0.162
ˈɪ	ˈɪ	0.532
ˈɪ	ˈʏ	0.128
ˈɪ	ˈiː	0.083
ˈɪ	ˈɛ	0.083
ˈɪ	ˈyː	0.054
ˈʊ	ˈʊ	0.57
ˈʊ	ˈoː	0.242
ˈʊ	ˈuə̯	0.148
ˈʌ	ˈʊ	0.343
ˈʌ	ˈoː	0.193
ˈʌ	ˈuːə̯	0.143
ˈʌ	ˈa	0.099
ˈʌ	ˈuː	0.082
θ	d	0.656
θ	-	0.242
θ	t	0.095
