Mainland North Frisian	Old Frisian	probability
ˈʏ_n	n_d	1.0
ˈœi̯	ˈoː	1.0
ˈœ_ʀ	r	1.0
ˈai̯	-	1.0
ʀ_t	r_t	1.0
ʀ_n	r_n	1.0
ʀ	r	1.0
ɡ	ɡ	1.0
ɛi̯	iː	1.0
ç	ɣ	1.0
z̥	θ	1.0
t_ʀ	θ_r	1.0
n_t	n_t	1.0
l_ˈa	l_ˈi	1.0
l_ə	l	1.0
j_ˈa	ˈeː	1.0
f	f	1.0
d̥	d	1.0
dʲ	d	1.0
d_ʀ	d_r	1.0
l	l	0.979
m	m	0.978
s	s	0.961
p	p	0.955
b	b	0.941
h	h	0.894
ʃ	s_k	0.885
k	k	0.859
tʲ	t	0.84
n	n	0.832
ˈeː	ˈe	0.817
t	t	0.807
ˈɔu̯	-	0.784
x	x	0.751
ə_n	ə_n	0.748
ə	ə	0.743
v	w	0.73
ˈyː	ˈaː	0.712
ˈʏ	ˈuː	0.708
ˈɛ	ˈeː	0.682
ˈuː	ˈaː	0.681
ˈɔ	ˈɔː	0.667
ˈɛː	ˈe	0.647
ˈa	ˈe	0.62
ˈɛi̯	ˈeː	0.596
ˈaː	-	0.577
z	z	0.57
ˈʊ	ˈu	0.537
ˈœː	ˈuː	0.536
ˈiː	ˈɛː	0.509
lʲ	l_d	0.506
ʀ_d̥	r_d	0.5
ʀ_d̥	r	0.5
nʲ	n_d	0.5
nʲ	n	0.5
lʲ	l	0.494
d	d	0.478
ˈɔː	-	0.466
ˈœː	-	0.464
i	ə_x	0.451
ˈɒ	ˈa	0.433
z	-	0.43
ˈaː	ˈu	0.423
ˈɒː	ˈa	0.418
ˈɒː	ˈe	0.415
ˈiː	ˈi̯aː	0.411
ˈi	ˈiː	0.397
ˈi	ˈi	0.392
ŋ	ŋ	0.379
ŋ	ŋ_ɡ	0.363
ˈɛː	-	0.353
j	j	0.336
ˈɔ	ˈo	0.333
i	-	0.333
ˈɛ	-	0.318
ˈɒ	ˈe	0.304
ˈʏ	-	0.292
ˈɔː	ˈɔː	0.288
ˈyː	-	0.288
j	-	0.286
ˈɒ	-	0.263
ŋ	-	0.259
ə_n	ə	0.252
x	ə	0.249
ˈɔː	ˈo	0.246
ˈʊ	-	0.245
ˈœ	ˈoː	0.236
j	ˈi̯uː	0.234
ˈœ	ˈi	0.222
d	θ	0.219
ˈɔu̯	ˈoː	0.216
i	i	0.216
ˈi	-	0.211
ˈœ	ˈɔː	0.208
ˈœ	ˈa	0.208
ˈɛi̯	ˈiː	0.202
ˈɛi̯	ˈe_j	0.202
ˈuː	ˈa	0.184
ˈeː	-	0.183
ˈa	ˈeː	0.168
ˈɒː	-	0.167
tʲ	θ	0.16
t	θ	0.155
j	ɣ	0.144
ˈʊ	ˈi	0.137
ˈa	ˈi	0.136
ˈuː	-	0.134
ˈœ	-	0.126
n	nː	0.122
ʃ	s	0.115
h	h_ˈu	0.106
v	h_w	0.104
v	v	0.096
d	ð	0.095
d	t	0.095
k	kː	0.085
ˈʊ	ˈaː	0.081
ˈiː	-	0.081
ˈa	ˈu	0.077
d	ʣ	0.075
ə	e	0.069
ə	d_ə	0.068
b	-	0.059
k	k_ə	0.056
