Auvergnat	Megleno-Romanian	probability
ˈɪ̃	ˈi	1.0
ˈɔ	ˈo	1.0
ˈỹ	ˈu	1.0
ˈũ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ	ˈi	1.0
ˈa_l	ˈe_r	1.0
ʧ	k	1.0
ʃ	ʦ	1.0
ʀ_ɔ	r_ə	1.0
ɪ	s	1.0
ɒ	-	1.0
œ	u	1.0
z	-	1.0
w_ˈɔ	o̯ˈa	1.0
vʲ	v	1.0
pʲ	p	1.0
n_ˈe	n_ˈe	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
k	k	1.0
j_ʀ	t	1.0
j	-	1.0
i	-	1.0
fʲ	-	1.0
f	f	1.0
e	-	1.0
a	m	1.0
ʀ	r	0.938
ɔ	ə	0.911
ʤ	-	0.793
ˈɪ	e̯ˈa	0.775
ɡ	ɡ	0.751
t	t	0.744
ˈã	ˈɔ	0.728
ˈa	ˈa	0.704
ŋ	n	0.676
l	l	0.675
p	p	0.663
w	-	0.637
v	v	0.607
s	s	0.603
b	b	0.601
d	-	0.571
ˈe	ˈa	0.548
ˈœ	ˈo	0.523
ˈu	ˈu	0.518
ʎ	ʎ	0.494
ˈœ	o̯ˈa	0.477
ə	i	0.467
d	d	0.429
b	p	0.399
ə	-	0.362
ʎ	k_ʎ	0.325
ˈu	ˈo	0.304
v	-	0.282
s	ʦ	0.282
ˈã	ˈa	0.272
t	ʦ	0.256
ˈe	ˈe	0.251
ɡ	-	0.249
w	w	0.235
p	-	0.228
ˈɪ	j	0.225
ˈa	ˈɔ	0.222
ŋ	n_t	0.221
ʤ	ʤ	0.207
ʎ	l	0.181
ˈu	ˈu_k	0.178
ə	u	0.171
l	ʎ	0.152
w	ˈu	0.128
s	-	0.115
ˈe	-	0.113
v	ɔ	0.111
p	kʲ	0.109
l	r	0.106
ŋ	j_n	0.103
ɔ	u	0.089
ˈe	ˈa_p	0.088
ˈa	ˈe	0.074
l	e̯ˈa	0.067
ʀ	r_n	0.062
