Québécois French	Québécois French	probability
ʦ	-	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈu	1.0
ʁ_æɛ̯	ɾ_ˈa	1.0
ʁ_w	ɾ_ˈɛ	1.0
ʁ_s	ɾ_ʦ	1.0
ɲ	a	1.0
ɛ_ʁ	ɛ_ɾ	1.0
ɛ_#>	ɣ_ɛ_#>	1.0
z	-	1.0
w_ɛ	ˈi	1.0
t	t	1.0
o	s	1.0
n	n	1.0
m	m	1.0
l_#>	a_#>	1.0
k_l	k_ɾ	1.0
f_l	f_ɾ	1.0
f	f	1.0
b	b	1.0
aœ̯	ˈɔ	1.0
a_l	a_l	1.0
<#_ʁ	<#_ɾ	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_i	1.0
<#_a	<#_a	1.0
p	p	0.929
y	ˈu	0.818
d	d	0.818
k	k	0.8
ʁ	ɾ	0.734
ɪ	ˈi	0.714
ɡ	ɡ	0.667
v	b	0.667
s	s	0.632
ɥ	-	0.6
ɛ_l	l_u	0.6
øʏ̯	ˈo_ɣ	0.6
oʊ̯	ˈa	0.6
ʃ	k	0.5
ɑɔ̯	ˈɔ	0.5
œ_f	ˈɔ_ɛ	0.5
œ_f	ˈo_u	0.5
a	ˈa	0.5
e	ˈa_ɾ	0.474
ẽɪ̯̃	ˈa_n	0.467
l	l	0.45
æɛ̯	ˈa	0.44
i	ˈi	0.429
œ	ɛ	0.417
ʒ	b	0.4
ʃ	k_a	0.4
ɥ	ˈu_t	0.4
ɛ_l	l	0.4
øʏ̯	u_z	0.4
ɔ	ˈɔ	0.375
ɔ	ˈo	0.375
#>	ɛ_#>	0.36
ɒ̃ʊ̯̃	ˈɔ_n	0.357
ɛ	ˈi	0.353
ɡ	-	0.333
œ	-	0.333
j	ˈɛ	0.316
j	-	0.316
a	a	0.312
#>	u_#>	0.309
#>	a_#>	0.303
ɑɔ̯	ˈo	0.3
ã	n	0.294
w	ˈi	0.273
ʒ	-	0.267
ɔ	ɔ	0.25
œ	ˈɔ	0.25
w	ˈɛ	0.227
v	-	0.222
u	ˈɔ	0.222
u	ˈu	0.222
ɒ̃ʊ̯̃	-	0.214
ʒ	ʣ	0.2
ɑɔ̯	o	0.2
æɛ̯	ˈɛ	0.2
oʊ̯	ˈe_ɖː	0.2
oʊ̯	-	0.2
ẽɪ̯̃	ˈi_n	0.2
ẽɪ̯̃	n_u	0.2
i	u	0.19
a	-	0.188
y	-	0.182
w	ˈu	0.182
d	nː	0.182
ɛ	ɛ	0.176
ã	ˈɛ_n	0.176
ã	n_t	0.176
u	ˈo	0.167
u	u	0.167
s	k	0.158
j	j	0.158
e	ˈa_ð	0.158
e	j_ˈa_ɾ_ɛ	0.158
ʁ	ɛ_ɾ	0.156
l	ɾ	0.15
l	u	0.15
l	j	0.15
ɪ	ˈi_ʣ	0.143
ɪ	ˈi_ɖː	0.143
ɒ̃ʊ̯̃	ˈɔ	0.143
ɒ̃ʊ̯̃	ˈo_n	0.143
ɒ̃ʊ̯̃	ɔ_n	0.143
i	ˈɛ_ɣ	0.143
i	ɛ	0.143
w	i	0.136
ʒ	j_u	0.133
ẽɪ̯̃	n	0.133
æɛ̯	ˈi	0.12
ɛ	ˈɛ	0.118
ɛ	ð_u	0.118
ɛ	ð	0.118
ɛ	u	0.118
ã	nː_u	0.118
ã	m_b	0.118
ã	m	0.118
v	β	0.111
u	ˈɔ_j	0.111
u	ˈu_ɾ	0.111
j	ʣ_a	0.105
j	ʣ	0.105
e	ˈa	0.105
e	-	0.105
ʃ	k_ˈa	0.1
l	l_u	0.1
k	s_k	0.1
k	-	0.1
i	ˈɛ	0.095
w	ˈi_t	0.091
w	-	0.091
æɛ̯	ˈa_t	0.08
æɛ̯	i	0.08
æɛ̯	-	0.08
ʁ	r	0.078
p	s_p	0.071
s	ʦ	0.053
s	s_ˈa	0.053
s	k_i	0.053
s	-	0.053
