Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	ˈi	1.0
ˈɔː	ɐˀ	1.0
ˈɔ	-	1.0
ˈœ	-	1.0
ɪ	i	1.0
ə	-	1.0
ɐ_d_#>	ɐˀ_#>	1.0
ɐ_#>	#>	1.0
z̥_#>	s_#>	1.0
x_d	d̥	1.0
x	j	1.0
tʰ	ʦʰ	1.0
s	s	1.0
r	ʁ	1.0
pʰ	pʰ	1.0
p	b̥	1.0
n_ˈaɪ̯	n_ˈeˀ	1.0
n_n	n_ə	1.0
n_d	nˀ	1.0
n_#>	#>	1.0
l_d	lˀ	1.0
kʰ	kʰ	1.0
k	-	1.0
j	ɡ̊	1.0
h	h	1.0
f_#>	#>	1.0
d_n	ð̞ˠ_ə	1.0
d_#>	#>	1.0
b	b̥	1.0
aɪ̯	ə	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
z	s	0.955
ɐ	ɐ	0.852
ˈʊ	ˈu	0.833
v	ʋ	0.773
l	l	0.762
f	f	0.739
ˈaː	-	0.714
m	m	0.677
ˈøː	-	0.667
ˈeː	-	0.667
ɡ	ɡ̊	0.654
#>	ə_#>	0.613
ˈyː	ˈyˀ	0.6
ç	-	0.6
ˈuː	ˈuˀ	0.571
ˈiː	ˈiˀ	0.571
ˈɛ	-	0.556
t	d̥	0.545
ʃ	s_ɡ̊	0.542
ʃ	s	0.458
n	n	0.444
ˈa	ˈæ	0.435
ˈɪ	ˈe	0.4
ˈyː	ˈy	0.4
ˈɔʏ̯	ˈøː	0.375
ˈɔʏ̯	-	0.375
ŋ	ŋˀ	0.357
d	ð̞ˠ	0.357
ˈʏ	ˈœ	0.333
ˈʏ	ˈø	0.333
ˈʏ	-	0.333
ˈøː	ˈoˀ	0.333
ˈaɪ̯	ˈeˀ	0.333
ˈaɪ̯	-	0.333
ˈa	-	0.304
d	d̥	0.304
ˈoː	-	0.3
ˈaː	ˈɑˀ	0.286
t	ð̞ˠ	0.273
ˈɔʏ̯	ˈøˀ	0.25
ˈoː	ˈɔˀ	0.25
ˈaʊ̯	ˈoˀ	0.25
ˈɛ	ˈeˀ	0.222
ˈɛ	ˈe	0.222
ˈeː	ˈiː	0.222
ˈa	ˈɑ	0.217
ˈuː	ˈuː	0.214
ˈuː	-	0.214
ˈiː	ˈiː	0.214
ˈiː	-	0.214
ŋ	ə	0.214
ŋ	ŋ	0.214
ŋ	-	0.214
d	ʦʰ	0.214
ˈɪ	ˈɛ	0.2
ç	ɡ̊	0.2
ç	j	0.2
n	n_ə	0.194
ˈaɪ̯	ˈyː	0.19
l	lˀ	0.19
t	ˈɑ_d̥	0.182
ˈʊ	-	0.167
n	ə	0.167
#>	d̥_#>	0.161
ˈɪ	-	0.16
ɡ	j	0.154
ˈoː	ˈɔː	0.15
ɐ	ɐˀ	0.148
ˈaʊ̯	ˈo	0.143
ˈaʊ̯	-	0.143
ˈaɪ̯	ˈyˀ	0.143
n	nˀ	0.139
v	-	0.136
m	w_ə	0.129
ˈɪ	ˈiˀ	0.12
ˈɪ	ˈeˀ	0.12
ɡ	w	0.115
ˈeː	ˈœː	0.111
ˈaʊ̯	ˈʌ	0.107
ˈaʊ̯	ˈɔˀ	0.107
ˈaʊ̯	ˈœˀ	0.107
d	-	0.107
ˈoː	ˈɒˀ	0.1
ˈoː	ˈɑː	0.1
ˈoː	ˈæ	0.1
m	ə	0.097
#>	n_#>	0.097
v	ˈo	0.091
f	ʋ	0.087
f	w	0.087
f	f_ˈø	0.087
ɡ	-	0.077
ˈaʊ̯	ˈʌˀ	0.071
ˈaʊ̯	ˈøˀ	0.071
m	mˀ	0.065
#>	ɐ_#>	0.065
#>	w_#>	0.065
n	ɡ̊_ə	0.056
