Franco-Provençal	Franco-Provençal	probability
ˈɛː_ʁ	ˈa_ɾ	1.0
ˈɔ	ˈɔ	1.0
ˈɑː	ˈa	1.0
ˈy	ˈu_p	1.0
ˈe_ʃ	ɕ_ɪ	1.0
ˈe_v	p	1.0
ʦ	ʦː	1.0
ʃ_ə	k_a	1.0
ʁ_o	ɽ_ʊ	1.0
ɲ	ɲː	1.0
ɡ_ʎ	ɟ	1.0
ɡ	ɡ	1.0
ɛː	-	1.0
ɛ	i	1.0
ɔ̃	-	1.0
ɔ	-	1.0
ɑ̃	a_n	1.0
ɑː	a_s	1.0
z	-	1.0
w_ˈɛː	ˈu	1.0
u	-	1.0
n	n	1.0
l_ˈo	ˈi	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
ĩ	-	1.0
f_l	ç	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈi	<#_ˈi	1.0
<#_ʁ	<#_ʐ	1.0
<#_w	<#_ˈɔ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
b	b	0.917
a	a	0.915
p	p	0.9
f	f	0.864
m	m	0.8
l_#>	ɖː_ʊ_#>	0.8
ˈɑ̃	ˈa_n	0.778
v	v	0.778
ˈa	ˈa	0.76
ˈo	ˈu	0.75
ˈu	ˈu	0.727
ˈoː	ˈɔ	0.727
l	l	0.722
ˈaː	ˈa	0.714
ð	ɾ	0.692
d	d	0.667
ˈi	ˈi	0.643
s	s	0.633
ˈĩ	ˈi_n	0.6
i	-	0.6
<#_ð	<#_ʤ	0.6
ʁ	ɾ	0.591
ʎ	ɟː	0.583
ˈɛː	ˈi	0.579
o	ʊ	0.533
t	t	0.522
ə	ɪ	0.48
#>	ʊ_#>	0.457
ˈø	ˈu	0.444
e	ʃ	0.429
ʎ	cː	0.417
#>	ɪ_#>	0.405
ˈĩ	ˈi	0.4
ʃ	k	0.4
ə	a	0.4
w	ˈu	0.4
i	a	0.4
<#_ð	<#_j	0.4
ˈɛ	ˈi	0.368
j	-	0.368
ˈe	ˈɛ	0.343
ˈɛ̃	ˈɛ_n	0.333
ˈø	-	0.333
ʒ	ʤ	0.333
ʒ	j	0.333
ʒ	-	0.333
d	ɪ	0.333
<#	<#_n	0.333
<#	<#_l	0.333
<#	<#_a	0.333
ˈɛ	ˈɛ	0.316
ˈɛ	-	0.316
ˈɔ̃	ˈo	0.3
ˈɔ̃	n	0.3
ʃ	-	0.3
ʁ	r	0.295
ˈaː	ˈa_ʈ	0.286
e	a_s	0.286
e	-	0.286
l	ɖː	0.278
ˈu	ˈɔ	0.273
ˈoː	ˈa_w	0.273
j	ˈɛ	0.263
ˈɛ̃	ɲː_ʊ	0.25
ˈɛ̃	n	0.25
ˈo	ˈu_j	0.25
s	ɕ	0.233
ˈe	ˈi	0.229
ˈɑ̃	ˈa	0.222
ˈø	ˈɔ	0.222
ˈi	ˈɛ	0.214
ˈɔ̃	ˈɔ_n	0.2
ˈɔ̃	ˈu_n	0.2
w	ˈɔ	0.2
w	-	0.2
o	u	0.2
l_#>	#>	0.2
ˈɛ̃	n_ʊ	0.167
ˈa	ˈa_r	0.16
j	ˈu	0.158
ð	ɽ	0.154
ð	-	0.154
ˈi	-	0.143
ˈe	ˈa	0.143
ˈe	ʊ	0.143
s	-	0.133
o	ɪ	0.133
o	-	0.133
t	tː	0.13
t	-	0.13
ə	i	0.12
m	nː	0.12
ʁ	ɪ_ɾ	0.114
v	p	0.111
v	-	0.111
ˈɛː	ˈi_ɾ	0.105
ˈɛː	ˈe	0.105
ˈɛː	ɾ	0.105
ˈɛː	-	0.105
j	ˈa_ɾ	0.105
j	ɾ	0.105
ʃ	ɕ_ɪ	0.1
ʃ	k_ˈa	0.1
ʃ	k_a	0.1
w	ˈɔ_k	0.1
w	w	0.1
p	c	0.1
f	v_ɪ	0.091
t	ʈ	0.087
t	kː	0.087
ˈe	-	0.086
b	bː	0.083
ˈa	k_ʊ	0.08
m	mː	0.08
#>	a_#>	0.06
ˈe	ɪ	0.057
