Old French	Neapolitan	probability
ˈɔ_r	ˈɔ_ɾ	1.0
ˈỹ	ˈu	1.0
ˈu_s	ˈu_j	1.0
ˈõ	ˈo_ɲː	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_r	ˈi	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa	ˈa	1.0
ʧ_j	k	1.0
ɛ	-	1.0
ə_n	ə_n	1.0
ŋ	ŋ	1.0
y	u	1.0
w_ˈɛ	ˈɔ	1.0
ũ	u	1.0
p_l	k_j	1.0
p	p	1.0
o	ˈe	1.0
n_ˈɔ	n_ˈo	1.0
j_n	ə	1.0
ĩ	i	1.0
i	i	1.0
f_l	ʃ	1.0
e_s	ʃ	1.0
e	-	1.0
d_r	ə_ɾ	1.0
ã	a	1.0
a	a	1.0
z	-	0.909
j_t	tː_ə	0.872
ɡ	ɡ	0.866
k	k	0.862
n	n	0.84
v	v	0.839
ə	ə	0.837
m	m	0.815
ʧ	k	0.808
ˈi	ˈi	0.799
ˈy	ˈu	0.749
d	d	0.744
f	f	0.741
r	ɾ	0.68
ˈu	ˈu	0.673
w	w	0.666
t	t	0.641
ɲ	ɲː	0.631
u	u	0.63
ɔ	-	0.622
ʎ	ʎː	0.621
j	-	0.609
s	s	0.591
ʤ	-	0.576
ʦ	ʃ	0.566
ˈɔ_j	ˈe	0.51
ˈe	ˈa	0.493
ˈɔ_j	ˈi	0.49
b	b	0.488
l	l	0.461
ʤ	ʤ	0.424
b	v	0.414
ʎ	kː_j	0.379
ɔ	a	0.378
u	o	0.37
ɲ	ɲ	0.369
j_s	ʃː	0.332
ˈu	ˈo	0.327
j_s	ʦː	0.327
ˈɛ	ˈɛ	0.318
ˈũ	w_ˈɔ	0.312
ˈe	-	0.299
ˈẽ	ˈɛ	0.295
l	lː	0.294
ˈũ	ˈo	0.289
ˈɛ	ˈa	0.27
ˈɔ	ˈe	0.267
ˈũ	ˈu	0.263
j_s	ʃ_ə	0.258
d	-	0.256
ˈy	ˈɔ	0.251
ˈɔ	ˈɔ	0.245
ˈɔ	w_ˈɔ	0.228
s	ə	0.216
ˈẽ	ˈi	0.209
ˈẽ	-	0.209
ˈe	ˈe	0.208
w	ˈu	0.202
ˈi	j_ˈɛ	0.201
ʦ	ʃː	0.194
ʧ	kː	0.192
m	mː	0.185
ʦ	-	0.184
f	v_ə	0.176
ˈẽ	ˈe	0.173
ˈɛ	j_ˈɛ	0.169
t	tː	0.168
v	p	0.161
r	r	0.161
l	j	0.145
k	k_w	0.138
ˈũ	ˈɔ	0.136
j	j	0.136
ɡ	-	0.134
w	ə	0.132
ˈɔ	ˈi	0.13
ˈɔ	-	0.13
j_t	dː	0.128
s	ʃ	0.122
ˈẽ	j_ˈɛ	0.113
ˈɛ	ˈi	0.109
b	bː	0.098
n	nː	0.097
z	z	0.091
t	tː_ə	0.086
j_s	ʧ	0.084
j	ɾ	0.082
ə	t_ə	0.081
t	-	0.079
r	-	0.078
s	sː	0.071
j	k_ə	0.066
ˈɛ	ˈa_t	0.059
j	ə	0.059
ʦ	ʦ	0.057
l	-	0.053
f	p_ə	0.053
