Alsatian	Saterland Frisian	probability
b̥	b	0.885
b̥	w	0.064
b̥	x	0.055
d̥	d	0.63
d̥	-	0.153
d̥	t	0.11
d̥	j	0.096
e	w	0.508
f	f	0.689
f	p	0.223
f	-	0.068
f	ɣ	0.037
h	h	1.0
i	ɪ_x	0.464
i	ə	0.404
i	ɪ	0.089
i_ʃ	k	0.508
j	j	0.447
j	ˈi	0.162
j	ˈoː	0.162
j	ˈaːi̯	0.109
k	k	0.457
k	x	0.367
k	ɣ	0.141
kʰ	k	0.697
kʰ	s	0.187
kʰ	-	0.103
l	l	0.963
l	ɫ	0.037
l	-	0.034
m	m	1.0
n	n	0.89
n	-	0.101
n_s	s	0.508
p	p	0.508
p͡f	p	0.683
p͡f	d	0.229
s	s	0.495
s	t	0.378
s	z	0.071
s	s_j	0.052
t	d	0.55
t	t	0.355
t	-	0.093
v	ɣ	0.608
v	-	0.119
v	v	0.119
w	v	0.683
w	ˈʊ	0.229
x	x	0.822
x	k	0.148
ŋ	ŋ	1.0
ə	ə	0.728
ə	-	0.169
ə	j_ə	0.075
ɡ̊	ɣ	0.619
ɡ̊	j	0.176
ɡ̊	ɡ	0.097
ɡ̊	k	0.079
ʁ	r	0.98
ʃ	s	0.477
ʃ	s_k	0.288
ʃ	x	0.08
ʃ	k	0.052
ʃ	-	0.042
ʋ	v	0.939
ʋ	ə	0.064
ʦ	t	1.0
ˈai̯	ˈeː	1.0
ˈaː	ˈɔː	0.195
ˈaː	ˈaːi̯	0.195
ˈe	ˈeː	0.288
ˈe	ˈɔ	0.144
ˈe	ˈiː	0.144
ˈe	ˈɔː	0.105
ˈe	-	0.105
ˈei̯	ˈɛɪ̯	0.74
ˈei̯	ˈi	0.145
ˈeː	ˈeː	0.754
ˈeː	j	0.158
ˈeː	ˈa	0.08
ˈi	ˈɪ	0.416
ˈi	ˈiː	0.238
ˈi	ˈyː	0.075
ˈi	ˈɔ	0.055
ˈi	ˈoː	0.055
ˈiː	ˈiː	0.168
ˈiː	ˈɛɪ̯	0.168
ˈiː	ˈi	0.132
ˈiː	j_ˈuː	0.1
ˈiː	ˈuː	0.087
ˈo	ˈɔ	0.412
ˈo	ˈʊ	0.389
ˈo	ˈaːu̯	0.127
ˈo	ˈoːu̯	0.045
ˈo_ʁ	ˈoːu̯	1.0
ˈoː	ˈoː	0.445
ˈoː	ˈiː	0.095
ˈoː	ˈoːu̯	0.09
ˈoː	ˈɛɪ̯	0.09
ˈoː	ˈɔː	0.074
ˈu	ˈʊ	0.425
ˈu	ˈuː	0.342
ˈu	ˈɛː	0.163
ˈu	ˈɔː	0.064
ˈyː	ˈuː	0.728
ˈyː	ˈɛɪ̯	0.222
ˈyː	ˈu	0.048
ˈæ	ˈi	0.204
ˈæ	ˈiː	0.188
ˈæ	-	0.137
ˈæ	ˈiːu̯	0.119
ˈæ	ˈeːu̯	0.08
ˈæː	ˈoː	0.295
ˈæː	ˈɔː	0.223
ˈæː	ˈeː	0.194
ˈæː	-	0.136
ˈæː	ˈiː	0.091
ˈø	ˈuː	0.258
ˈøi̯	ˈuː	0.508
ˈøː	ˈoːu̯	0.335
ˈøː	ˈuː	0.335
ˈœ	ˈoː	0.508
ˈɒ	ˈɔː	0.28
ˈɒ	ˈoː	0.159
ˈɒ	ˈoːu̯	0.156
ˈɒ	ˈaː	0.087
ˈɒ	ˈɔ	0.076
ˈɒː	ˈoː	0.224
ˈɒː	ˈɔː	0.148
ˈɒː	ˈɛɪ̯	0.148
ˈɒː	ˈaːi̯	0.148
ˈɒː	ˈɛ	0.148
ˈəi̯	ˈeː	0.389
ˈəi̯	ˈɔːɪ̯	0.147
ˈəi̯	ˈoː	0.147
ˈəi̯	ˈɛ	0.113
ˈəi̯	ˈɛɪ̯	0.079
ˈʊː	ˈoːu̯	0.527
ˈʊː	ˈoː	0.268
ˈʊː	ˈuː	0.09
ˈʊː	ˈu	0.09
