Eastphalian	Afrikaans	probability
b	b	0.962
b	-	0.05
b_m	p	1.0
d	d	0.59
d	t	0.373
f	f	0.983
f	v	0.038
h	ɦ	1.0
j	χ	0.428
j	j	0.299
j	-	0.26
k	k	0.952
k	χ	0.054
l	ɫ	0.848
l	l	0.144
l_d	t	1.0
m	m	0.93
m	-	0.062
m	n	0.04
n	n	0.738
n	-	0.251
p	p	1.0
r	r	1.0
s	s	1.0
t	t	0.815
t	-	0.183
t_n	t	1.0
v	v	0.727
v	w	0.142
v	f	0.086
v	-	0.051
w	w	0.488
w	ˈœ	0.28
w	v	0.18
x	χ	1.0
z	s	1.0
ç	χ	0.826
ç	ŋ	0.148
ŋ	ŋ	0.923
ŋ	-	0.078
ɐ	r	0.62
ɐ	ə	0.374
ɐ_n	r	1.0
ə	-	0.981
ə	ə	0.04
ɡ	χ	0.514
ɣ	χ	0.853
ɣ	-	0.143
ɪ	ə	1.0
ʃ	s	0.676
ʃ	s_k	0.31
ˈa	ˈa	0.928
ˈa	ˈæː	0.048
ˈa	ˈæ	0.043
ˈaʊ̯	ˈu	0.47
ˈaʊ̯	ˈuː	0.14
ˈaʊ̯	ˈa	0.14
ˈaʊ̯	ˈɔ	0.14
ˈaʊ̯	ˈuːi̯	0.103
ˈaː	ˈa	0.715
ˈaː	ˈɑː	0.28
ˈeo̯	ˈʊə̯	0.907
ˈeo̯	ˈoːi̯	0.091
ˈeː	ˈɪə̯	0.693
ˈeː	ˈi	0.143
ˈeː	ˈæː	0.094
ˈeː	ˈɑː	0.049
ˈiː	ˈəɪ̯	0.744
ˈiː	ˈi	0.171
ˈiː	ˈœi̯	0.08
ˈoː	ˈʊə̯	0.684
ˈoː	ˈɪø̯	0.115
ˈoː	ˈœ	0.11
ˈuː	ˈœɪ̯	0.689
ˈuː	ˈœu̯	0.158
ˈuː	ˈʊə̯	0.112
ˈuː	ˈɔ	0.047
ˈyː	ˈyː	1.0
ˈøː	ˈʊə̯	0.733
ˈøː	-	0.265
ˈœ	ˈɛ	0.39
ˈœ	ˈɑː	0.2
ˈɒː	ˈɑː	1.0
ˈɔ	ˈɔ	0.541
ˈɔ	ˈœu̯	0.268
ˈɔ	ˈɔː	0.089
ˈɔ	ˈɪø̯	0.089
ˈɔ_l	ˈœu̯	0.514
ˈɔʏ̯	ˈu	0.742
ˈɔʏ̯	ˈʊə̯	0.253
ˈɛ	ˈɛ	0.371
ˈɛ	ˈɛː	0.197
ˈɛ	ˈɪə̯	0.171
ˈɛ	-	0.13
ˈɛ	ˈæ	0.104
ˈɛə̯	ˈɑː	1.0
ˈɛɪ̯	ˈi	0.664
ˈɛɪ̯	ˈɪə̯	0.151
ˈɛɪ̯	ˈəɪ̯	0.121
ˈɛɪ̯	ˈɑː	0.054
ˈɛː	ˈɪə̯	0.47
ˈɛː	ˈɛ	0.164
ˈɛː	ˈɔː	0.121
ˈɛː	ˈɪø̯	0.116
ˈɛː	ˈa	0.088
ˈɪ	ˈə	0.744
ˈɪ	ˈɛ	0.09
ˈɪ	ˈəɪ̯	0.061
ˈɪ	-	0.052
ˈɪ	ˈɪ	0.052
ˈʊ	ˈɔ	0.831
ˈʊ	ˈu	0.162
ˈʏ	ˈœ	0.295
ˈʏ	ˈœɪ̯	0.194
ˈʏ	ˈi	0.194
ˈʏ	ˈɔ	0.138
ˈʏ	ˈɛ	0.132
