Mainland North Frisian	Mecklenburgisch-Vorpommersch	probability
ˈɛ	ˈɔʏ̯	1.0
ˈœi̯	-	1.0
ˈi_l	ˈɪ_l	1.0
ˈai̯	ˈɪ	1.0
ˈa_ʀ	ˈaː	1.0
ʀ_ˈɛ	r	1.0
ʀ_s	s	1.0
ʀ_n	æ_n	1.0
ɛi̯	ae̯	1.0
ə_ʀ	æ	1.0
ç	ç	1.0
z̥	d̥	1.0
w	ˈae̯	1.0
v̥	v̥	1.0
v_ə	m	1.0
tʲ	t	1.0
s_l	ʃ_l	1.0
p	p	1.0
n_ˈɔː	n	1.0
m_ə	m	1.0
lʲ	l_d̥	1.0
l_ˈa	l_ˈɪ	1.0
l_ə	l	1.0
k_ə	k	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
dʲ_ə	d_n	1.0
dʲ	d̥	1.0
d_ə	ŋ	1.0
b	b	1.0
n	n	0.955
l	l	0.92
ʃ	ʃ	0.881
m	m	0.872
ŋ	ŋ	0.764
ˈɛː	-	0.736
v	v	0.735
n_ə	n_n	0.733
ɡ	ɡ	0.687
ˈɔ	ˈuː	0.679
d	d	0.66
ˈœː	-	0.642
ˈyː	-	0.638
ˈiː	ˈae̯	0.635
ˈɔu̯	ˈɒː	0.605
ˈa	-	0.597
t	t	0.594
s	z	0.592
z	t	0.578
ˈaː	-	0.577
nʲ	n	0.571
k	k	0.54
ə	n	0.522
ˈɒ	ˈa	0.516
x	x	0.515
ˈi	ˈiː	0.51
x	ç	0.485
ˈʊ	ˈʊ	0.46
ˈʏ	ˈuː	0.439
ˈɛi̯	ˈɒː	0.438
nʲ	n_d̥	0.429
ˈaː	ˈœː	0.423
z	-	0.422
ˈi	ˈɪ	0.411
ˈɛi̯	ˈɔʏ̯	0.405
ˈɔu̯	-	0.395
j	ɡ	0.394
k	kʰ	0.376
ʀ	r	0.37
ˈeː	-	0.366
ˈyː	ˈaʊ̯	0.362
ˈuː	ˈaʊ̯	0.359
ˈœː	ˈuː	0.358
j	-	0.35
ˈœ	ˈa	0.34
ˈɔ	-	0.321
ˈɔː	-	0.318
ˈiː	-	0.313
ɡ	j	0.313
ˈɒː	ˈɒː	0.303
d	ɾ	0.293
ˈɒː	-	0.289
ˈœ	ˈaʊ̯	0.283
ˈɒ	ˈɛ	0.274
n_ə	n	0.267
ˈɛː	ˈɛː	0.264
ˈɔː	ˈœː	0.259
ˈuː	ˈuː	0.255
ˈɔː	ˈa	0.249
ˈeː	ˈʏ	0.249
ˈʏ	ˈʏ	0.247
ˈa	ˈɪ	0.246
ˈœ	-	0.245
ˈuː	ˈa	0.237
ŋ	ç	0.236
ə	-	0.231
t	d	0.219
ˈʊ	-	0.216
ˈɒ	-	0.21
ˈɒː	ˈaː	0.209
s	s	0.209
ˈɒː	ˈa	0.198
s	ʃ	0.198
ˈeː	ˈɛ	0.194
ˈeː	ˈa	0.191
ˈʏ	-	0.188
ʀ	æ	0.183
ʀ	ˈoː_æ	0.178
ˈɔː	ˈɔ	0.174
j	ˈɒː	0.159
ˈɛi̯	ˈɛɪ̯	0.157
ˈa	ˈʏ	0.157
t	tʰ	0.152
ˈuː	-	0.149
ʀ	ˈaː	0.143
v	w	0.139
ˈʊ	ˈɪ	0.138
ˈœ	ˈɔ	0.132
ə	m	0.131
m	ˈɒː	0.128
ˈʏ	ˈʊ_n	0.126
v	-	0.126
ʃ	-	0.119
ə	ɡ	0.116
ˈʊ	ˈa	0.105
k	-	0.084
ˈʊ	ˈɛ	0.081
l	ˈɛ_l	0.08
ˈi	ˈøː	0.079
j	ɣ	0.067
ˈiː	ˈeː	0.052
ʀ	ˈiː_æ	0.052
