Latin	Venetian	probability
#>	#>	1.0
<#	<#	0.997
<#_a	<#	1.0
<#_au̯	<#	1.0
<#_h	<#	1.0
<#_l	<#	1.0
a	a	0.787
a	-	0.102
a	u	0.057
a	ˈa	0.057
ae̯	i	0.574
ae̯	a	0.299
au̯	u	1.0
aː	a	0.57
aː	ˈa	0.208
aː	w	0.119
aː	e	0.094
ãː	a	0.932
b	b	0.676
b	v	0.185
b	-	0.136
d	d	0.753
d	-	0.182
d_i	j	0.561
d_i	z	0.425
e	j	0.477
e	-	0.27
e	o	0.091
eː	e	0.754
eː	-	0.171
eː	a	0.053
f	f	1.0
i	-	0.603
i	j	0.121
i	o	0.115
i	i	0.056
i	ˈi	0.055
i_ʊ	o	0.521
i_ʊ̃ː	o	1.0
iː	i	0.752
iː	ˈi	0.242
j	z	1.0
k	k	0.379
k	ɡ	0.188
k	-	0.167
k	z	0.114
k	s	0.099
k_t	t	1.0
k_ʊ	ʧ	1.0
kʷ	k	0.366
kʷ	k_w	0.366
kʷ	s	0.265
l	j	0.284
l	l	0.284
l	ɰ	0.212
l	-	0.106
lʲ	-	0.421
lʲ	ɰ	0.259
lʲ	ʤ	0.128
lʲ	l	0.064
lʲ	n	0.062
lʲ	o	0.06
lʲ_ãː	a	1.0
lʲ_i	ʤ	0.271
lʲ_ʊ̃ː	o	1.0
lʲ_ˈɪ	ˈe	0.521
m	m	0.82
m	-	0.124
m	ŋ	0.051
n	n	0.603
n	ŋ	0.239
n	-	0.084
n	ɲ	0.072
n_d	ɲ	1.0
n_i	ɲ	1.0
n_ʊ̃ː	ŋ	1.0
o	o	0.521
oː	o	0.598
oː	i	0.236
oː	ˈo	0.081
oː	-	0.058
oː	j	0.055
p	p	0.778
p	v	0.123
p	-	0.085
p_t	t	1.0
r	r	0.941
s	s	0.775
s	-	0.125
s	z	0.089
s_#>	#>	1.0
t	t	0.579
t	-	0.257
t	s	0.07
t	d	0.06
t_e	s	0.521
t_i	s	0.344
t_i	z	0.179
tʰ	d	0.271
u	r	0.574
u	-	0.299
uː	-	0.517
uː	o	0.204
uː	ˈu	0.133
w	v	0.846
w	-	0.104
ŋ	ŋ	0.814
ŋ	-	0.129
ŋ	n	0.061
ɔ	o	0.741
ɔ	ˈɔ	0.105
ɔ	e	0.085
ɔ	-	0.058
ɛ	e	0.631
ɛ	a	0.199
ɛ_#>	#>	1.0
ɛ_r	r	1.0
ɛ̃	e	0.521
ɛ̃ː	e	0.777
ɛ̃ː	o	0.112
ɛ̃ː	a	0.107
ɛ̃ː_#>	#>	1.0
ɡ	z	0.455
ɡ	ɡ	0.221
ɡ	-	0.215
ɡ	ʤ	0.089
ɡʷ	ɡ_w	0.66
ɡʷ	ɡ	0.179
ɪ	e	0.39
ɪ	-	0.337
ɪ	ˈe	0.106
ɪ	o	0.093
ɪ̃	e	0.521
ɫ	ɰ	0.429
ɫ	-	0.253
ɫ	l	0.17
ɫ	j	0.14
ɫ_ˈɛ	ˈɛ	1.0
ʊ	o	0.765
ʊ	-	0.217
ʊ_ɫ	j	1.0
ʊ̃ː	o	0.864
ʊ̃ː	-	0.109
ˈa	ˈa	0.942
ˈa	-	0.057
ˈae̯	j	0.271
ˈau̯	ˈɔ	1.0
ˈaː	ˈa	0.958
ˈe	ˈi	0.271
ˈeː	ˈe	0.64
ˈeː	ˈɛ	0.2
ˈeː	e	0.085
ˈeː	ˈa	0.07
ˈi	ˈi	1.0
ˈiː	ˈi	0.769
ˈiː	-	0.135
ˈiː	i	0.05
ˈiː_lʲ	ˈi	1.0
ˈĩː	ˈi	0.271
ˈo	ˈɔ	0.454
ˈo	-	0.064
ˈoe̯	ˈe	0.271
ˈoː	ˈo	0.602
ˈoː	ˈu	0.252
ˈoː	-	0.073
ˈoː	ˈɔ	0.071
ˈu	ˈo	0.784
ˈu	ˈɔ	0.14
ˈuː	ˈu	0.734
ˈuː	ˈi	0.121
ˈuː	ˈo	0.06
ˈuː	ˈɔ	0.06
ˈyː	ˈi	1.0
ˈɔ	ˈɔ	0.663
ˈɔ	ˈo	0.317
ˈɔ_lʲ	ˈɔ	0.141
ˈɛ	ˈɛ	0.519
ˈɛ	ˈe	0.267
ˈɛ	ˈi	0.079
ˈɛ	j_ˈɛ	0.062
ˈɛ	j_ˈe	0.055
ˈɛ_lʲ	ˈɛ	1.0
ˈɛ̃ː	ˈi	0.521
ˈɪ	ˈe	0.707
ˈɪ	-	0.141
ˈɪ	ˈa	0.081
ˈɪ	ˈɛ	0.069
ˈɪ_lʲ	ˈe	1.0
ˈɪ_p	ˈe	0.271
ˈɪ_ɡ	ˈe	1.0
ˈʊ	ˈo	0.717
ˈʊ	ˈu	0.157
ˈʊ	ˈɔ	0.116
