Swabian	Old West Norse	probability
ˈɔə̯	ˈɔː	1.0
ˈɔe̯	ˈɛi̯	1.0
ˈɔ	ˈy	1.0
ˈuː	ˈoː	1.0
ˈu_f	pː	1.0
ˈoː_n	n	1.0
ˈiː	-	1.0
ˈi_ʌ	ˈeː_r̥	1.0
ˈeə̯	-	1.0
ʕ_ʦ	r_t	1.0
ʕ	r	1.0
ʃ_d	s_t	1.0
ŋ_ɡ	kː	1.0
ç	k	1.0
x_d	tː	1.0
x	-	1.0
t	ð	1.0
s_a	t_ɑ	1.0
n_ʃ	c	1.0
l_e	lː	1.0
i	u_ŋ	1.0
eə̯	ɑː	1.0
b̥͡f	pʰ	1.0
b_ʌ	v_r̥	1.0
ʁ	r	0.91
h	h	0.878
m	m	0.84
l	l	0.807
ʋ	v	0.791
ˈa	ˈɑ	0.758
ˈuə̯	ˈoː	0.75
kʰ	kʰ	0.714
ˈo	ˈu	0.704
ˈəi̯	ˈiː	0.673
n	n	0.664
b	b	0.661
ˈe	ˈi	0.657
f	f	0.63
a	ɑ	0.614
s	s	0.601
ˈiə̯	j_ˈuː	0.6
ʃ	s	0.544
ˈao̯	ˈuː	0.539
ŋ	ŋ_ɡ	0.53
ˈɔː	-	0.51
ʦ	tʰ	0.505
ˈaː	ˈɑ	0.503
ˈɛː	ˈe	0.5
ˈɛː	j_ˈɔ	0.5
ˈeː	-	0.491
ˈɔː	ˈɑː	0.49
ˈae̯	-	0.469
ˈi	ˈi	0.43
ˈiə̯	ˈøː	0.4
d	d	0.387
d	ð	0.363
ˈoː	-	0.362
ˈɪ	s	0.359
ˈɪ	-	0.359
ɡ	ɣ	0.357
s	t	0.353
ˈe	ˈe	0.343
ˈu	ˈy	0.333
ˈu	ˈoː	0.333
ˈu	ˈo	0.333
ˈəi̯	ˈyː	0.327
ˈae̯	ˈiː	0.304
ŋ	ŋ_ɟ	0.3
ˈeː	ˈɑː	0.298
ˈi	ˈy	0.287
kʰ	cʰ	0.286
ˈoː	ˈɑu̯	0.285
ˈi	-	0.283
ˈɪ	ˈi	0.282
b	v	0.274
ʦ	tː	0.264
ˈoː	ˈo	0.259
ʃ	s_c	0.256
ˈaː	ˈɑː	0.252
ˈuə̯	ˈøː	0.25
ˈaː	ˈɔ	0.245
ˈɛ	ˈe	0.241
f	p	0.234
ˈao̯	-	0.232
ʦ	t	0.231
ˈao̯	ˈɑu̯	0.229
ˈae̯	ˈɛː	0.227
ˈeː	ˈe	0.211
d	θ	0.211
ˈɛ	ˈɛ	0.2
ʃ	s_k	0.2
n	nː	0.183
ŋ	ŋ	0.169
ʌ	r	0.166
ʌ	i_r	0.166
ˈɛ	ˈɑ	0.164
ˈo	ˈo	0.162
ʌ	r̥ː	0.161
ˈɛ	-	0.16
m	mː	0.16
ɡ	ɡ	0.155
ˈɛ	ˈi	0.154
ʌ	r_i	0.154
ɡ	-	0.15
n	-	0.141
a	a	0.14
l	lː	0.136
f	v	0.136
ˈo	-	0.134
ʌ	i_r̥	0.124
h	ç	0.122
ʌ	r̥	0.119
ʋ	-	0.119
ɡ	ɟ	0.118
a	n	0.11
ˈoː	ˈɒu̯	0.094
ʁ	-	0.09
ʋ	x_w	0.089
ˈa	ˈa	0.084
a	j_ɑ	0.083
ˈɛ	j_ˈɑ	0.082
ʌ	ɡ_r̥	0.082
ɡ	ɟː	0.07
b	v_r̥	0.065
l	l̥	0.057
a	j	0.054
ˈa	ˈɛ	0.053
ˈa	ˈɑː	0.053
ˈa	ˈɔ	0.052
ɡ	ʝː	0.052
