Ladin	Ligurian	probability
ˈɛ_n	ˈe_ŋ	1.0
ˈɛ_l	ˈe_l	1.0
ˈɛ_k	ɡ_u	1.0
ˈɛ_f	v_u	1.0
ˈo_w	ˈuː	1.0
ˈo_s	w_ˈiː	1.0
ˈe_l	ˈeː	1.0
ˈe_j	ˈe	1.0
ʦ	s	1.0
ʤ	z	1.0
ʒ_ɡ	ʒ	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɛ	ˈø	1.0
v	v	1.0
s_e	s_e	1.0
r_ˈe	r_ˈe	1.0
r_n	r_n	1.0
r_e	ˈɛː	1.0
r_a	a	1.0
p_l	ʧ	1.0
p	p	1.0
o_r	w	1.0
o_d	ɥ	1.0
n_ˈe	n_ˈu	1.0
m	m	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈeː	1.0
i	i	1.0
f_l	ʃ	1.0
e_r	r_u	1.0
b	b	1.0
t	t	0.962
a	a	0.871
s	s	0.834
ˈa	ˈa	0.775
r	r	0.774
f	f	0.764
k	k	0.755
ˈe	ˈe	0.746
n	ŋ	0.719
ʨ	k	0.712
ɡ	ɡ	0.667
o	u	0.648
ʥ	-	0.643
d_l	ʤ_u	0.615
ˈo	ˈu	0.607
ʒ	z	0.591
e	e	0.582
u	y	0.579
d	-	0.573
l	l	0.566
ˈu	ˈy	0.561
ʧ	-	0.558
ˈi	ˈi	0.547
ˈa_w	ˈaː	0.506
ˈa_w	ˈɔː	0.494
w	ˈøː	0.471
ʧ	s	0.442
ˈu	ˈyː	0.439
j	j	0.428
u	ɔː	0.421
ʒ	ʒ	0.409
d_l	ʤ	0.385
ʃ	s	0.381
w	-	0.374
ˈɔ	ˈɔː	0.363
ʥ	ʤ	0.357
o	w	0.352
ɡ	ɡ_w	0.333
ʃ	ʃ	0.313
ˈɔ	ˈu	0.308
ʃ	ʒ_e	0.306
n	n	0.281
ˈɛ	ˈaː	0.262
l	-	0.248
ˈo	ˈuː	0.241
ˈɔ	ˈɔ	0.24
ˈi	ˈiː	0.228
ʨ	s	0.226
r	-	0.226
d	t	0.226
d	d	0.201
ˈɛ	ˈɛː	0.195
ˈe	ˈɛː	0.195
ˈi	-	0.17
ˈa	ˈaː	0.165
k	k_w	0.162
e	j	0.158
w	ˈɔː	0.154
ˈo	-	0.152
j	ˈeː	0.15
j	ʤ	0.148
ˈɛ	ˈe	0.139
f	v_e	0.137
e	i	0.112
j	i_ɡ	0.108
ˈɛ	u	0.103
f	-	0.1
s	-	0.098
ˈɛ	ˈɛ	0.097
l	ʤ	0.095
j	-	0.095
a	-	0.093
ˈɛ	ˈeː	0.092
l	r	0.091
ˈɔ	ˈøː	0.089
e	-	0.087
k	ɡ_u	0.083
ˈɛ	w	0.071
j	ʤ_u	0.071
s	z	0.069
ʨ	-	0.062
ˈa	ˈɛː	0.061
e	u	0.061
ˈe	-	0.06
ˈi	ˈi_ʤ	0.055
