Belarusian	Belarusian	probability
ˈ_ʦʲ	ˈ_ɛ	1.0
ˈ_#>	#>	1.0
ʦ	ʦ	1.0
ʤ̥	d̥	1.0
ʣʲ_i	ɟ	1.0
ʣʲ	d	1.0
ʐ̊	ʒ̊	1.0
ʐ	ʒ	1.0
ʌ_ɫ	l	1.0
ʌ	-	1.0
ʉ	u	1.0
ʂ	ʃ	1.0
ɫ_ɨ_#>	ɫ_#>	1.0
ɫ	ɫ	1.0
ɣʲ	ɡ̊	1.0
ɣ_a	ɡ_o	1.0
ɣ	ɡ	1.0
ɛ	ɛ	1.0
æ	ɛ	1.0
z̥	z̥	1.0
z	z	1.0
vʲ	v	1.0
v_ɨ	f	1.0
v_a	v_a	1.0
v	v	1.0
t_ɨ	t	1.0
t	t	1.0
s	s	1.0
r_ɨ	a_r	1.0
r_a	r_ɛ	1.0
r_#>	r_#>	1.0
pʲ	p	1.0
p	p	1.0
o_ˈ	ˈ	1.0
n_ɨ_#>	n_#>	1.0
n	n	1.0
mʲ	m	1.0
m_#>	m_#>	1.0
m	m	1.0
kʲ_i	o_k	1.0
k	k	1.0
j_æ	j_a	1.0
j	j	1.0
i_ˈ	i	1.0
e_ˈ	ɛ	1.0
d̥ʲ	d	1.0
d̥	d̥	1.0
d_o	d_o	1.0
d	d	1.0
b̥	b̥	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ	a	1.0
a_ʦʲ	t	1.0
a_r	r_a	1.0
a_#>	o_#>	1.0
<#_ʦʲ	<#_t	1.0
<#_v_o	<#_o	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_ɫ	1.0
ˈ	ˈ	0.909
nʲ	n	0.857
sʲ	s	0.818
ʧ	ʧ	0.8
ɨ_ˈ	i_ˈ	0.8
e	ɛ	0.792
lʲ	l	0.769
i	i	0.75
zʲ	z	0.714
o	o	0.677
ɨ	-	0.667
xʲ_i	f	0.667
ɵ	ɛ	0.6
#>	a_#>	0.6
ʦʲ	t	0.583
w	ɫ	0.5
a	a	0.5
r	r	0.474
ɵ	r̩	0.4
x	-	0.4
#>	ɛ_#>	0.4
u	a	0.385
ɨ	i_ˈ	0.333
xʲ_i	x	0.333
u	u	0.308
x	ɡ̊	0.3
x	v	0.3
zʲ	ʣ	0.286
ʦʲ	-	0.25
w	f	0.25
w	-	0.25
i	-	0.25
lʲ	ɫ	0.231
a	ɛ	0.225
r	-	0.211
ʧ	c	0.2
ɨ_ˈ	i	0.2
sʲ	s_k	0.182
a	o	0.175
ʦʲ	ɛ	0.167
r	r̩	0.158
u	u_ˈ	0.154
u	a_ˈ	0.154
nʲ	ɲ	0.143
o	a	0.129
e	-	0.125
r	r_ɛ	0.105
o	ɔ	0.097
o	-	0.097
ˈ	-	0.091
e	r̩	0.083
r	ɾ	0.053
