Slovak	Macedonian	probability
#>	a_#>	1.0
<#_b	<#_b	1.0
<#_c	<#_t	1.0
<#_d	<#_d	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_x	<#	1.0
<#_z	<#_z	1.0
<#_ɟ	<#_d	1.0
<#_ɦ	<#_ɡ	1.0
<#_ɲ	<#_n	1.0
<#_ʋ	<#_v	1.0
<#_ʒ	<#_ʒ	1.0
<#_ˈɔ	<#_ˈo	1.0
a_#>	a	1.0
a_c	ɛ	1.0
b	b	1.0
d	d	1.0
d_ɫ	ɫ	1.0
i	i	1.0
k	k	1.0
k_#>	k_#>	1.0
k_iː	o_k	1.0
l_ɛ	l_ɛ	1.0
m	m	1.0
n	n	1.0
n_iː	n	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t	t	1.0
t_#>	t	1.0
x	-	1.0
x_#>	k_#>	1.0
z	z	1.0
ɔ_#>	o	1.0
ɛ	ɛ	1.0
ɛ_#>	ɛ	1.0
ɛ_m	u_m	1.0
ɟ	d	1.0
ɦ	ɡ	1.0
ɪ̯ˈɛ	ˈɛ	1.0
ɫ	ɫ	1.0
ɫ_#>	ɫ_#>	1.0
ɲ_#>	n_#>	1.0
ʃ	ʃ	1.0
ʊ̯ˈɔ	ˈo	1.0
ʋ	v	1.0
ʋ_#>	f	1.0
ʎ	l	1.0
ʎ_#>	ɫ_#>	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈi	ˈi	1.0
ˈr̩	ˈr̩	1.0
ˈuː	ˈu	1.0
ˈæ	ˈɛ	1.0
ˈɔ	ˈo	1.0
ˈɛ	ˈɛ	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_ɫ	ˈɛ_ɫ	1.0
ˈɫ̩	ˈo_ɫ	1.0
c_#>	ɛ_#>	0.364
iː	-	0.714
l	l	0.4
ˈa	ˈa	0.824
ˈu	ˈu	0.4
<#_j	<#	0.5
<#_j	<#_j	0.5
ɔ	o	0.5
ɔ	ɛ	0.5
c_#>	t	0.636
iː	f	0.286
l	ɫ	0.6
ˈa	ˈɛ	0.176
ˈu	ˈa	0.6
