Bulgarian	Slovenian	probability
b	b	1.0
d	d	1.0
f	-	1.0
j	t	1.0
k	k	1.0
l	l	1.0
lʲ	l	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
r	r	1.0
s	s	1.0
v	ʋ	1.0
vʲ	-	1.0
x	x	1.0
z	z	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	úː	1.0
t	t	0.971
ɛ	ə	0.271
ˈa	éː	0.061
ˈa	èː	0.191
ˈɔ	o	0.051
ˈɔ	ɔ́	0.111
ˈɔ	òː	0.131
ˈɤ	óː	0.231
ˈɤ	ɔ́ː	0.251
i	i	0.302
o	ɔ̀ː	0.32
ɛ	ɛ̀ː	0.312
ˈa	áː	0.13
ˈi	i	0.203
ˈɤ	ə́	0.453
ɐ	t_i	0.074
ɛ	èː	0.104
ɛ	ɛ	0.124
ˈa	àː	0.124
ˈɛ	e	0.114
ˈɛ	ɛ	0.254
ˈɛ	éː	0.294
o	óː	0.055
ɐ	a	0.215
ɫ	w	0.435
ɫ	l	0.565
ˈi	íː	0.25
ˈɤ	ʋ_#>	0.065
ɐ	i	0.086
ɐ	ə	0.436
ˈa	a	0.356
o	o	0.057
ˈa	ʋ_éː	0.07
ˈɛ	èː	0.337
i	ìː	0.698
o	ɔ	0.568
ˈa	á	0.068
ˈi	ìː	0.548
ɐ	-	0.149
ɛ	éː	0.189
ɡ	ɡ	0.989
ˈɔ	ɔ̀ː	0.059
ˈɔ	óː	0.649
