Kashubian	Upper Sorbian	probability
b	b	1.0
e	ɛ	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
r	ʀ	1.0
t	t	1.0
u̯ɛ	ɔ	1.0
x	x	1.0
z	z	1.0
ə	i	1.0
ɲ	ɲ	1.0
ʐ	ʀʲ	1.0
ʒ	ʒ	1.0
ʣ	ʤ	1.0
ʤ	ɦ	1.0
ˈi	ˈi	1.0
ˈõ	ˈu	1.0
ˈu	ˈo	1.0
k	k	0.861
u̯ˈɛ	ɔ	0.21
ʧ	kʲ	0.211
ˈɔ	ˈɔ	0.641
ˈɛ	ˈɛ	0.051
ɛ	ɔ	0.402
ˈe	ˈe	0.462
ˈɞ	ˈɔ	0.242
ˈɞ	ˈa	0.312
a	a	0.903
d	d_ˈɔ	0.223
i	i	0.193
v	ɥ	0.213
ˈa	ˈe	0.913
ʦ	ʦ	0.324
j	j	0.335
j	-	0.665
s	s	0.985
w	-	0.055
w	w	0.945
ɔ	-	0.105
ɔ	ɔ	0.895
ʃ	ʃ	0.985
ˈə	ˈɪ	0.235
ˈə	ˈi	0.765
ʦ	ʧ	0.676
ˈɛ	ˈe	0.66
a	ˈɛ	0.097
d	d	0.777
i	ɪ	0.807
v	β	0.787
ˈa	ˈa	0.087
ˈɛ	e	0.087
ˈɞ	ˈe	0.447
ɛ	ɛ	0.598
ɡ	ɦ	0.988
ˈe	ˈɛ	0.538
ˈɛ	ˈɔ	0.158
k	x	0.139
u̯ˈɛ	ˈɔ	0.79
ʧ	ʧ	0.789
ˈɔ	ˈo	0.359
