Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	¹³	1.0
⁵	²⁴	1.0
⁴⁴	³³	1.0
⁴	²⁴	1.0
ʨ	ʦ	1.0
ʔ_³²	²⁴	1.0
ɪ_k̚	ɤ	1.0
ɪ	ə	1.0
ɤ	o	1.0
ɡ	ŋ	1.0
ɛ	ɥ_e	1.0
ɔ̃	o	1.0
ŋ	n	1.0
³²	²⁴	1.0
²⁴	¹³	1.0
²³	¹³	1.0
²²	²¹	1.0
w̃	æ	1.0
w_e	i	1.0
w_ã	õ	1.0
t̚	-	1.0
pʰ	pʰ	1.0
o_ʔ	o	1.0
o	ɒ	1.0
l_j	l	1.0
l_i	ɤ	1.0
k̚	w	1.0
j̃	a_j	1.0
ĩ	j_ẽ	1.0
h_w	ɸ	1.0
b	m	1.0
ã	n	1.0
a_j	a_j	1.0
<#_ɡ	<#	1.0
<#_l	<#	1.0
<#_h	<#	1.0
⁵³	⁴¹	0.88
n	n	0.818
ŋ̍	a_n	0.778
e	a	0.778
ʦ	ʦ	0.75
¹¹	⁴⁵	0.75
kʰ	kʰ	0.75
m	n	0.714
ɕ	s	0.667
³³	²¹	0.667
tʰ	tʰ	0.667
ɔ	ə	0.625
h	x	0.625
w	w	0.6
p	p	0.583
ʦʰ	ʦʰ	0.571
k	ʨ	0.571
u	y	0.5
t	ʦ	0.5
t	t	0.5
s	ɕ	0.5
s	s	0.5
l	l	0.5
e_ʔ	ɤ	0.5
e_ʔ	e	0.5
j	-	0.467
ʦʰ	ʨʰ	0.429
p	ɸ	0.417
a	ə	0.417
i	i	0.4
ɔ	-	0.375
h	ɸ	0.375
<#	<#_ŋ	0.375
<#	<#_w	0.375
ɕ	ɕ	0.333
tʰ	t	0.333
j	j	0.333
i	z̩	0.3
m	w	0.286
k	k	0.286
ʦ	ʂ	0.25
¹¹	w_⁴⁵	0.25
w	a	0.25
l	nʲ	0.25
l	l̃	0.25
kʰ	ʨʰ	0.25
a	a	0.25
<#	<#_ɕ	0.25
ŋ̍	n	0.222
e	e_j	0.222
³³	⁴⁵	0.2
j	i	0.2
i	ə	0.2
u	ə	0.188
u	u	0.188
n	-	0.182
a	ɒ	0.167
a	-	0.167
w	-	0.15
k	-	0.143
³³	³³	0.133
u	a	0.125
⁵³	w_⁴¹	0.12
i	j	0.1
