Logudorese	Logudorese	probability
ˈɛ_ɾ	e̯ˈa_r	1.0
ˈɛ_n	n	1.0
ˈɔ_ɛ	ˈo_w	1.0
ˈi_ɾ	ˈi_r	1.0
ʣ_a	e	1.0
ʣ	-	1.0
ɾ_ˈɔ	l_o̯ˈa	1.0
ɾ_b	r_b	1.0
ɣ_ɛ	k_ə	1.0
ɣ_u_#>	k_#>	1.0
ɛ̆	-	1.0
ɛ_ɾ	e_r	1.0
ɛ_#>	#>	1.0
ɖː_u_#>	l_#>	1.0
ɖː	l	1.0
ɔ̆_#>	#>	1.0
ɔ_ɾ	r_u	1.0
ɔ_z	nʲ	1.0
ɔ_#>	#>	1.0
ð	t	1.0
z_u_#>	s_#>	1.0
u_z_ŭ_#>	#>	1.0
t_ɔ	ʦʲ	1.0
t_u_#>	t_#>	1.0
s_ˈɛ	ʃ_ˈa	1.0
s_k	ʃ_t	1.0
p_ɾ	p_l	1.0
p	p	1.0
o	u	1.0
nː	n	1.0
n_ˈa	n_ˈa	1.0
n_ʣ	m_n	1.0
n_u_#>	n_#>	1.0
m_ɛ	m_e	1.0
m_b	n_ʧʲ	1.0
m	m	1.0
l_u_#>	r_#>	1.0
l	r	1.0
k_ɾ	k	1.0
k_i	ʧ_e	1.0
j_u	kʲ	1.0
i_ɣ	k	1.0
ă	-	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʒ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_ʧ	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
#>	j_#>	1.0
k	k	0.933
f	f	0.913
u_#>	#>	0.885
ɛ	e	0.848
ˈo	ˈo	0.846
z	-	0.846
s	s	0.844
ˈu	ˈu	0.839
ɾ	r	0.828
n	n	0.818
a	ə	0.764
ˈa	ˈa	0.686
ʦ	-	0.667
<#_b	<#_ʤ	0.667
t	t	0.654
β	p	0.6
r	r	0.6
<#_a	<#_a	0.6
ɔ	u	0.571
ɣ	ʧ	0.545
j	-	0.545
ˈi	ˈi	0.5
ŋ	ŋ	0.5
ŋ	n	0.5
i	i	0.5
<#	<#_z	0.5
<#	<#_j	0.5
b	v	0.462
ɣ	k	0.455
j	j	0.455
ɡ	ɡ	0.444
e	e	0.444
ɔ	-	0.429
d	z	0.429
ˈɔ	o̯ˈa	0.423
b	b	0.423
β	-	0.4
r	r_n	0.4
<#_a	<#	0.4
ˈe	ˈe	0.357
ʦ	ʦ	0.333
ɡ	ʤ	0.333
e	i	0.333
<#_b	<#	0.333
ˈɛ	j_ˈe	0.316
ˈɔ	ˈu	0.308
ˈe	j_ˈe	0.286
d	d	0.286
d	-	0.286
t	p_t	0.269
ˈɛ	ˈe	0.263
u	e	0.25
i	d	0.25
i	-	0.25
ˈi	ˈe	0.225
ɡ	-	0.222
e	-	0.222
ˈe	ˈi	0.214
ˈɛ	ˈi	0.211
u	w	0.208
u	u	0.208
ˈɔ	ˈo	0.192
n	-	0.182
u	ə	0.167
ˈu	ˈo	0.161
ˈa	ˈɨ	0.157
ˈo	ˈu	0.154
z	s	0.154
ˈe	-	0.143
ˈa	-	0.118
u_#>	u_#>	0.115
b	ɡ	0.115
a	e	0.109
ˈɛ	ˈa	0.105
ˈɛ	e_d	0.105
s	ʃ	0.094
f	f_r	0.087
u	l	0.083
u	-	0.083
ɾ	l	0.078
ˈɔ	u	0.077
t	ʦ	0.077
ˈi	ˈə	0.075
ˈi	e̯ˈa	0.075
ˈi	-	0.075
a	-	0.073
k	ʧ	0.067
s	-	0.062
a	a	0.055
ɛ	ˈe	0.051
