French	French	probability
ʁ_ɛ	ɾ_ˈa	1.0
ɲ	ʤ_a	1.0
ɛ_ʁ	ɾ	1.0
œ_ʁ	ˈɔ_ɾ	1.0
œ	ˈɔ	1.0
z	ʒ	1.0
y	ˈu	1.0
t_#>	t_a_#>	1.0
s_ɛ	s_ˈi	1.0
p	p	1.0
m	m	1.0
l_#>	u_#>	1.0
i_ʁ	i	1.0
b	b	1.0
a_#>	#>	1.0
<#_ʁ	<#_a_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_s	1.0
<#_a	<#_ˈa	1.0
<#	<#_ˈa	1.0
f	f	0.917
k	k	0.833
v	b	0.75
a_ʁ	ɾ_i	0.667
ʒ	ʤ	0.647
ɡ	ɡ	0.625
i	ˈi	0.625
n	n_a	0.6
s	s	0.576
d	d	0.538
l	l	0.536
ʃ	k	0.529
ɥ	ˈɔ	0.5
ɥ	-	0.5
œ_f	ˈɔ_i	0.5
œ_f	ˈo_u	0.5
t	t	0.5
e	ˈa_i	0.5
#>	u_#>	0.452
ɛ̃	ˈa_n	0.438
ə	ɛ	0.429
ø	ˈo_ɣ	0.429
a	a	0.424
j	-	0.421
ɡ	ɣ	0.375
ʃ	k_a	0.353
w	ˈi	0.346
ɑ̃	n_t	0.333
o	u	0.333
a_ʁ	i	0.333
ʁ	ɾ	0.322
u	ˈu	0.32
#>	i_#>	0.317
ɛ̃	ˈi_n	0.312
ɔ	ˈɔ	0.3
ɛ	ˈa	0.294
ə	ˈɛ	0.286
ə	-	0.286
ø	u_z	0.286
ø	u	0.286
a	ˈa	0.273
w	ˈɛ	0.269
ɔ̃	ˈɔ_n	0.267
ɔ̃	ˈo_n	0.267
ɑ̃	n	0.267
n	n	0.267
ɛ	ˈɛ	0.265
j	ˈɛ	0.263
ɔ	ˈo	0.25
s	ʧ	0.242
o	ˈɛ_ɖː	0.222
o	s_u	0.222
o	-	0.222
l	ɾ	0.214
ɔ̃	n	0.2
ɔ	o	0.2
u	ˈo	0.2
e	ˈa_ð	0.2
e	i	0.2
#>	a_#>	0.198
t	s_t	0.188
t	-	0.188
a	i	0.182
v	-	0.179
ʒ	d	0.176
ʒ	-	0.176
ɛ	ˈe	0.176
w	ˈu	0.154
w	i	0.154
d	ɾ	0.154
d	i_ɾ	0.154
d	d_ɾ	0.154
ɔ	ɔ	0.15
ɛ	ˈi	0.147
ɔ̃	ˈo	0.133
ɔ̃	-	0.133
ɑ̃	ˈɛ_n	0.133
ɑ̃	ˈe	0.133
ɑ̃	nː_u	0.133
n	nː	0.133
ɛ̃	n_i	0.125
ɛ̃	n	0.125
t	t_ɛ	0.125
i	ˈɛ	0.125
u	ˈɔ	0.12
u	u	0.12
ʁ	ɾ_i	0.119
ʁ	r	0.119
ʁ	i	0.119
ʃ	-	0.118
l	ɖː	0.107
j	ɭː_a	0.105
j	ɭː	0.105
j	i	0.105
ɔ	-	0.1
e	ˈa	0.1
i	t_u	0.094
i	i	0.094
ʁ	ɾ_u	0.085
ʁ	u	0.085
k	k_ɾ	0.083
k	-	0.083
f	f_ɾ	0.083
u	ˈɔ_z	0.08
u	ˈu_ɣ	0.08
u	ɔ	0.08
w	-	0.077
v	β	0.071
l	ɭː	0.071
l	ɖː_a	0.071
i	u	0.062
s	ʦ_a	0.061
s	ʒ	0.061
s	-	0.061
a	ʒ_i	0.061
a	ð_u	0.061
ɛ	ˈa_t	0.059
ɛ	-	0.059
ʁ	-	0.051
