Kashubian	Upper Sorbian	probability
<#	<#_β	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_n	<#_n	1.0
<#_r	<#_ʀ	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɦ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʣ	<#_ʤ	1.0
<#_ʦ	<#_ʧ	1.0
<#_ʧ	<#_ʧ	1.0
b	b	1.0
d	d	1.0
e	ɛ	1.0
f	ɥ	1.0
j	-	1.0
j_ˈa	ˈe	1.0
j_ˈa_ŋ	ˈa	1.0
j_ˈɞ	ˈe	1.0
k	k	1.0
l	l	1.0
l_#>	l_#>	1.0
m_j	mʲ	1.0
m_ə	ˈɔ_m	1.0
n	n	1.0
n_a	n_a	1.0
n_i	n_ɪ	1.0
p_#>	p_#>	1.0
r	ʀ	1.0
s	s	1.0
s_#>	s_#>	1.0
t	t	1.0
t_#>	t_#>	1.0
t_ˈɞ	t_ˈa	1.0
u̯ɛ	ɔ	1.0
v	β	1.0
v_j	ɥ	1.0
x	x	1.0
z	z	1.0
ŋ_ʦ	ʧ	1.0
ɔ_#>	ɔ_#>	1.0
ə	i	1.0
ɛ	ɛ	1.0
ɛ_#>	ɔ	1.0
ɡ	ɦ	1.0
ɲ	ɲ_#>	1.0
ʂ_ˈə	ˈi	1.0
ʃ	ʃ	1.0
ʐ	ʀʲ	1.0
ʣ	ʤ	1.0
ʤ	ɦ	1.0
ʧ	ʧ	1.0
ʧ_i	kʲ_i	1.0
ˈa_#>	ˈa	1.0
ˈi	ˈi	1.0
ˈõ	ˈu	1.0
ˈu	ˈo	1.0
ˈɔ_n	n	1.0
ˈɞ	ˈa	1.0
ˈɞ_w	ˈɔ_w	1.0
k_#>	k_#>	0.571
w	l	0.111
i_#>	i_#>	0.182
u̯ˈɛ	ɔ	0.222
<#_v	<#_β	0.333
a	ˈɛ	0.133
ʦ	ʦ	0.333
ˈa	ˈe	0.333
ˈɛ	ˈa	0.143
ˈɛ	ˈɛ	0.143
ˈɛ	e	0.143
<#_m	<#_mʲ	0.444
ˈe	ˈɛ	0.4
ˈɔ	ˈo	0.364
ˈə	ˈi	0.4
ˈɛ	ˈɔ	0.214
<#_p	<#_pʲ	0.375
<#_p	<#_p	0.625
<#_m	<#_m	0.556
ˈe	ˈe	0.6
ˈɔ	ˈɔ	0.636
ˈə	ˈɪ	0.6
<#_v	<#_ɥ	0.667
a	a_#>	0.867
ʦ	ʧ_#>	0.667
ˈa	-	0.667
ˈɛ	ˈe	0.357
i_#>	ɪ_#>	0.818
u̯ˈɛ	ˈɔ	0.778
k_#>	x_#>	0.429
w	w	0.889
