Cantonese	Cantonese	probability
⁵⁵	³³	1.0
⁵	²⁴	1.0
ʧʰ	ʨʰ	1.0
ʦ	ʦ	1.0
ʃ	ɕ_j	1.0
ɪ	i	1.0
ɥ	-	1.0
ɛː	-	1.0
ɔː_k̚	o	1.0
ɐ_t̚	u	1.0
ɐ_k̚	ɤ	1.0
ɐ_j	i	1.0
ŋ̍	u	1.0
ŋ	n	1.0
¹³	⁴¹	1.0
³⁵	⁴¹	1.0
³³	⁴⁵	1.0
³	²⁴	1.0
²¹	¹³	1.0
²	²⁴	1.0
yː_t̚	e	1.0
w	w	1.0
u	ə	1.0
t̚	-	1.0
t	t	1.0
s_ɛː	ʂ	1.0
pʰ	p	1.0
n_³⁵	⁴¹	1.0
m_ɐ	w_ə	1.0
l	l	1.0
kʷ	k	1.0
kʰ	ʨ	1.0
j_yː	y	1.0
j_iː	ɤ	1.0
e_j	i	1.0
e	e	1.0
aː_k̚	ɤ	1.0
aː	a	1.0
<#_ʧʰ	<#	1.0
<#_ŋ	<#_ŋ	1.0
<#_w	<#	1.0
<#_j_ɐ	<#_i	1.0
<#	<#_ŋ	1.0
ʊ	ə	0.833
p	p	0.833
²²	²¹	0.769
ɵ	y	0.75
ɔː	a	0.75
œː	a	0.667
tʰ	tʰ	0.667
s	s	0.667
o	ɒ	0.667
f	ɸ	0.667
j	j	0.65
uː	-	0.6
k	ʨ	0.6
n	n	0.556
yː	j	0.5
yː	-	0.5
m	n	0.5
m	m	0.5
k̚	w	0.5
iː	z̩	0.5
ɐ	ə	0.471
ʦʰ	ʦʰ	0.444
uː	u	0.4
k	k	0.4
h	x	0.4
ʦʰ	ʦ	0.333
œː	æ	0.333
tʰ	t	0.333
s	ɕ	0.333
o	-	0.333
iː	j_ɒ	0.286
h	kʰ	0.267
n	ẽ	0.259
ɵ	-	0.25
ɔː	o	0.25
k̚	ɤ	0.25
k̚	o	0.25
ɐ	i	0.235
²²	⁴⁵	0.231
ʦʰ	ʨʰ	0.222
iː	j	0.214
h	ʨʰ	0.2
ɐ	j_ə	0.176
ʊ	-	0.167
p	pʰ	0.167
f	x	0.167
f	kʰ	0.167
j	ɥ	0.15
h	ɕ	0.133
ɐ	-	0.118
n	-	0.111
j	ʐ	0.1
j	-	0.1
n	l̃	0.074
