Piedmontese	Emilian	probability
dː	d	1.0
p	p	1.0
y	u	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ˈə	ˈa	1.0
a	-	0.091
f	f	0.961
j	ʧ	0.141
z	ð	0.441
ŋ	ŋ	0.831
ʤ	ð	0.651
ˈa	ˈɛ	0.31
ˈe	ˈɛ	0.461
ˈi	ˈiː	0.1
ˈɔ	ˈo	0.151
i	e	0.062
i	-	0.372
u	-	0.122
ˈi	ˈa	0.092
ˈu	ˈɔ	0.122
ˈu	ˈʌu̯	0.232
ˈø	ˈɔː	0.282
ˈɔ	ˈɔː	0.432
ˈɛ	ˈɛː	0.102
k	ɡ	0.073
l	-	0.053
r	r	0.923
s	z	0.13
t	t	0.903
u	ˈɔ	0.123
ŋ	n	0.113
ˈi	ˈe	0.633
ˈu	ˈɛ	0.063
ˈø	ˈo	0.093
ˈø	ˈuː	0.133
ˈɔ	ˈɛ	0.053
ˈɛ	ˈɛ	0.3
w	u	0.114
ʤ	ʤ	0.254
ʧ	θ	0.334
ˈe	ˈa	0.244
a	a	0.885
b	b	0.985
w	l	0.395
w	w	0.475
ˈi	-	0.105
ˈy	ˈo	0.685
i	i	0.566
j	-	0.236
u	o	0.056
ʧ	ʧ	0.666
ˈu	ˈo	0.116
ˈy	ˈuː	0.266
ˈɔ	ˈʌ	0.066
ˈɔ	ˈɔ	0.216
ˈɛ	ˈæ	0.276
d	d	0.917
e	-	0.237
e	e	0.57
l	l	0.947
s	θ	0.247
s	s	0.597
t	d	0.097
u	ɲ	0.077
v	v	0.887
ə	ˈa	0.157
ə	-	0.217
ə	a	0.577
ˈa	ˈaː	0.357
ˈø	ˈɔ	0.207
e	ˈiː	0.18
k	k	0.898
m	m	0.948
n	ŋ	0.238
u	u	0.578
ˈu	ˈaː	0.088
ˈø	ˈʌu̯	0.058
j	j	0.579
n	n	0.759
z	z	0.559
ʤ	θ	0.079
ˈa	ˈa	0.329
ˈe	ˈe	0.119
ˈu	ˈʌ	0.309
ˈø	u	0.189
ˈɛ	ˈa	0.199
