Westphalian	Westphalian	probability
ˈɪ	ˈɪ	1.0
ˈɛː	-	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɒː_z	1.0
ˈœː	-	1.0
ˈø	ˈʏ	1.0
ˈyːœ̯	ˈoː	1.0
ˈyə̯	ˈœ	1.0
ˈuː	ˈuː	1.0
ˈuə̯	-	1.0
ˈiː	ˈiː	1.0
ˈiɛ̯	-	1.0
ˈaɪ̯	ˈɛɪ̯	1.0
ʃ_k	ʃ	1.0
ɪ	ɪ	1.0
ɣ	ɣ	1.0
ə	ə	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z_n	z_n	1.0
z	z	1.0
v̥	v̥	1.0
v_#>	f_#>	1.0
v	v	1.0
t_ʋ	t_v	1.0
t_n	t_n	1.0
t	t	1.0
s_#>	s_#>	1.0
r	r	1.0
p	p	1.0
n_t	n_t	1.0
n_n	n_n	1.0
n_#>	#>	1.0
n	n	1.0
l	l	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_n	n	1.0
d	d	1.0
b	b	1.0
aɪ̯	ɒː	1.0
<#_n	<#_n	1.0
ˈeː	ˈɛɪ̯	0.9
d̥	d̥	0.897
ˈa	ˈa	0.893
m	m	0.893
ˈɔː	ˈɒː	0.833
ˈaʊ̯	ˈeo̯	0.833
s	z	0.824
ˈoː	ˈaʊ̯	0.778
ç	ç	0.778
ˈøː	ˈɔʏ̯	0.75
ˈʏ	ˈʏ	0.667
ˈʊ	ˈʊ	0.667
ˈɛ	ˈɛ	0.615
ˈɪə̯	ˈeː	0.6
ˈyː	ˈyː	0.6
ˈaː	ˈɒː	0.6
ʃ	s	0.55
ˈuːə̯	ˈɔ	0.5
ˈuːə̯	ˈoː	0.5
ʋ	w	0.5
ʋ	f	0.5
ʃ	ʃ	0.45
ɡ	j	0.429
x	ɣ	0.421
ˈɪə̯	-	0.4
ˈyː	-	0.4
ˈaː	ˈaː	0.4
x	x	0.368
ˈɪɛ̯	ˈɛː	0.364
ˈʏ	-	0.333
ɡ	ɡ	0.286
ɡ	-	0.286
ˈɪɛ̯	ˈeː	0.273
ˈøː	-	0.25
ˈɛ	ˈɪ	0.231
ˈoː	-	0.222
ç	ɣ_ə	0.222
ˈʊ	ˈuː	0.2
ˈɪɛ̯	ˈɛ	0.182
ˈɪɛ̯	-	0.182
s	s	0.176
ˈɔː	-	0.167
ˈaʊ̯	ˈaʊ̯	0.167
x	j	0.158
ˈɛ	-	0.154
ˈʊ	-	0.133
m	ɐ_m	0.107
d̥	-	0.103
ˈeː	ˈaɪ̯	0.1
ˈa	-	0.071
x	ɣ̊	0.053
