East Low German	Swabian	probability
b	b	0.892
b	-	0.056
b	f	0.056
d	d	0.961
d	-	0.039
f	f	0.85
f	b	0.146
h	h	1.0
j	ɡ	0.662
j	j	0.316
k	ɡ	0.383
k	-	0.228
k	ç	0.199
k	x	0.169
kʰ	kʰ	1.0
l	l	1.0
m	m	0.767
m	a	0.104
m	b_a	0.05
m	n	0.045
m	-	0.039
n	n	0.505
n	a	0.259
n	-	0.175
n	ʁ_a	0.037
p	f	0.66
p	b̥͡f	0.141
p	b̥	0.096
p	p͡f	0.076
r	ʁ	1.0
s	s	0.687
s	ʃ	0.304
t	d	0.509
t	s	0.272
t	ʦ	0.078
t	t	0.061
t	ʕ_ʦ	0.056
tʰ	ʦ	0.907
tʰ	d	0.077
v	ʋ	0.929
v	b	0.071
w	ʋ	1.0
x	x	0.656
x	ɡ	0.337
z	s	1.0
æ	ʌ	0.632
æ	-	0.339
æ	ˈiː	0.037
ç	ɡ	0.558
ç	ç	0.218
ç	-	0.171
ç	x	0.053
ŋ	ŋ	0.801
ŋ	ɡ_a	0.198
ɡ	ɡ	1.0
ɣ	-	0.491
ɪ	-	0.37
ɪ	ɪ	0.24
ɪ	i	0.182
ɾ	d	0.944
ɾ	s	0.053
ʃ	ʃ	1.0
ˈa	ˈa	0.79
ˈa	ˈaː	0.075
ˈa	ˈɛ	0.067
ˈa	ˈɔː	0.058
ˈae̯	ˈɔe̯	0.389
ˈae̯	ˈiə̯	0.161
ˈae̯	ˈae̯	0.137
ˈae̯	ˈeː	0.119
ˈae̯	ˈeə̯	0.09
ˈae̯_n	ˈɔe̯	0.491
ˈaɪ̯	ˈiː	0.241
ˈaʊ̯	ˈuə̯	0.306
ˈaʊ̯	ˈoː	0.249
ˈaʊ̯	ˈao̯	0.196
ˈaʊ̯	ˈuː	0.06
ˈaʊ̯	ˈa	0.06
ˈaː	ˈa_ʕ	0.456
ˈaː	ˈaː	0.186
ˈaː	ˈe	0.165
ˈaː	ˈʌ	0.107
ˈeː	ˈeː	0.491
ˈiː	ˈəi̯	0.59
ˈiː	ˈɛ	0.165
ˈiː	ˈi	0.144
ˈiː	ˈʌ	0.054
ˈiː	-	0.052
ˈoː	ˈɔː	0.453
ˈoː	ˈɛː	0.047
ˈuː	ˈao̯	0.697
ˈuː	ˈoː	0.1
ˈuː	ˈae̯	0.078
ˈuː	ˈo	0.078
ˈuː	ˈuː	0.047
ˈuː_æ	ˈɔ	1.0
ˈyː	ˈəi̯	0.675
ˈyː	ˈeː	0.304
ˈøː	ˈɔ	0.324
ˈøː	ˈeː	0.324
ˈœ	ˈao̯	0.316
ˈœ	ˈe	0.205
ˈœː	ˈao̯	0.322
ˈœː	ˈi	0.322
ˈœː	ˈiː	0.111
ˈœː	ˈoː	0.111
ˈɒː	ˈaː	0.232
ˈɒː	ˈa	0.202
ˈɒː	ˈoː	0.202
ˈɒː	ˈɔː	0.197
ˈɒː	ˈo	0.068
ˈɔ	ˈo	0.252
ˈɔ	ˈɔ	0.225
ˈɔ	ˈa	0.22
ˈɔ	ˈu	0.166
ˈɔ	ˈoː	0.091
ˈɔʏ̯	ˈiː	0.202
ˈɔʏ̯	ˈeə̯	0.202
ˈɔʏ̯	ˈeː	0.202
ˈɔʏ̯	ˈiə̯	0.172
ˈɔʏ̯	ˈae̯	0.137
ˈɛ	ˈɛ	0.3
ˈɛ	ˈɛː	0.205
ˈɛ	ˈaː	0.102
ˈɛ	ˈeə̯	0.102
ˈɛ	ˈeː	0.08
ˈɛɪ̯	ˈɛː	1.0
ˈɛː	ˈɛ	0.261
ˈɛː	ˈae̯	0.138
ˈɛː	ˈaː	0.133
ˈɛː	ˈɔː	0.128
ˈɛː	ˈɛː	0.128
ˈɪ	ˈi	0.364
ˈɪ	ˈɪ	0.231
ˈɪ	ˈe	0.144
ˈɪ	ˈəi̯	0.107
ˈɪ	ˈa	0.061
ˈʊ	ˈo	0.808
ˈʊ	ˈao̯	0.107
ˈʊ	ˈu	0.08
ˈʏ	ˈu	0.416
ˈʏ	ˈae̯	0.239
ˈʏ	ˈɛ	0.239
ˈʏ	ˈɪ	0.065
