Corsican	Romanian	probability
b	b	1.0
c	k	1.0
f	f	1.0
kː	k	1.0
nː	n	1.0
o	u	1.0
p	p	1.0
tː	p_t	1.0
w	-	1.0
ŋ	n	1.0
ɡ	ɡ	1.0
ɲ	j	1.0
ʃ	s	1.0
ʎ	-	1.0
ˈi	ˈi	1.0
a	ə	0.681
k	k	0.931
u	ə	0.101
u	u	0.171
ɟ	ɡ	0.271
ˈɔ	ˈo	0.331
ˈɔ	ˈu	0.401
ˈɛ	ˈe	0.271
ˈɛ	ˈi	0.341
d	d	0.892
e	e_r	0.062
i	e	0.242
j	-	0.212
j	l	0.662
l	r	0.282
r	r	0.862
t	t	0.812
u	-	0.482
v	w	0.102
v	-	0.392
ˈa	ˈa_r	0.162
ˈa	ˈa	0.472
ˈe	e	0.222
a	e	0.153
e	r_e	0.093
e	-	0.133
e	ə	0.143
n	n	0.883
t	-	0.103
ʧ	-	0.153
lː	-	0.724
ˈu	ˈo	0.104
a	a	0.075
i	ə	0.155
j	w	0.125
s	ʃ	0.105
s	s	0.895
t	ʦ	0.085
ˈo	ˈu	0.645
ˈɛ	-	0.085
ˈɛ	e̯ˈa	0.125
i	-	0.256
lː	r	0.276
v	v	0.506
ˈa	ˈɨ	0.366
ˈo	ˈo	0.296
ˈu	ˈu	0.896
i	i	0.347
m	m	0.967
n	-	0.117
u	e	0.207
ʧ	ʧ	0.847
ˈɔ	o̯ˈa	0.267
ˈɛ	j_ˈe	0.07
ˈɛ	e	0.107
d	z	0.108
l	l	0.718
r	-	0.098
a	-	0.079
e	e	0.569
k	-	0.069
ɟ	ʤ	0.689
ˈe	j_ˈe	0.349
ˈe	ˈe	0.429
ˈo	o̯ˈa	0.059
