German	Pennsylvania German	probability
a	ə	1.0
b	b	0.73
b	v	0.24
b̥	b̥	0.947
b̥	-	0.053
d	d	0.898
d	-	0.074
d̥	d̥	0.973
eː	eː	1.0
f	f	1.0
h	h	0.958
j	j	1.0
k	k	0.963
kʰ	kʰ	0.944
l	l	0.995
m	m	0.983
n	n	0.639
n	ə	0.358
p	p	1.0
p͡f	pʰ	0.44
p͡f	p	0.269
p͡f	p͡f	0.188
p͡f	b	0.103
s	s	0.783
s	ʃ	0.217
t	d̥	0.405
t	t	0.327
t	d	0.23
tʰ	d	1.0
v	ʋ	0.885
v	v	0.065
x	x	1.0
z	s	1.0
ç	ç	0.95
ç	k	0.05
ŋ	ŋ	1.0
ɐ	ɑ	0.765
ɐ	-	0.134
ɐ	ɾ_ɪ	0.051
ə	ə	0.813
ə	ɑ	0.163
ɡ	ɡ	0.606
ɡ	j	0.165
ɡ	ɣ	0.16
ɡ	-	0.054
ɡ̊	ɡ̊	0.943
ɡ̊	ç	0.057
ɪ	ɪ	1.0
ʁ	ɾ	0.956
ʃ	ʃ	1.0
ʦ	ʦ	0.95
ʦ	s	0.05
ˈa	ˈa	0.838
ˈa	ˈaː	0.072
ˈa	ˈɔː	0.066
ˈaɪ̯	ˈeː	0.497
ˈaɪ̯	ˈaɪ̯	0.473
ˈaʊ̯	ˈaʊ̯	0.549
ˈaʊ̯	ˈɔː	0.361
ˈaʊ̯	ˈʊ	0.065
ˈaː	ˈɔː	0.67
ˈaː	ˈoː	0.144
ˈaː	ˈa	0.14
ˈeː	ˈeː	0.593
ˈeː	ˈɛ	0.258
ˈeː	ˈiː	0.088
ˈeː	ˈɛː	0.06
ˈiː	ˈiː	0.797
ˈiː	ˈɛ	0.092
ˈiː	ˈaɪ̯	0.057
ˈiː	ˈɪ	0.054
ˈoː	ˈoː	0.832
ˈoː	ˈɔ	0.093
ˈoː	ˈʊ	0.075
ˈuː	ˈuː	0.84
ˈuː	ˈʊ	0.16
ˈyː	ˈiː	0.838
ˈyː	ˈɛ	0.099
ˈyː	ˈɪ	0.063
ˈøː	ˈeː	1.0
ˈœ	ˈɛ	1.0
ˈɔ	ˈɔ	0.429
ˈɔ	ˈʊ	0.29
ˈɔ	ˈaː	0.143
ˈɔ	ˈa	0.085
ˈɔʏ̯	ˈaɪ̯	0.812
ˈɔʏ̯	ˈɔː	0.188
ˈɛ	ˈɛ	0.731
ˈɛ	ˈɛː	0.231
ˈɛː	ˈɛː	1.0
ˈɪ	ˈɪ	0.921
ˈʊ	ˈʊ	0.825
ˈʊ	ˈaː	0.175
ˈʏ	ˈɪ	0.902
ˈʏ	ˈʊ	0.068
