Mecklenburgisch-Vorpommersch	Old English	probability
ˈʊ_n	ˈuː	1.0
ˈʊ	ˈu	1.0
ˈɪ_ç	ˈeːo̯_x	1.0
ˈɛɪ̯	ˈiːy̯	1.0
ˈɛ_b	bː	1.0
ˈœ	-	1.0
ˈøː	ˈy	1.0
ˈoː_æ	r	1.0
ˈoː	ˈæːɑ̯	1.0
ˈeː	-	1.0
ʃ_l	s_l	1.0
ɪ	i	1.0
ɣ	ɣ_o	1.0
ɡ̊	-	1.0
z	s	1.0
w	w	1.0
v̥	v	1.0
pʰ	-	1.0
n_t	n_t	1.0
j	j	1.0
f	f	1.0
ae̯	iːy̯	1.0
b	b	0.922
d̥	d	0.908
r	r	0.901
h	h	0.886
v	w	0.859
m	m	0.848
ˈɪ	ˈi	0.836
p	p	0.836
d	θ	0.799
s	s	0.797
t	t	0.725
ˈɛ	ˈe	0.698
k	k	0.66
ˈɔʏ̯	ˈeː	0.65
ˈœː	ˈu	0.634
ˈiː	ˈiː	0.628
ˈuː	ˈuː	0.605
ʃ	ʃ	0.592
ɡ	ɡ	0.588
n	n	0.581
l	l	0.567
kʰ	k	0.558
ˈyː	ˈiːy̯	0.542
ˈaː	ˈæɑ̯_r	0.539
ɾ	d	0.504
ˈaʊ̯	ˈoː	0.498
ˈae̯	ˈɑː	0.496
ˈɔ	ˈo	0.473
ˈa	ˈɑ	0.47
ˈʏ	ˈy	0.467
ˈyː	ˈyː	0.458
æ	r	0.455
ˈɛː	ˈe	0.449
kʰ	ʧ	0.442
x	x	0.411
ˈae̯	ˈeːo̯	0.41
ˈuː	ˈo	0.395
l	ɫ	0.394
ŋ	ŋ_ɡ	0.381
ˈœː	ˈo	0.366
ˈaʊ̯	ˈæːɑ̯	0.357
ʃ	s	0.357
ˈɔʏ̯	ˈiːy̯	0.35
ˈɔ	ˈu	0.342
ˈɛː	-	0.336
ɾ	ð	0.336
ç	ʤ	0.336
ŋ	ŋ	0.326
x	ç	0.324
ˈɒː	ˈɑ	0.298
x	xː	0.264
ˈa	ˈæ	0.252
ˈʏ	ˈeːo̯	0.239
ˈaː	ˈæ	0.231
ˈaː	ˈeo̯_r	0.231
ˈɒː	ˈæː	0.228
ɡ	ɣ	0.225
ç	ɣ̊	0.224
ç	ɣ	0.224
ˈʏ	-	0.22
ˈɛː	ˈi	0.216
ç	-	0.216
ˈiː	ˈeːo̯	0.209
s	k_s	0.203
d	d_ɑ	0.201
æ	e_r	0.195
t	t_ɑ	0.188
ɡ	j	0.186
ˈɔ	ˈæɑ̯	0.185
k	ʧ_e	0.183
ˈɒː	ˈæːɑ̯	0.182
ˈɒː	ˈu	0.182
ˈɪ	-	0.164
p	pː	0.164
ˈiː	ˈeo̯	0.163
ˈa	ˈæɑ̯	0.161
ɾ	dː	0.161
n	ɑ_n	0.154
ˈɛ	ˈi	0.151
ˈɛ	ˈeo̯	0.151
ŋ	ʤː	0.146
ŋ	ɣ_ɑ	0.146
ˈaʊ̯	-	0.145
æ	o_r	0.145
v	h_w	0.141
m	ɑ_n	0.115
h	h_ˈɑ	0.114
ˈɒː	-	0.111
n	n_d	0.108
æ	-	0.107
k	ʧː	0.103
r	h_r	0.099
ˈae̯	-	0.094
d̥	d_e	0.092
t	tː	0.087
b	b_ˈe	0.078
ˈʏ	ˈɛ	0.075
ˈa	ˈi	0.059
ˈa	-	0.059
k	kː	0.054
n	nː_ɑ	0.052
ʃ	ʃː	0.05
