Portuguese	Sicilian	probability
b	b	1.0
f	f	1.0
ɐ̃	ʊ	1.0
ɔ	o	1.0
ɡ	ɡ	1.0
ˈĩ	ˈi	1.0
ˈu	ˈu	1.0
ˈũ	ˈu_n	1.0
j	ɪ	0.131
j	i	0.181
j	j	0.351
k	kː	0.111
l	l	0.551
p	p	0.951
u	ʊ	0.921
w	w	0.681
z	ɕ	0.351
ɲ	n	0.491
ɾ	r	0.081
ʁ	ʐ	0.271
ʃ	ɕ_ɪ	0.411
ˈa	ˈa	0.901
ˈɔ	ˈu	0.311
ˈɛ	ˈɛ	0.921
i	a	0.662
j̃	ɪ	0.272
l	ɖː	0.442
n	-	0.052
t	tː	0.162
t	t	0.652
w̃	n_ɪ	0.132
w̃	ɪ	0.212
ɐ	-	0.072
ɨ	-	0.082
ɨ	ʊ	0.112
ʁ	r	0.652
ʒ	j	0.632
ˈe	ˈi	0.62
ˈẽ	ˈɛ	0.142
ˈo	ˈa	0.052
d	d	0.883
n	nː	0.173
v	v	0.913
w	-	0.123
ɐ	n_a	0.073
ɣ	ɡ	0.263
ɾ	-	0.113
ʃ	s	0.353
ʎ	cː	0.493
ˈo	ˈɔ	0.643
ˈõ	ˈɔ	0.133
d	-	0.094
k	ŋ_k	0.064
u	u	0.054
ð	t	0.94
ɫ	l_ɪ	0.594
ɲ	ɲː	0.444
ɾ	r_ɪ	0.144
β	p	0.914
j̃	l	0.25
k	k	0.825
m	mː	0.05
m	m	0.95
n	n	0.775
s	ʦː	0.115
s	ɕ	0.305
t	n_t	0.125
w̃	ʊ	0.655
ɐ	a	0.795
ɲ	ʃː	0.065
ʃ	c	0.165
ˈe	-	0.125
ˈɐ	ˈa	0.535
ˈɐ̃	ˈu	0.145
ˈɐ̃	ˈa	0.265
j	-	0.336
s	s	0.506
t	ʈ	0.06
ð	-	0.06
ˈo	ˈu	0.306
ˈɐ	ˈɛ	0.326
β	-	0.086
w	l	0.197
ɣ	k	0.737
ɨ	i	0.207
ɨ	ɪ	0.557
ɫ	w	0.157
ɾ	ɾ	0.337
ʁ	ʐː	0.077
ʎ	ɟː	0.507
ˈe	ɪ	0.187
ˈi	ˈi	0.967
i	i	0.338
j̃	n_ɪ	0.478
v	-	0.068
ʃ	-	0.058
ʒ	ʤ	0.368
ˈẽ	ˈɛ_n	0.858
ˈõ	ˈo_n	0.228
z	-	0.649
ɫ	ɾ	0.249
ɾ	ɾ_ɪ	0.149
ˈa	l_ˈa	0.099
ˈe	ˈɛ	0.069
ˈõ	ˈu	0.639
ˈɐ	-	0.139
ˈɐ̃	ˈa_n	0.589
ˈɔ	ˈɔ	0.689
ˈɛ	ˈi	0.079
