Eastphalian	Old English	probability
b	b	0.843
b	bː	0.071
b	p	0.056
d	d	0.543
d	θ	0.437
f	f	0.964
h	h	1.0
j	j	0.716
j	ɣ	0.152
j	ɑ	0.115
k	ʧ	0.443
k	k	0.41
k	kː	0.066
l	l	0.595
l	ɫ	0.337
m	m	0.807
m	n	0.069
m	v	0.066
n	n	0.879
n	-	0.051
p	p	0.848
p	pː	0.104
r	r	0.898
r	r̥	0.066
s	s	1.0
t	t	0.724
t	d	0.202
v	w	0.653
v	v	0.197
v	ʍ	0.126
w	w	1.0
x	x	0.437
x	ç	0.405
x	j	0.095
x	ɣ	0.062
z	s	0.762
z	z	0.225
ç	j	0.584
ç	x	0.318
ç	ç	0.098
ŋ	ŋ	0.918
ŋ	ɣ	0.082
ɐ	r	0.498
ɐ	e	0.315
ɐ	o	0.122
ɐ	ˈeː	0.051
ɒː	iːy̯	1.0
ə	e	0.651
ə	ɑ	0.241
ɡ	ʤ	0.667
ɡ	ɣ	0.333
ɣ	ɡ	0.626
ɣ	ʤ	0.122
ɣ	ɣ	0.112
ɣ	j	0.102
ɪ	i	1.0
ʃ	ʃ	0.798
ʃ	ʃː	0.116
ʃ	s	0.087
ˈa	ˈɑ	0.478
ˈa	ˈæɑ̯	0.223
ˈa	ˈæ	0.109
ˈa	ˈeo̯	0.071
ˈaʊ̯	ˈoː	0.924
ˈaʊ̯	ˈuː	0.076
ˈaː	ˈæ	0.878
ˈaː	ˈæɑ̯	0.122
ˈeo̯	ˈæːɑ̯	0.81
ˈeo̯	ˈeː	0.1
ˈeo̯	ˈeːo̯	0.054
ˈeː	ˈeo̯	0.3
ˈeː	ˈi	0.244
ˈeː	ˈe	0.23
ˈeː	ˈiy̯	0.184
ˈiː	ˈiː	0.688
ˈiː	ˈeː	0.18
ˈiː	ˈiːy̯	0.083
ˈoː	ˈo	0.536
ˈoː	ˈɑː	0.192
ˈoː	ˈu	0.158
ˈoː	ˈy	0.08
ˈuː	ˈuː	0.634
ˈuː	ˈu	0.15
ˈuː	ˈyː	0.15
ˈuː	ˈe	0.067
ˈyː	ˈyː	0.514
ˈyː	ˈiːy̯	0.252
ˈyː	ˈi	0.234
ˈøː	ˈiːy̯	0.693
ˈøː	j	0.255
ˈœ	ˈe	0.673
ˈœ	ˈu	0.327
ˈɒː	ˈoː	0.255
ˈɒː	ˈɑ	0.222
ˈɒː	ˈæː	0.193
ˈɒː	ˈɑː	0.146
ˈɒː	ˈæːɑ̯	0.109
ˈɒː	ˈæ	0.074
ˈɔ	ˈo	0.479
ˈɔ	ˈæɑ̯	0.251
ˈɔ	ˈu	0.132
ˈɔ	ˈæːɑ̯	0.083
ˈɔ	ˈeːo̯	0.056
ˈɔʏ̯	ˈeː	0.952
ˈɛ	ˈe	0.485
ˈɛ	ˈeo̯	0.297
ˈɛ	ˈi	0.134
ˈɛ	ˈɑ	0.084
ˈɛə̯	ˈæ	1.0
ˈɛɪ̯	ˈeːo̯	0.538
ˈɛɪ̯	ˈɑː	0.271
ˈɛɪ̯	ˈiːy̯	0.097
ˈɛː	ˈe	0.546
ˈɛː	ˈæ	0.188
ˈɛː	ˈoː	0.117
ˈɛː	ˈi	0.108
ˈɪ	ˈi	0.798
ˈɪ	ˈeː	0.065
ˈɪ	ˈeːo̯	0.054
ˈʊ	ˈu	0.83
ˈʊ	ˈuː	0.102
ˈʊ	ˈoː	0.069
ˈʏ	ˈy	0.396
ˈʏ	ˈeːo̯	0.351
ˈʏ	ˈu	0.073
ˈʏ	ˈyː	0.073
ˈʏ	ˈuː	0.054
ˈʏ	ˈɛ	0.054
