Old French	Old French	probability
θ	-	1.0
ˈɛ_f	ˈe_β	1.0
ˈɔ_j	ˈe	1.0
ˈỹ	ˈu	1.0
ˈũ_j	ˈu	1.0
ˈu_t	ˈo	1.0
ˈu	ˈo	1.0
ˈõ	ˈu	1.0
ˈo	ˈo	1.0
ˈã_j	ˈa	1.0
ˈa_w	ˈa_l	1.0
ʧ_j	k	1.0
ʧ	k	1.0
ʎ	ʝ	1.0
ɲ	ɲ	1.0
ɛ_r	e_ɾ	1.0
ə_#>	#>	1.0
ɔ	e	1.0
ŋ	ŋ	1.0
z	θ	1.0
y	-	1.0
w_#>	u_#>	1.0
t_ə	t_a	1.0
s_ə	s	1.0
s_#>	s_#>	1.0
r_t	ɾ_t	1.0
p_l	ʎ	1.0
p	p	1.0
o	ˈe	1.0
n_d	n	1.0
n_#>	ŋ_#>	1.0
l_ˈe	l_ˈa	1.0
k_l	ʎ	1.0
j_ˈɛ	j_ˈe	1.0
j_t	u	1.0
j_s	θ	1.0
ĩ	i	1.0
e	e	1.0
b_ə	β_a	1.0
a	a	1.0
<#_ʦ	<#_θ	1.0
<#_w	<#_ɡ_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
m	m	0.923
ˈã	ˈa	0.889
r	ɾ	0.887
ˈũ	ˈo	0.875
k	k	0.875
f	f	0.864
ˈa	ˈa	0.824
t	t	0.821
s	s	0.808
ʤ	ʃ	0.8
d	d	0.8
<#_e	<#_e	0.778
n	n	0.765
ˈẽ	ˈe	0.75
w	w	0.75
b	b	0.733
ə	a	0.689
#>	u_#>	0.683
ˈy	ˈu	0.667
ˈe	ˈa	0.65
ˈĩ	ˈi	0.625
u	o	0.615
ʦ	θ	0.6
ˈi	ˈi	0.56
ɡ	ɡ	0.556
r_ə	ˈe_ɾ	0.556
j_n	n	0.545
v	b	0.519
ã	k_o	0.5
ã	a	0.5
j_n	n_u	0.455
ɡ	ɣ	0.444
r_ə	ɾ	0.444
l	l	0.444
ʦ	-	0.4
ˈĩ	-	0.375
ˈi	ˈe	0.36
ˈɛ	ˈe	0.353
ˈɔ	w_ˈe	0.333
ˈy	ˈo	0.333
v	β	0.333
l	ʎ	0.333
ˈɛ	j_ˈe	0.294
#>	e_#>	0.267
ˈe	ˈe	0.25
w	ˈo	0.25
ˈɛ	ˈa	0.235
u	u	0.231
<#_e	<#	0.222
j	-	0.216
ʤ	-	0.2
d	-	0.2
ə	e	0.189
j	j	0.189
ˈɔ	ˈo	0.182
ˈɔ	ˈe	0.182
ˈa	a	0.176
u	ˈo	0.154
l	l_u	0.148
n	n_u	0.147
f	β_e	0.136
b	β	0.133
b	f_e	0.133
ˈũ	-	0.125
ˈẽ	e	0.125
ˈẽ	-	0.125
k	ɡ	0.125
s	u	0.115
ˈã	ˈe	0.111
j	ˈe	0.108
j	ˈa	0.108
t	ʧ	0.107
ˈe	-	0.1
ˈɔ	o	0.091
ˈɔ	e	0.091
n	-	0.088
ə	u	0.081
j	ɣ	0.081
j	ð	0.081
ˈi	ˈi_ɣ	0.08
s	θ	0.077
m	l_m	0.077
v	b_j	0.074
v	-	0.074
l	ɾ_u	0.074
t	d_u	0.071
ˈɔ	ˈi	0.061
ˈɔ	-	0.061
ˈɛ	ˈa_ð	0.059
ˈɛ	ɾ_m	0.059
j	ˈu	0.054
j	ʝ_u	0.054
j	u	0.054
j	e	0.054
