Upper Sorbian	Slovenian	probability
a	a	1.0
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	e	1.0
i	i	1.0
j	j	1.0
kʲ	ə_k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
z	z	1.0
ɥ	ʋ	1.0
ɦ	ɡ	1.0
ɲ	n	1.0
ʒ	ʒ	1.0
ʤ	d	1.0
ˈɪ	ìː	1.0
β	ʋ	1.0
k	k	0.91
w	w	0.291
x	k	0.141
ɛ	ɛ	0.621
ˈa	àː	0.871
ˈe	èː	0.251
ˈɔ	ə́	0.071
ˈɔ	òː	0.121
ˈɛ	èː	0.291
l	w	0.162
ʃ	ʃ	0.462
ʦ	ʦ	0.752
ʧ	t_i	0.302
ʧ	t	0.672
ˈe	ə́	0.052
ˈi	ìː	0.602
ˈɔ	ɔ̀ː	0.322
ˈɛ	ɛ̀ː	0.402
ˈi	i	0.053
ˈɔ	óː	0.053
ˈɛ	ɛ	0.103
ˈɛ	éː	0.203
s	s	0.954
ɔ	ɔ	0.404
ˈi	íː	0.344
ˈo	óː	0.754
t	d	0.125
t	t	0.875
ʀʲ	r_j	0.095
ʀʲ	r	0.905
ˈu	óː	0.5
ˈu	úː	0.5
ɔ	ɛ	0.246
ˈo	áː	0.246
ʀ	r	0.97
ˈe	éː	0.697
ˈɔ	ɔ́ː	0.07
ˈɔ	ɔ	0.097
l	l	0.838
ɔ	óː	0.28
ʃ	-	0.538
ʦ	ʧ	0.248
ˈɔ	ə̀	0.108
k	ʦ	0.09
w	l	0.709
x	x	0.859
ɔ	-	0.069
ɛ	éː	0.379
ˈa	á	0.129
ˈɔ	ə	0.069
ˈɔ	o	0.089
