Galician	Galician	probability
ˈɑ	ˈɨ	1.0
ˈo_w	ˈa_v	1.0
ɾ_β	r_b	1.0
ɾ_ʊ	r_u	1.0
ɾ_n	r_n	1.0
ɣ_ʊ_#>	k_#>	1.0
ɡ	ɡ	1.0
ɐ_#>	#>	1.0
ð	t	1.0
u	u	1.0
t_ɪ	t_i	1.0
p_ˈɛ	k_e̯ˈa	1.0
p	p	1.0
m_ˈo	m_ˈu	1.0
m_ɪ_#>	m_#>	1.0
k_ˈɔ	k_o̯ˈa	1.0
k_o	k_u	1.0
j_ʃ	ʃ	1.0
j_t	p_t	1.0
e_s	s	1.0
<#_ˈo	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
k	k	0.885
t	t	0.867
ˈu	ˈu	0.857
ʊ_#>	#>	0.857
ɐ	ə	0.81
ɲ	n	0.8
ʊ	u	0.773
n	n	0.765
ɣ	k	0.75
s	s	0.75
<#_s	<#_s	0.727
ɪ	i	0.722
s_#>	#>	0.714
<#_θ	<#_ʦ	0.714
m	m	0.7
ˈi	ˈi	0.684
θ	ʦ	0.667
ˈɔ	ˈo	0.667
ˈa	ˈa	0.667
i	i	0.667
<#	<#_a	0.667
#>	i_#>	0.647
f	f	0.636
d	d	0.625
w	-	0.6
r	r	0.6
j	-	0.6
<#_ˈa	<#_ˈa	0.6
ɟ	k_ʎ	0.556
ʧ	l	0.5
ʧ	f_l	0.5
ŋ	n	0.5
o	u	0.5
e	i	0.5
ɾ	r	0.482
ˈɛ	ˈe	0.467
ʃ	ʤ	0.455
b	b	0.45
ˈo	ˈu	0.444
ɟ	ʎ	0.444
w	j	0.4
r	a_r	0.4
j	l	0.4
<#_ˈa	<#	0.4
ɾ	r_i	0.393
f	ç	0.364
ˈɛ	ˈa	0.333
i	-	0.333
e	-	0.333
a	a	0.333
<#	<#_ʣ	0.333
l	r	0.312
l	l	0.312
ŋ	-	0.3
o	-	0.3
b	j	0.3
ˈe	e̯ˈa	0.295
β	w	0.286
β	p	0.286
β	-	0.286
s_#>	j_#>	0.286
<#_θ	<#	0.286
ɪ	ə	0.278
a	ˈa	0.278
ʃ	ʣ	0.273
ʃ	s	0.273
<#_s	<#_ʃ	0.273
ˈe	ˈi	0.25
ɣ	ɡ	0.25
s	ʃ	0.25
b	v	0.25
ʊ	ə	0.227
ˈɔ	o̯ˈa	0.222
a	ə	0.222
ˈe	ˈe	0.205
ˈɛ	e̯ˈa	0.2
ɲ	-	0.2
ŋ	n_e	0.2
o	r	0.2
l	ʎ	0.188
l	-	0.188
d	ʣ_ˈə	0.188
d	ʣ	0.188
ˈo	ˈo	0.185
ˈa	-	0.182
θ	ʃ_t	0.167
θ	-	0.167
e	o̯ˈa	0.167
a	-	0.167
ˈi	i	0.158
ˈi	-	0.158
ˈa	ˈɨ	0.152
m	ɲ	0.15
m	-	0.15
ˈo	ˈu_n	0.148
ˈo	o̯ˈa	0.148
β	r	0.143
ˈu	-	0.143
ʊ_#>	r_#>	0.143
ɐ	i	0.143
t	ʦ	0.133
ɾ	i	0.125
n	ˈu	0.118
n	-	0.118
#>	ə_#>	0.118
#>	r_#>	0.118
#>	e_#>	0.118
k	ʦ	0.115
ˈɔ	-	0.111
ˈe	i_r	0.091
ˈo	o̯ˈa_m	0.074
ˈe	-	0.068
